,stim,S,C,R,RT,block,cond,day,prestim_R
0,phasing,W,d,-1,-1,1,single,2,-1
1,deshies,N,s,-1,-1,1,single,2,-1
2,resembling,W,d,-1,-1,1,single,2,-1
3,convoving,N,s,-1,-1,1,single,2,-1
4,slant,P,j,-1,-1,1,single,2,-1
5,grudging,W,d,-1,-1,1,single,2,-1
6,reciprocal,W,d,-1,-1,1,single,2,-1
7,sosiful,N,s,-1,-1,1,single,2,-1
8,tuition,W,d,-1,-1,1,single,2,-1
9,wreck,W,d,-1,-1,1,single,2,-1
10,circeycent,N,s,-1,-1,1,single,2,-1
11,clarniny,N,s,-1,-1,1,single,2,-1
12,crumple,W,d,-1,-1,1,single,2,-1
13,skate,W,d,-1,-1,1,single,2,-1
14,endexing,N,s,-1,-1,1,single,2,-1
15,replies,W,d,-1,-1,1,single,2,-1
16,badminton,W,d,-1,-1,1,single,2,-1
17,drelding,N,s,-1,-1,1,single,2,-1
18,slant,P,j,-1,-1,1,single,2,-1
19,altinime,N,s,-1,-1,1,single,2,-1
20,antisunt,N,s,-1,-1,1,single,2,-1
21,iterare,N,s,-1,-1,1,single,2,-1
22,retentive,W,d,-1,-1,1,single,2,-1
23,presume,W,d,-1,-1,1,single,2,-1
24,slant,P,j,-1,-1,1,single,2,-1
25,choix,N,s,-1,-1,1,single,2,-1
26,speculate,W,d,-1,-1,1,single,2,-1
27,horiwesnal,N,s,-1,-1,1,single,2,-1
28,groarance,N,s,-1,-1,1,single,2,-1
29,didirany,N,s,-1,-1,1,single,2,-1
30,akeloo,N,s,-1,-1,1,single,2,-1
31,waming,N,s,-1,-1,1,single,2,-1
32,fraze,N,s,-1,-1,1,single,2,-1
33,walder,N,s,-1,-1,1,single,2,-1
34,analogies,W,d,-1,-1,1,single,2,-1
35,lorret,N,s,-1,-1,1,single,2,-1
36,quarries,W,d,-1,-1,1,single,2,-1
37,interlude,W,d,-1,-1,1,single,2,-1
38,orsial,N,s,-1,-1,1,single,2,-1
39,lapring,N,s,-1,-1,1,single,2,-1
40,slant,P,j,-1,-1,1,single,2,-1
41,ingell,N,s,-1,-1,1,single,2,-1
42,stripe,W,d,-1,-1,1,single,2,-1
43,sotton,N,s,-1,-1,1,single,2,-1
44,blosish,N,s,-1,-1,1,single,2,-1
45,anatomy,W,d,-1,-1,1,single,2,-1
46,avenge,W,d,-1,-1,1,single,2,-1
47,stodel,N,s,-1,-1,1,single,2,-1
48,slant,P,j,-1,-1,1,single,2,-1
49,decreasing,W,d,-1,-1,1,single,2,-1
50,peddle,W,d,-1,-1,1,single,2,-1
51,barilitess,N,s,-1,-1,1,single,2,-1
52,amplifier,W,d,-1,-1,1,single,2,-1
53,shuttle,W,d,-1,-1,1,single,2,-1
54,munance,N,s,-1,-1,1,single,2,-1
55,inteblent,N,s,-1,-1,1,single,2,-1
56,welcoming,W,d,-1,-1,1,single,2,-1
57,slant,P,j,-1,-1,1,single,2,-1
58,atlemen,N,s,-1,-1,1,single,2,-1
59,clatilup,N,s,-1,-1,1,single,2,-1
60,dissident,W,d,-1,-1,1,single,2,-1
61,castartus,N,s,-1,-1,1,single,2,-1
62,manifest,W,d,-1,-1,1,single,2,-1
63,ditefivity,N,s,-1,-1,1,single,2,-1
64,slant,P,j,-1,-1,1,single,2,-1
65,mabrik,N,s,-1,-1,1,single,2,-1
66,telegram,W,d,-1,-1,1,single,2,-1
67,staught,N,s,-1,-1,1,single,2,-1
68,beetiche,N,s,-1,-1,1,single,2,-1
