C,R,RT,block,cond,count,day,prestim_R,stim
n,n,0.9153635073453188,1,multi,1,1,[],sanity
n,n,0.5970625504851341,1,multi,1,1,[],strut
n,n,0.8221837673336267,1,multi,1,1,[],communion
y,y,0.8650565315037966,1,multi,1,1,[],collusion
y,y,0.6274153608828783,1,multi,1,1,[],vitamin
n,n,0.5778162907809019,1,multi,1,1,[],pavement
y,y,0.6627214029431343,1,multi,1,1,[],bacteria
y,y,0.6984024345874786,1,multi,1,1,[],animosity
y,y,0.7004041615873575,1,multi,1,1,[],propensity
y,n,1.3723851293325424,1,multi,1,1,[],dispensing
n,n,0.8148213680833578,1,multi,1,1,[],anomaly
n,n,0.5356415174901485,1,multi,1,1,[],swarm
n,n,0.5592866484075785,1,multi,1,1,[],kiosk
n,n,0.6660839579999447,1,multi,1,1,[],envelope
y,y,0.7738208305090666,1,multi,1,1,[],agility
y,y,0.6573676429688929,1,multi,1,1,[],quell
n,n,0.97991843521595,1,multi,1,1,[],sanity
n,n,0.6471435725688934,1,multi,1,1,[],strut
y,y,0.6317189820110798,1,multi,1,1,[],collusion
y,y,0.6220868378877641,1,multi,1,1,[],animosity
n,n,1.1304069831967354,1,multi,1,1,[],envelope
y,y,0.6448095273226501,1,multi,1,1,[],bacteria
n,y,0.9493435807526112,1,multi,1,1,[],communion
n,n,0.6645377408713102,1,multi,1,1,[],swarm
n,n,0.5151215698570013,1,multi,1,1,[],kiosk
n,n,0.6715999711304903,1,multi,1,1,[],pavement
y,y,0.8843998443335295,1,multi,1,1,[],propensity
y,y,0.7287480309605598,1,multi,1,1,[],vitamin
y,y,0.5179748255759478,1,multi,1,1,[],agility
y,y,0.5474616792052984,1,multi,1,1,[],quell
n,y,0.7103539016097784,1,multi,1,1,[],anomaly
y,n,1.9304077047854664,1,multi,1,1,[],dispensing
n,n,0.7205599434673786,1,multi,2,1,[],croissant
y,y,1.16471366584301,1,multi,2,1,[],quell
y,y,0.8523878455162048,1,multi,2,1,[],vitamin
y,y,0.5966070406138897,1,multi,2,1,[],agility
n,n,0.5016932934522629,1,multi,2,1,[],avalanche
n,n,0.8331301659345627,1,multi,2,1,[],consuming
n,n,0.6462136209011078,1,multi,2,1,[],pentagon
y,y,0.7837411239743233,1,multi,2,1,[],animosity
y,y,0.5014222711324692,1,multi,2,1,[],bacteria
y,y,0.8866981342434883,1,multi,2,1,[],dispensing
y,y,0.515124874189496,1,multi,2,1,[],propensity
y,y,0.5826235003769398,1,multi,2,1,[],collusion
n,n,0.5176079515367746,1,multi,2,1,[],anguish
n,n,0.5710731595754623,1,multi,2,1,[],nicotine
n,n,0.5610750429332256,1,multi,2,1,[],sociable
n,n,0.6060534957796335,1,multi,2,1,[],prohibit
n,n,0.6391030158847572,1,multi,2,1,[],anguish
y,y,0.5896211285144091,1,multi,2,1,[],dispensing
n,n,0.6286283545196056,1,multi,2,1,[],avalanche
n,n,0.6190520972013474,1,multi,2,1,[],prohibit
n,n,0.5273197218775749,1,multi,2,1,[],pentagon
n,n,0.7088533584028482,1,multi,2,1,[],sociable
n,n,0.6159653756767511,1,multi,2,1,[],croissant
y,y,0.6272158473730087,1,multi,2,1,[],vitamin
y,y,0.7355431448668242,1,multi,2,1,[],animosity
y,y,0.5668128058314323,1,multi,2,1,[],propensity
y,y,0.6837509498000145,1,multi,2,1,[],collusion
y,y,0.7876709643751383,1,multi,2,1,[],bacteria
n,n,0.7863335739821196,1,multi,2,1,[],consuming
n,n,0.6319554504007101,1,multi,2,1,[],nicotine
y,y,0.7344004604965448,1,multi,2,1,[],agility
y,y,0.6777364574372768,1,multi,2,1,[],quell
n,n,0.4626256749033928,2,single,3,1,[],barbaric
n,n,0.38670489378273487,2,single,3,1,[],karate
n,n,0.35512617230415344,2,single,3,1,[],toxin
n,n,0.3582771923393011,2,single,3,1,[],divisive
y,y,0.43452128022909164,2,single,3,1,[],triangular
y,y,0.4343175608664751,2,single,3,1,[],triangular
y,y,0.4122384749352932,2,single,3,1,[],triangular
y,y,0.40195911936461926,2,single,3,1,[],triangular
n,n,0.4065689202398062,2,single,3,1,[],subjective
n,n,0.38725144788622856,2,single,3,1,[],malaria
n,n,1.115668661892414,2,single,3,1,[],hello
y,y,0.5079166162759066,2,single,3,1,[],triangular
n,n,0.7193977274000645,2,single,3,1,[],incline
y,y,0.49263985455036163,2,single,3,1,[],triangular
y,y,0.5338984951376915,2,single,3,1,[],triangular
y,y,0.5015583839267492,2,single,3,1,[],triangular
n,n,0.8090021796524525,2,single,3,1,[],karate
y,y,0.7537569925189018,2,single,3,1,[],triangular
y,y,0.42717690765857697,2,single,3,1,[],triangular
n,n,0.5150043852627277,2,single,3,1,[],subjective
y,y,0.45652494579553604,2,single,3,1,[],triangular
n,n,0.48455572687089443,2,single,3,1,[],malaria
n,n,0.44586880318820477,2,single,3,1,[],incline
y,y,0.44779781624674797,2,single,3,1,[],triangular
n,n,0.3937391825020313,2,single,3,1,[],divisive
y,y,0.41229286044836044,2,single,3,1,[],triangular
y,y,0.3940008897334337,2,single,3,1,[],triangular
n,n,0.41249447502195835,2,single,3,1,[],hello
n,n,0.39425027929246426,2,single,3,1,[],barbaric
y,y,0.4208015501499176,2,single,3,1,[],triangular
n,n,0.3875101525336504,2,single,3,1,[],toxin
y,y,0.4290202874690294,2,single,3,1,[],triangular
