,stim,S,C,R,RT,block,cond,day,prestim_R
0,loming,N,s,s,2.2616339456290007,1,multi,1,[]
1,blenonic,N,s,d,1.9171134382486343,1,multi,1,[]
2,rosit,N,s,s,1.1949694231152534,1,multi,1,[]
3,burgeoning,W,d,s,1.7988457176834345,1,multi,1,[]
4,gluffing,N,s,s,1.6016702484339476,1,multi,1,[]
5,collusion,P,j,j,0.9637985564768314,1,multi,1,[]
6,curtail,W,d,d,1.3318392001092434,1,multi,1,[]
7,confuse,W,d,d,1.0688408222049475,1,multi,1,[]
8,chalk,W,d,d,1.3577718045562506,1,multi,1,[]
9,blucer,N,s,s,0.8040450382977724,1,multi,1,[]
10,chisel,W,d,d,0.8368130177259445,1,multi,1,[]
11,consake,N,s,s,1.1858958508819342,1,multi,1,[]
12,fencing,W,d,d,1.1337848585098982,1,multi,1,[]
13,sagiaromy,N,s,s,1.0241559278219938,1,multi,1,[]
14,innate,W,d,d,1.0976654440164566,1,multi,1,[]
15,bacteria,P,j,j,0.6878129951655865,1,multi,1,[]
16,ploming,N,s,s,0.9117584750056267,1,multi,1,[]
17,analogy,W,d,j,1.208390785381198,1,multi,1,[]
18,appencog,N,s,s,1.0895813163369894,1,multi,1,[]
19,conructune,N,s,s,0.7245186250656843,1,multi,1,[]
20,gallit,N,s,s,0.6497438345104456,1,multi,1,[]
21,ladge,N,s,s,0.7942593544721603,1,multi,1,[]
22,animosity,P,j,j,0.6430265437811613,1,multi,1,[]
23,equip,W,d,d,0.7396066915243864,1,multi,1,[]
24,illucilory,N,s,s,0.9229115955531597,1,multi,1,[]
25,impunity,W,d,d,0.8547038622200489,1,multi,1,[]
26,lanyon,N,s,s,1.1258290316909552,1,multi,1,[]
27,rannibly,N,s,s,0.8061119671911001,1,multi,1,[]
28,vocabulary,W,d,d,1.0548783130943775,1,multi,1,[]
29,incorrant,N,s,s,0.8287054561078548,1,multi,1,[]
30,asodind,N,s,s,0.7275855168700218,1,multi,1,[]
