C,R,RT,block,cond,count,day,prestim_R,stim
n,n,0.6468473108252509,1,multi,1,1,[],cavities
n,n,0.503389443969354,1,multi,1,1,[],shampoo
y,y,0.6107942996168276,1,multi,1,1,[],staunch
y,y,0.5111133078753483,1,multi,1,1,[],armour
n,n,0.6366656080062967,1,multi,1,1,[],depict
y,y,0.5470833895524265,1,multi,1,1,[],starch
n,n,0.6858830807759659,1,multi,1,1,[],puppet
y,y,0.9417951899085892,1,multi,1,1,[],solemn
y,y,0.6356926884036511,1,multi,1,1,[],moderation
y,y,1.4101273779378969,1,multi,1,1,[],dispel
n,n,0.6787337141868193,1,multi,1,1,[],faint
y,y,0.4285401368397288,1,multi,1,1,[],crate
n,n,1.3723683020507451,1,multi,1,1,[],sporadic
n,n,0.6047455520892981,1,multi,1,1,[],efficacy
n,n,0.8298859989299672,1,multi,1,1,[],caramel
y,y,0.7959822446719045,1,multi,1,1,[],propensity
n,n,0.6836971666052705,1,multi,1,1,[],caramel
y,y,0.6095377369783819,1,multi,1,1,[],starch
n,n,0.6757173028599937,1,multi,1,1,[],puppet
n,n,0.6404581315582618,1,multi,1,1,[],shampoo
n,n,0.5919686959095998,1,multi,1,1,[],cavities
n,n,0.918999785775668,1,multi,1,1,[],depict
n,n,0.6796047746902332,1,multi,1,1,[],sporadic
y,y,0.6054168004920939,1,multi,1,1,[],staunch
y,y,0.7196209760004422,1,multi,1,1,[],moderation
y,y,0.7077587483945535,1,multi,1,1,[],dispel
y,y,0.5097542852163315,1,multi,1,1,[],crate
n,n,0.5692006344615947,1,multi,1,1,[],faint
y,y,0.5901406406628666,1,multi,1,1,[],propensity
y,y,0.5181983740330907,1,multi,1,1,[],armour
n,n,0.5237633660144638,1,multi,1,1,[],efficacy
y,y,0.5692928785429103,1,multi,1,1,[],solemn
y,y,0.5258783694298472,2,single,2,1,[],lenient
y,y,0.5154607982258312,2,single,2,1,[],lenient
n,n,0.438834215150564,2,single,2,1,[],symphonies
y,y,0.3666653946856968,2,single,2,1,[],lenient
y,y,0.4279265785298776,2,single,2,1,[],lenient
n,n,0.4197255693579791,2,single,2,1,[],flask
n,n,0.41748977729002945,2,single,2,1,[],wrangling
y,y,0.3820728596037952,2,single,2,1,[],lenient
n,n,0.4305178257927764,2,single,2,1,[],evaluating
y,y,0.44635646416281816,2,single,2,1,[],lenient
n,n,0.40823832743626554,2,single,2,1,[],baffling
n,n,0.45395593377179466,2,single,2,1,[],paddle
n,n,0.42600537779799197,2,single,2,1,[],myopic
n,n,0.3938332281250041,2,single,2,1,[],iridescent
y,y,0.3803887291578576,2,single,2,1,[],lenient
y,y,0.36269739706767723,2,single,2,1,[],lenient
n,n,0.39889433306234423,2,single,2,1,[],symphonies
n,n,0.41049154674692545,2,single,2,1,[],wrangling
y,y,0.4151461167202797,2,single,2,1,[],lenient
y,y,0.39578687952598557,2,single,2,1,[],lenient
n,n,0.36736248346278444,2,single,2,1,[],myopic
y,y,0.35664564483158756,2,single,2,1,[],lenient
y,y,0.4088605993601959,2,single,2,1,[],lenient
y,y,0.3415575787803391,2,single,2,1,[],lenient
y,y,0.33458188344957307,2,single,2,1,[],lenient
n,n,0.41557999439828563,2,single,2,1,[],paddle
n,n,0.37331057379196864,2,single,2,1,[],flask
n,n,0.35774566295731347,2,single,2,1,[],baffling
y,y,0.4040765271347482,2,single,2,1,[],lenient
y,y,0.3986085867654765,2,single,2,1,[],lenient
n,n,0.44703852948441636,2,single,2,1,[],iridescent
n,n,0.41693601236329414,2,single,2,1,[],evaluating
