,C,R,RT,S,cond,day,prestim_R,stim
0,d,d,0.886412987485528,W,practice,1,[],escape
1,s,d,1.2988738119602203,N,practice,1,[],berst
2,d,d,0.7937278244644403,W,practice,1,[],harm
3,d,d,0.6953400503844023,W,practice,1,[],persuade
4,s,s,0.8312606457620859,N,practice,1,[],cemmit
5,d,d,0.7493569198995829,W,practice,1,[],bold
6,s,s,0.8468078281730413,N,practice,1,[],imorgu
7,s,d,2.4858780931681395,N,practice,1,[],bottir
8,s,s,1.1052285563200712,N,practice,1,[],docint
9,d,d,0.743411835283041,W,practice,1,[],silence
10,d,d,0.9746725410223007,W,practice,1,[],seventh
11,d,d,0.8568350914865732,W,practice,1,[],handle
12,s,s,1.2430892810225487,N,practice,1,[],daluvory
13,d,d,0.6303842980414629,W,practice,1,[],planet
14,s,s,1.156803810968995,N,practice,1,[],onstont
15,s,s,0.7794182728976011,N,practice,1,[],mitoun
16,s,s,0.8160067200660706,N,practice,1,[],fruqoant
17,s,s,1.2498549483716488,N,practice,1,[],menaol
18,d,d,0.6531436443328857,W,practice,1,[],delay
19,d,d,0.6056484617292881,W,practice,1,[],album
20,s,s,0.7038811910897493,N,practice,1,[],fruod
21,s,s,0.6819259002804756,N,practice,1,[],pluen
22,d,d,0.5357241481542587,W,practice,1,[],desk
23,d,d,0.4723888225853443,W,practice,1,[],device
