,stim,S,C,R,RT,block,cond,day,prestim_R
0,lettuce,W,k,k,1.0440418887883425,1,multi,2,[]
1,ingiliogy,N,j,j,0.6187558341771364,1,multi,2,[]
2,traction,P,d,k,0.44604788161814213,1,multi,2,[]
3,repetition,W,k,k,0.8729901239275932,1,multi,2,[]
4,hefoceable,N,j,j,0.7174395695328712,1,multi,2,[]
5,virstance,N,j,j,0.7994758002460003,1,multi,2,[]
6,madinition,N,j,j,0.7122675906866789,1,multi,2,[]
7,previche,N,j,j,0.6023445017635822,1,multi,2,[]
8,beetiche,N,j,j,0.5394054967910051,1,multi,2,[]
9,drivel,W,k,k,0.8121532015502453,1,multi,2,[]
10,archery,W,k,k,0.6870119422674179,1,multi,2,[]
11,certified,W,k,k,0.702948234975338,1,multi,2,[]
12,inferior,W,k,k,0.6709251180291176,1,multi,2,[]
13,distrength,N,j,k,0.8046637047082186,1,multi,2,[]
14,saxophone,W,k,k,0.8096716273576021,1,multi,2,[]
15,caupexity,N,j,j,0.7645877096801996,1,multi,2,[]
16,imarsities,N,j,j,1.3100161142647266,1,multi,2,[]
17,sterile,P,d,d,0.9147496484220028,1,multi,2,[]
18,believable,W,k,k,0.7394396308809519,1,multi,2,[]
19,chisel,W,k,k,0.6186954416334629,1,multi,2,[]
20,shrunk,W,k,k,0.591045655310154,1,multi,2,[]
21,mamexucate,N,j,j,0.6620579678565264,1,multi,2,[]
22,anejuciral,N,j,j,0.6337432432919741,1,multi,2,[]
23,pounfly,N,j,j,0.8241800852119923,1,multi,2,[]
24,duration,W,k,k,0.581178542226553,1,multi,2,[]
25,troubling,W,k,k,0.5482404977083206,1,multi,2,[]
26,notify,W,k,k,0.5990192070603371,1,multi,2,[]
27,conducive,P,d,d,0.7441687174141407,1,multi,2,[]
28,berirm,N,j,j,0.6154792178422213,1,multi,2,[]
29,defogue,N,j,j,0.6117855478078127,1,multi,2,[]
30,confibite,N,j,j,0.8321169819682837,1,multi,2,[]
31,wilesis,N,j,j,0.5651647299528122,1,multi,2,[]
32,corash,N,j,j,0.6740286648273468,1,multi,2,[]
33,mageing,N,j,j,0.6158674228936434,1,multi,2,[]
34,peddle,P,d,d,0.6591280922293663,1,multi,2,[]
35,invart,N,j,j,0.6046758443117142,1,multi,2,[]
36,numerical,W,k,k,0.6538293156772852,1,multi,2,[]
37,scuba,W,k,k,0.8063682653009892,1,multi,2,[]
38,strenuous,W,k,k,0.7191630601882935,1,multi,2,[]
39,mania,W,k,k,0.6763576027005911,1,multi,2,[]
40,enmubating,N,j,j,0.6901563555002213,1,multi,2,[]
41,cottafting,N,j,j,0.634092690423131,1,multi,2,[]
42,plush,W,k,k,0.5604981407523155,1,multi,2,[]
43,pretence,P,d,k,0.5654084123671055,1,multi,2,[]
44,depleting,W,k,k,0.5943649373948574,1,multi,2,[]
45,etshision,N,j,j,0.6034505292773247,1,multi,2,[]
46,secular,W,k,k,0.7016691360622644,1,multi,2,[]
47,excerpt,W,k,k,0.6696361042559147,1,multi,2,[]
48,opaque,W,k,k,0.6743612848222256,1,multi,2,[]
49,cadelty,N,j,j,0.6780681740492582,1,multi,2,[]
50,cabsicep,N,j,j,0.7078975662589073,1,multi,2,[]
