,stim,S,C,R,RT,block,cond,day,prestim_R
0,orclack,N,d,d,1.4385482422658242,1,single,2,[]
1,malaise,W,s,d,0.9103043119248468,1,single,2,[]
2,fathiup,N,d,d,0.7001160711515695,1,single,2,[]
3,grefrenny,N,d,d,0.5399769420328084,1,single,2,[]
4,vitamin,P,j,j,0.7956453637161758,1,single,2,[]
5,skand,N,d,d,0.5703131877817214,1,single,2,[]
6,miscleaf,N,d,d,0.7272129612683784,1,single,2,[]
7,ructer,N,d,d,0.4433404213923495,1,single,2,[]
8,gemble,N,d,d,0.5812120977207087,1,single,2,[]
9,secrecy,W,s,s,0.653323141450528,1,single,2,[]
10,refrain,W,s,s,0.6058232082868926,1,single,2,[]
11,stove,W,s,s,0.5429341573326383,1,single,2,[]
12,indetbimy,N,d,d,0.7916323005338199,1,single,2,[]
13,votty,N,d,d,0.6052709463692736,1,single,2,[]
14,excerpt,W,s,d,0.967425561073469,1,single,2,[]
15,shrine,W,s,s,0.7246421489981003,1,single,2,[]
16,propel,W,s,s,0.6487593186611775,1,single,2,[]
17,stealth,W,s,s,0.9143182765401434,1,single,2,[]
18,vitamin,P,j,j,0.5869414394837804,1,single,2,[]
19,violet,W,s,j,0.6819247799867298,1,single,2,[]
20,keromosm,N,d,d,0.8177887228375766,1,single,2,[]
21,tecament,N,d,d,0.5006801114359405,1,single,2,[]
22,strire,N,d,d,0.8139628518256359,1,single,2,[]
23,resuce,N,d,s,2.062745727249421,1,single,2,[]
24,vitamin,P,j,j,0.6314883638988249,1,single,2,[]
25,droene,N,d,d,1.8458990947110578,1,single,2,[]
26,neuroses,W,s,d,1.6919327995274216,1,single,2,[]
27,tesibinary,N,d,d,1.1018511590955313,1,single,2,[]
28,tound,N,d,d,0.47492661798605695,1,single,2,[]
29,lelipall,N,d,d,0.9781465934065636,1,single,2,[]
30,buoyancy,W,s,s,0.9332736601936631,1,single,2,[]
31,poharities,N,d,d,0.6511537556652911,1,single,2,[]
32,sterpy,N,d,d,0.6676525052462239,1,single,2,[]
33,ganfish,N,d,d,0.6382834690157324,1,single,2,[]
34,medieval,W,s,s,0.9086928970064037,1,single,2,[]
35,fugue,W,s,d,0.5743256500572897,1,single,2,[]
36,eltique,N,d,d,0.967438481253339,1,single,2,[]
37,vitamin,P,j,j,0.5204680945607834,1,single,2,[]
38,atlemen,N,d,d,0.7899992518359795,1,single,2,[]
39,allic,N,d,d,0.811575926549267,1,single,2,[]
40,ripple,W,s,s,0.9403734408260789,1,single,2,[]
41,augment,W,s,s,1.1222539016744122,1,single,2,[]
42,mimpling,N,d,d,0.6025324724323582,1,single,2,[]
43,anchor,W,s,s,0.6766668740019668,1,single,2,[]
44,debatable,W,s,s,1.0014497626689263,1,single,2,[]
45,ladge,N,d,d,0.7667068994487636,1,single,2,[]
46,huople,N,d,d,1.4581754744576756,1,single,2,[]
47,antaxocent,N,d,d,0.6231843037239742,1,single,2,[]
48,plunzied,N,d,d,0.9416284995968454,1,single,2,[]
49,vitamin,P,j,j,0.5635195850336459,1,single,2,[]
50,stringent,W,s,s,0.8804022437834647,1,single,2,[]
51,swilk,N,d,d,0.6767807517026085,1,single,2,[]
52,legion,W,s,s,0.7615325238148216,1,single,2,[]
53,grasing,N,d,d,1.1629259785695467,1,single,2,[]
54,enact,W,s,s,0.7705607141251676,1,single,2,[]
55,dwindling,W,s,s,0.6551013166317716,1,single,2,[]
56,cessation,W,s,s,0.7217282011988573,1,single,2,[]
57,vitamin,P,j,j,0.56589899858227,1,single,2,[]
58,allocate,W,s,s,0.6907928203581832,1,single,2,[]
59,giraffe,W,s,s,0.8346471337717958,1,single,2,[]
60,iteprany,N,d,d,0.7207207288302016,1,single,2,[]
61,floless,N,d,d,0.6288325189088937,1,single,2,[]
62,sewrendeel,N,d,d,0.6272391320962925,1,single,2,[]
63,dewrissent,N,d,d,0.559532662620768,1,single,2,[]
64,antisunt,N,d,d,0.8444165809487458,1,single,2,[]
65,innirtion,N,d,d,0.5315535957051907,1,single,2,[]
66,scenic,W,s,s,0.9701162604324054,1,single,2,[]
67,brape,N,d,d,0.6922467895783484,1,single,2,[]
68,arpling,N,d,d,1.2681210565497167,1,single,2,[]
69,vitamin,P,j,j,0.5636043172562495,1,single,2,[]
70,swipe,W,s,s,1.342394575214712,1,single,2,[]
71,exuberance,W,s,s,1.4324174739595037,1,single,2,[]
72,blimry,N,d,d,0.5270901295880321,1,single,2,[]
73,slept,W,s,s,2.828599895874504,1,single,2,[]
74,invincible,W,s,s,0.6714143764402252,1,single,2,[]
75,timid,W,s,s,0.8201456012320705,1,single,2,[]
76,conjack,N,d,d,0.8390285719069652,1,single,2,[]
77,qualifier,W,s,s,0.5970882756519131,1,single,2,[]
78,vibilite,N,d,d,0.8382058879360557,1,single,2,[]
79,vitamin,P,j,j,0.6032340674137231,1,single,2,[]
80,gouging,W,s,s,0.6934198203089181,1,single,2,[]
81,brace,W,s,s,0.46928591452888213,1,single,2,[]
82,plang,N,d,d,0.6274209158145823,1,single,2,[]
83,obedience,W,s,s,0.5618210340908263,1,single,2,[]
84,infarfible,N,d,d,0.7805630247166846,1,single,2,[]
85,saffer,N,d,d,0.5712776930886321,1,single,2,[]
86,interpret,W,s,s,0.584161500853952,1,single,2,[]
87,telsh,N,d,d,0.5031896280415822,1,single,2,[]
