,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,0.5503518945770338,W,practice,2,[],delay
1,j,j,0.496120190131478,N,practice,2,[],mitoun
2,j,j,0.6195448671933264,N,practice,2,[],onstont
3,k,k,0.5358482414158061,W,practice,2,[],device
4,j,j,0.511493101133965,N,practice,2,[],docint
5,j,j,0.4348965649260208,N,practice,2,[],fruqoant
6,k,k,0.41073582821991295,W,practice,2,[],desk
7,k,k,0.5034267022274435,W,practice,2,[],escape
8,j,j,0.45077486522495747,N,practice,2,[],fruod
9,k,k,0.5977674529422075,W,practice,2,[],handle
10,j,j,0.3829370093299076,N,practice,2,[],imorgu
11,k,k,0.46338616288267076,W,practice,2,[],seventh
12,k,k,0.4913817892083898,W,practice,2,[],album
13,j,j,0.38872254581656307,N,practice,2,[],bottir
14,j,k,0.4611464646877721,N,practice,2,[],pluen
15,k,k,0.45445501327048987,W,practice,2,[],planet
16,k,k,0.5064205782255158,W,practice,2,[],harm
17,k,k,0.5178789751371369,W,practice,2,[],silence
18,j,j,0.4434307945193723,N,practice,2,[],menaol
19,j,j,0.5093537595821545,N,practice,2,[],berst
20,k,j,0.4567677255254239,W,practice,2,[],bold
21,j,j,0.46397658507339656,N,practice,2,[],daluvory
22,j,j,0.5799724590033293,N,practice,2,[],cemmit
23,k,k,0.42807891650591046,W,practice,2,[],persuade
