,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,0.6090476715762634,N,practice,2,[],pluen
1,k,k,0.49412146833492443,N,practice,2,[],daluvory
2,k,k,0.4215809673187323,N,practice,2,[],onstont
3,j,j,0.48326401005033404,W,practice,2,[],persuade
4,k,k,0.45256205668556504,N,practice,2,[],bottir
5,j,j,0.4886391054315027,W,practice,2,[],silence
6,k,k,0.5299536345992237,N,practice,2,[],cemmit
7,k,k,0.4235066750552505,N,practice,2,[],menaol
8,k,k,0.4153089710744098,N,practice,2,[],fruod
9,j,j,0.5559415250609163,W,practice,2,[],seventh
10,j,j,0.5267683595011476,W,practice,2,[],bold
11,j,j,0.5003240561345592,W,practice,2,[],delay
12,j,j,0.485588140116306,W,practice,2,[],device
13,j,j,0.45385707935201935,W,practice,2,[],harm
14,j,j,0.5288424991013017,W,practice,2,[],album
15,j,j,0.4783909989055246,W,practice,2,[],planet
16,k,k,0.4695836426981259,N,practice,2,[],fruqoant
17,k,k,0.39570635376730934,N,practice,2,[],imorgu
18,j,j,0.4222410983638838,W,practice,2,[],handle
19,k,k,0.45196292086620815,N,practice,2,[],docint
20,j,j,0.4059343288245145,W,practice,2,[],escape
21,k,k,0.5225323432532605,N,practice,2,[],mitoun
22,j,j,0.440053519589128,W,practice,2,[],desk
23,k,k,0.4420140818110667,N,practice,2,[],berst
