,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,1.1108627235516906,N,practice,2,[],cemmit
1,d,d,0.49593179300427437,W,practice,2,[],handle
2,d,d,0.5051922630518675,W,practice,2,[],device
3,s,s,0.6846759058535099,N,practice,2,[],menaol
4,d,d,0.4125797552987933,W,practice,2,[],harm
5,d,d,0.410238497890532,W,practice,2,[],delay
6,d,d,0.40697089210152626,W,practice,2,[],escape
7,d,d,0.38861010409891605,W,practice,2,[],bold
8,d,d,0.4770373711362481,W,practice,2,[],persuade
9,d,d,0.3791813710704446,W,practice,2,[],album
10,s,s,0.5247594360262156,N,practice,2,[],docint
11,d,d,0.3862024415284395,W,practice,2,[],seventh
12,s,s,0.4906354183331132,N,practice,2,[],pluen
13,s,s,0.4999944418668747,N,practice,2,[],fruqoant
14,s,s,0.4955039247870445,N,practice,2,[],fruod
15,s,s,1.1227970710024238,N,practice,2,[],imorgu
16,d,d,0.5092864604666829,W,practice,2,[],planet
17,s,s,0.5366189666092396,N,practice,2,[],daluvory
18,s,s,0.44825960602611303,N,practice,2,[],bottir
19,s,s,0.47419132478535175,N,practice,2,[],mitoun
20,d,d,0.5293896719813347,W,practice,2,[],silence
21,s,s,0.5349312294274569,N,practice,2,[],onstont
22,s,s,0.5665808832272887,N,practice,2,[],berst
23,d,d,0.5407975967973471,W,practice,2,[],desk
