,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,0.6905145142227411,W,practice,1,[],bold
1,j,j,1.4584254138171673,N,practice,1,[],menaol
2,j,j,0.7744052428752184,N,practice,1,[],fruod
3,k,k,0.5150410439819098,W,practice,1,[],persuade
4,j,j,0.592529671266675,N,practice,1,[],mitoun
5,j,j,0.5915768835693598,N,practice,1,[],imorgu
6,k,k,0.5426069982349873,W,practice,1,[],delay
7,k,k,0.5113515798002481,W,practice,1,[],device
8,k,k,0.49074389412999153,W,practice,1,[],album
9,j,j,0.5880601909011602,N,practice,1,[],onstont
10,j,j,0.6830724906176329,N,practice,1,[],cemmit
11,k,k,0.5689190942794085,W,practice,1,[],handle
12,j,j,0.5898128282278776,N,practice,1,[],docint
13,j,j,0.604869045317173,N,practice,1,[],fruqoant
14,j,k,0.6710567232221365,N,practice,1,[],daluvory
15,j,j,0.6858797743916512,N,practice,1,[],bottir
16,k,k,0.6436431054025888,W,practice,1,[],seventh
17,k,k,0.5322107598185539,W,practice,1,[],planet
18,k,k,0.554851122200489,W,practice,1,[],desk
19,k,k,0.5576133355498314,W,practice,1,[],escape
20,k,k,0.5193323455750942,W,practice,1,[],harm
21,j,j,0.6859996635466814,N,practice,1,[],berst
22,k,k,0.5098483320325613,W,practice,1,[],silence
23,j,j,0.6194045469164848,N,practice,1,[],pluen
