,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,1.9068186469376087,W,practice,1,[],persuade
1,k,k,1.5553785134106874,N,practice,1,[],berst
2,j,j,0.6461759377270937,W,practice,1,[],planet
3,k,k,0.8146811276674271,N,practice,1,[],onstont
4,k,k,0.5333934482187033,N,practice,1,[],menaol
5,j,j,0.47010341845452785,W,practice,1,[],desk
6,k,k,0.5813375897705555,N,practice,1,[],fruqoant
7,j,j,0.4683327507227659,W,practice,1,[],device
8,k,k,0.5064860880374908,N,practice,1,[],bottir
9,k,k,0.4459177143871784,N,practice,1,[],imorgu
10,k,k,0.47984073869884014,N,practice,1,[],cemmit
11,k,k,0.4870493058115244,N,practice,1,[],mitoun
12,j,j,0.42326831072568893,W,practice,1,[],album
13,j,j,0.39701747708022594,W,practice,1,[],silence
14,k,k,0.4395465552806854,N,practice,1,[],daluvory
15,k,k,0.5513648390769958,N,practice,1,[],docint
16,j,j,0.4661651626229286,W,practice,1,[],escape
17,j,j,0.4222166668623686,W,practice,1,[],bold
18,j,j,0.43001776188611984,W,practice,1,[],harm
19,j,j,0.4698474183678627,W,practice,1,[],seventh
20,k,k,0.47597699984908104,N,practice,1,[],fruod
21,j,j,0.4741636663675308,W,practice,1,[],handle
22,k,k,0.4631944205611944,N,practice,1,[],pluen
23,j,j,0.4192810785025358,W,practice,1,[],delay
