C,R,RT,block,cond,count,day,prestim_R,stim
y,y,1.0976652596145868,1,multi,1,2,[],habitat
y,y,0.7507778406143188,1,multi,1,2,[],nemesis
n,n,0.5719689447432756,1,multi,1,2,[],incline
y,y,0.7368871290236712,1,multi,1,2,[],clamour
y,y,0.8722003363072872,1,multi,1,2,[],amplifier
y,n,0.6446110904216766,1,multi,1,2,[],hilarious
y,y,0.7021699622273445,1,multi,1,2,[],shuffle
n,n,0.5361884161829948,1,multi,1,2,[],freezing
n,n,0.4718410354107618,1,multi,1,2,[],influx
y,y,0.6790464166551828,1,multi,1,2,[],condemn
n,n,0.7328187692910433,1,multi,1,2,[],disparate
n,n,0.5380486231297255,1,multi,1,2,[],recess
y,y,0.6336809080094099,1,multi,1,2,[],denouncing
n,n,0.5611709654331207,1,multi,1,2,[],arithmetic
n,n,0.7409888394176959,1,multi,1,2,[],canvass
n,n,0.6763313747942448,1,multi,1,2,[],caramel
y,y,0.5701477974653244,1,multi,1,2,[],condemn
n,n,0.4790619220584631,1,multi,1,2,[],freezing
y,y,0.5022461600601673,1,multi,1,2,[],hilarious
y,y,0.6977025792002678,1,multi,1,2,[],clamour
n,n,0.6117358040064573,1,multi,1,2,[],influx
y,y,0.6480295341461897,1,multi,1,2,[],habitat
n,n,0.6475217416882515,1,multi,1,2,[],disparate
n,n,0.5040363594889641,1,multi,1,2,[],canvass
n,n,0.5554623436182737,1,multi,1,2,[],caramel
y,y,0.6062696594744921,1,multi,1,2,[],denouncing
y,y,0.7113613300025463,1,multi,1,2,[],nemesis
n,n,0.4654452372342348,1,multi,1,2,[],recess
n,n,0.4785523246973753,1,multi,1,2,[],incline
n,n,0.812654459849,1,multi,1,2,[],arithmetic
y,y,0.5734962318092585,1,multi,1,2,[],shuffle
y,y,0.6344266720116138,1,multi,1,2,[],amplifier
n,n,0.5864951498806477,1,multi,2,2,[],rarity
y,y,0.5145843457430601,1,multi,2,2,[],shuffle
y,y,0.5841217413544655,1,multi,2,2,[],habitat
y,y,0.6071241945028305,1,multi,2,2,[],clamour
n,n,0.5314701404422522,1,multi,2,2,[],capacities
n,n,1.3630866408348083,1,multi,2,2,[],sketch
n,n,0.5512707903981209,1,multi,2,2,[],astrologer
n,n,0.6260895412415266,1,multi,2,2,[],allegiance
y,y,0.6404859442263842,1,multi,2,2,[],amplifier
y,y,0.7189400754868984,1,multi,2,2,[],denouncing
n,n,0.5950741600245237,1,multi,2,2,[],denigrate
n,n,0.5412119682878256,1,multi,2,2,[],barbaric
y,y,0.5649124141782522,1,multi,2,2,[],nemesis
y,y,0.6327834036201239,1,multi,2,2,[],condemn
y,y,1.2082528192549944,1,multi,2,2,[],hilarious
n,n,0.5742747485637665,1,multi,2,2,[],frantic
n,n,0.7151643745601177,1,multi,2,2,[],barbaric
y,y,0.5571846347302198,1,multi,2,2,[],hilarious
n,n,0.7759962603449821,1,multi,2,2,[],denigrate
n,n,0.7155237346887589,1,multi,2,2,[],allegiance
y,y,0.6695828251540661,1,multi,2,2,[],amplifier
y,y,0.7452879603952169,1,multi,2,2,[],denouncing
y,y,0.6565842069685459,1,multi,2,2,[],shuffle
n,n,0.5152204409241676,1,multi,2,2,[],capacities
y,y,0.5346370898187159,1,multi,2,2,[],habitat
n,n,0.6553330514580011,1,multi,2,2,[],astrologer
n,n,0.729997057467699,1,multi,2,2,[],sketch
n,n,0.4792229738086462,1,multi,2,2,[],rarity
n,n,0.4933387376368046,1,multi,2,2,[],frantic
y,y,0.8226486817002296,1,multi,2,2,[],condemn
y,y,0.6975607573986053,1,multi,2,2,[],clamour
y,y,0.6734757106751204,1,multi,2,2,[],nemesis
y,y,2.814487325027585,2,single,3,2,[],stalk
y,y,0.719206290319562,2,single,3,2,[],stalk
n,n,0.42039972729980946,2,single,3,2,[],hindrance
y,y,0.4362101387232542,2,single,3,2,[],stalk
n,n,0.7341558579355478,2,single,3,2,[],corollary
n,n,0.4134516678750515,2,single,3,2,[],toward
y,y,0.4661002606153488,2,single,3,2,[],stalk
n,n,0.41413553431630135,2,single,3,2,[],prescribe
y,y,0.5467898864299059,2,single,3,2,[],stalk
n,n,0.5725533571094275,2,single,3,2,[],sparkle
y,y,0.5315819159150124,2,single,3,2,[],stalk
n,n,0.4672300275415182,2,single,3,2,[],transform
y,y,0.5752347484230995,2,single,3,2,[],stalk
n,n,0.4372494649142027,2,single,3,2,[],hypnotist
n,n,0.5911803729832172,2,single,3,2,[],deficiency
y,y,0.4222082532942295,2,single,3,2,[],stalk
y,y,0.49402711540460587,2,single,3,2,[],stalk
y,y,0.4942789077758789,2,single,3,2,[],stalk
n,n,0.45562949404120445,2,single,3,2,[],prescribe
n,n,0.451603502035141,2,single,3,2,[],transform
n,n,0.45457905158400536,2,single,3,2,[],hindrance
n,n,0.39463174901902676,2,single,3,2,[],toward
n,n,0.4211938679218292,2,single,3,2,[],sparkle
y,y,0.35702526569366455,2,single,3,2,[],stalk
n,n,0.5713442675769329,2,single,3,2,[],deficiency
y,y,0.5271860454231501,2,single,3,2,[],stalk
n,n,0.49378914199769497,2,single,3,2,[],hypnotist
n,n,0.4151201732456684,2,single,3,2,[],corollary
y,y,0.45176575519144535,2,single,3,2,[],stalk
y,y,0.5635753236711025,2,single,3,2,[],stalk
y,y,0.4703909680247307,2,single,3,2,[],stalk
y,y,0.44453285075724125,2,single,3,2,[],stalk
