,C,R,RT,S,cond,day,prestim_R,stim
0,d,d,0.7134048230946064,W,practice,1,[],device
1,d,d,0.5495569128543139,W,practice,1,[],planet
2,d,d,0.45533923991024494,W,practice,1,[],persuade
3,s,s,0.5553151126950979,N,practice,1,[],pluen
4,s,s,0.5570716578513384,N,practice,1,[],mitoun
5,d,d,0.44790712371468544,W,practice,1,[],harm
6,s,s,0.529838589951396,N,practice,1,[],fruqoant
7,d,d,0.4713506679981947,W,practice,1,[],seventh
8,d,d,0.5084788035601377,W,practice,1,[],delay
9,s,s,0.46976178511977196,N,practice,1,[],bottir
10,s,s,0.6268289964646101,N,practice,1,[],daluvory
11,d,d,0.41728536039590836,W,practice,1,[],album
12,d,d,0.4939438831061125,W,practice,1,[],escape
13,d,d,0.43126020208001137,W,practice,1,[],silence
14,d,d,0.4070681892335415,W,practice,1,[],desk
15,s,s,0.5477210432291031,N,practice,1,[],cemmit
16,s,s,0.45242979377508163,N,practice,1,[],imorgu
17,s,s,0.5023891851305962,N,practice,1,[],onstont
18,d,d,0.4737796653062105,W,practice,1,[],bold
19,d,d,0.47190533578395844,W,practice,1,[],handle
20,s,s,0.4871033914387226,N,practice,1,[],docint
21,s,s,0.49643898382782936,N,practice,1,[],menaol
22,s,s,0.48385471291840076,N,practice,1,[],berst
23,s,s,0.4201112762093544,N,practice,1,[],fruod
