C,R,RT,block,cond,count,day,prestim_R,stim
y,y,0.6309287476178724,1,multi,1,2,[],shrunk
y,y,0.7093211887695361,1,multi,1,2,[],educating
n,y,0.6223215039353818,1,multi,1,2,[],heavier
n,n,0.7657246853632387,1,multi,1,2,[],salute
n,y,0.4871580922044814,1,multi,1,2,[],statute
y,y,0.6104854171571787,1,multi,1,2,[],tantamount
n,n,1.013741663104156,1,multi,1,2,[],rarity
n,n,0.6302502879407257,1,multi,1,2,[],nautical
n,y,0.5566875903459731,1,multi,1,2,[],affiliate
y,n,0.4996990799845662,1,multi,1,2,[],appellate
y,n,1.0491204211721197,1,multi,1,2,[],captivity
y,y,0.6659857030608691,1,multi,1,2,[],aerial
y,y,0.4286645311221946,1,multi,1,2,[],statistic
n,n,0.7724545968521852,1,multi,1,2,[],ostracism
n,n,0.7280178911460098,1,multi,1,2,[],removable
y,y,0.6131466737715527,1,multi,1,2,[],indemnity
n,y,0.6084602540940978,1,multi,1,2,[],rarity
y,y,0.5998497052642051,1,multi,1,2,[],tantamount
y,y,0.6010470754408743,1,multi,1,2,[],statistic
y,y,0.6272068343532737,1,multi,1,2,[],appellate
n,y,0.48962524565286,1,multi,1,2,[],nautical
n,y,0.5911216729437001,1,multi,1,2,[],salute
n,n,0.7713774143776391,1,multi,1,2,[],removable
y,y,0.5989137433934957,1,multi,1,2,[],educating
y,y,0.5280522648245096,1,multi,1,2,[],shrunk
n,n,0.9266536403156352,1,multi,1,2,[],heavier
y,n,0.8824362772284076,1,multi,1,2,[],captivity
n,n,0.7470628374430817,1,multi,1,2,[],ostracism
n,y,0.6183147458068561,1,multi,1,2,[],affiliate
y,y,0.7148381056613289,1,multi,1,2,[],aerial
n,y,0.9488529133668636,1,multi,1,2,[],statute
y,y,0.8559871663455851,1,multi,1,2,[],indemnity
y,y,0.6607845794351306,1,multi,2,2,[],educating
n,n,0.5845125501509756,1,multi,2,2,[],curiosity
n,n,0.5995372171746567,1,multi,2,2,[],pavement
n,n,0.8966346536763012,1,multi,2,2,[],chariot
n,n,0.4781608394114301,1,multi,2,2,[],faint
y,y,0.4773546802753117,1,multi,2,2,[],tantamount
y,y,0.6355253270012327,1,multi,2,2,[],appellate
n,n,0.5698646716482472,1,multi,2,2,[],baffling
y,y,0.5428233357670251,1,multi,2,2,[],shrunk
y,y,0.5674978749302682,1,multi,2,2,[],indemnity
n,n,0.9884331336943432,1,multi,2,2,[],concise
n,n,0.7457296551438048,1,multi,2,2,[],souvenir
y,n,1.3951240442402195,1,multi,2,2,[],captivity
y,y,0.7197351543582045,1,multi,2,2,[],aerial
n,n,0.5889342564041726,1,multi,2,2,[],malaria
y,y,0.6199426884704735,1,multi,2,2,[],statistic
n,n,0.6962811214616522,1,multi,2,2,[],concise
y,y,0.5660285800404381,1,multi,2,2,[],tantamount
n,n,0.5550262955657672,1,multi,2,2,[],baffling
y,y,1.6137998940539546,1,multi,2,2,[],aerial
y,y,0.6330197135102935,1,multi,2,2,[],shrunk
y,y,0.494383177079726,1,multi,2,2,[],indemnity
n,n,0.8157113595807459,1,multi,2,2,[],faint
n,n,0.7375613971671555,1,multi,2,2,[],curiosity
y,y,0.5768607989011798,1,multi,2,2,[],statistic
y,n,1.0159041406877805,1,multi,2,2,[],captivity
y,n,0.7794864799361676,1,multi,2,2,[],educating
n,n,0.7861487857881002,1,multi,2,2,[],souvenir
n,n,0.7448594960442279,1,multi,2,2,[],pavement
n,n,0.7350569854897913,1,multi,2,2,[],chariot
n,n,0.4762687842303421,1,multi,2,2,[],malaria
y,y,0.9853881777962672,1,multi,2,2,[],appellate
n,n,0.6737765716097783,1,multi,3,2,[],plaintive
n,n,0.5895595330512151,1,multi,3,2,[],flamboyant
y,y,0.5405382667086087,1,multi,3,2,[],shrunk
y,y,0.5481834076636005,1,multi,3,2,[],educating
n,n,0.693922437436413,1,multi,3,2,[],intersect
y,y,0.5498086461157072,1,multi,3,2,[],appellate
n,n,0.7025185637467075,1,multi,3,2,[],accomplish
y,y,0.5344811060349457,1,multi,3,2,[],tantamount
n,n,0.5341061203507707,1,multi,3,2,[],cushion
n,n,0.6067989593138918,1,multi,3,2,[],accordion
y,y,0.6271494447428267,1,multi,3,2,[],indemnity
y,y,0.5695470756036229,1,multi,3,2,[],captivity
n,y,0.4944859375827946,1,multi,3,2,[],compliant
n,n,0.6919594715000129,1,multi,3,2,[],sonic
y,y,0.6918684292759281,1,multi,3,2,[],statistic
y,y,0.7398233300482389,1,multi,3,2,[],aerial
y,y,0.6590851250803098,1,multi,3,2,[],educating
n,n,0.7417673664458562,1,multi,3,2,[],intersect
y,y,0.6050081622379366,1,multi,3,2,[],tantamount
n,n,0.8541894585068803,1,multi,3,2,[],sonic
y,y,0.5743602933653165,1,multi,3,2,[],captivity
n,n,0.9393100083107128,1,multi,3,2,[],compliant
n,n,0.5350619131932035,1,multi,3,2,[],cushion
