,stim,S,C,R,RT,block,cond,day,prestim_R
0,pabnet,N,j,j,0.8822249236982316,1,single,2,[]
1,esplanade,W,k,k,0.5665823952294886,1,single,2,[]
2,sprunk,N,j,j,0.6914674658328295,1,single,2,[]
3,mirage,W,k,k,0.7874062687624246,1,single,2,[]
4,shubney,N,j,j,0.5620299915317446,1,single,2,[]
5,minusnock,N,j,j,0.5109358644112945,1,single,2,[]
6,vibration,W,k,k,0.5084621044807136,1,single,2,[]
7,angrily,P,d,d,0.6638682000339031,1,single,2,[]
8,milarclily,N,j,k,0.547552200499922,1,single,2,[]
9,porcelain,W,k,k,0.7123888114001602,1,single,2,[]
10,flare,W,k,k,0.5544224209152162,1,single,2,[]
11,tenure,W,k,k,0.8601365571375936,1,single,2,[]
12,epopma,N,j,j,0.6203107328619808,1,single,2,[]
13,academies,W,k,k,0.9525803064461797,1,single,2,[]
14,allurity,N,j,j,0.6864760771859437,1,single,2,[]
15,ministries,W,k,k,0.7023693772498518,1,single,2,[]
16,munance,N,j,j,0.686253129504621,1,single,2,[]
17,angrily,P,d,d,0.51015644823201,1,single,2,[]
18,dignified,W,k,k,0.6175683536566794,1,single,2,[]
19,wilesis,N,j,j,0.517850553849712,1,single,2,[]
20,plestrate,N,j,j,0.5313683471176773,1,single,2,[]
21,rubour,N,j,j,0.4669637503102422,1,single,2,[]
22,scoundrel,W,k,k,0.6000762588810176,1,single,2,[]
23,nutotive,N,j,j,0.6171981759835035,1,single,2,[]
24,deter,W,k,k,0.789479503640905,1,single,2,[]
25,angrily,P,d,d,0.5390702653676271,1,single,2,[]
26,custard,W,k,k,0.6597827249206603,1,single,2,[]
27,goration,N,j,j,0.5664093249943107,1,single,2,[]
28,ecinhat,N,j,j,0.4513294545467943,1,single,2,[]
29,funcisol,N,j,j,0.4542836642358452,1,single,2,[]
30,capturing,W,k,k,0.5622935029678047,1,single,2,[]
31,caerfoon,N,j,j,0.6231895249802619,1,single,2,[]
32,abdrantic,N,j,j,0.5415930016897619,1,single,2,[]
33,truism,W,k,j,0.5732116396538913,1,single,2,[]
34,sponing,N,j,j,0.8153483695350587,1,single,2,[]
35,trupor,N,j,j,0.4822483002208173,1,single,2,[]
36,angrily,P,d,d,0.571516394149512,1,single,2,[]
37,interval,W,k,k,0.6164464030880481,1,single,2,[]
38,himping,N,j,j,0.5716789478901774,1,single,2,[]
39,cetcable,N,j,j,0.5365589463617653,1,single,2,[]
40,collyll,N,j,j,0.4652588900644332,1,single,2,[]
41,panfour,N,j,j,0.4452762089204043,1,single,2,[]
42,patriot,W,k,k,0.5831730831414461,1,single,2,[]
43,angrily,P,d,d,0.7581790625117719,1,single,2,[]
44,amplifier,W,k,k,0.6086342129856348,1,single,2,[]
45,velly,N,j,j,0.5158824829850346,1,single,2,[]
46,meander,W,k,j,0.5432720216922462,1,single,2,[]
47,redaration,N,j,j,0.6420021802186966,1,single,2,[]
48,orsial,N,j,j,0.5305309405084699,1,single,2,[]
49,catciox,N,j,j,0.42721292306669056,1,single,2,[]
50,telte,N,j,j,0.44192357757128775,1,single,2,[]
51,skucore,N,j,j,0.5089134084992111,1,single,2,[]
52,nadation,N,j,j,0.5843268835451454,1,single,2,[]
53,drelding,N,j,j,0.8073321611154824,1,single,2,[]
54,specified,W,k,k,0.4561213315464556,1,single,2,[]
55,angrily,P,d,d,0.5801386481616646,1,single,2,[]
56,squaruous,N,j,j,0.6751471997704357,1,single,2,[]
57,pripney,N,j,j,0.4489233000203967,1,single,2,[]
58,seviant,N,j,j,0.6348254815675318,1,single,2,[]
59,potication,N,j,j,0.6012462847866118,1,single,2,[]
60,panlidan,N,j,j,0.515426070895046,1,single,2,[]
61,remiturst,N,j,j,0.44897558144293725,1,single,2,[]
62,strenuous,W,k,k,0.6188432429917157,1,single,2,[]
63,angrily,P,d,j,0.5191383634228259,1,single,2,[]
64,dynasty,W,k,k,0.6776903681457043,1,single,2,['d']
65,orclack,N,j,j,0.5223828260786831,1,single,2,[]
66,spipy,N,j,j,0.49697007215581834,1,single,2,[]
