,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.5345246735960245,W,practice,2,[],persuade
1,k,k,0.6541616357862949,N,practice,2,[],berst
2,j,j,0.4386863838881254,W,practice,2,[],planet
3,j,j,0.40652174688875675,W,practice,2,[],album
4,k,k,0.8351370003074408,N,practice,2,[],menaol
5,j,j,0.4412361662834883,W,practice,2,[],harm
6,k,k,0.46713992580771446,N,practice,2,[],daluvory
7,j,j,0.42319028079509735,W,practice,2,[],device
8,k,k,0.4949994385242462,N,practice,2,[],onstont
9,k,k,0.45527529530227184,N,practice,2,[],fruod
10,k,k,0.4363427236676216,N,practice,2,[],docint
11,k,k,0.4543056804686785,N,practice,2,[],fruqoant
12,k,k,0.4103419128805399,N,practice,2,[],imorgu
13,k,k,0.40804572589695454,N,practice,2,[],mitoun
14,j,j,0.39669700153172016,W,practice,2,[],delay
15,k,k,0.3672323804348707,N,practice,2,[],bottir
16,j,j,0.38949505239725113,W,practice,2,[],escape
17,j,j,0.3899244237691164,W,practice,2,[],silence
18,k,k,0.470417445525527,N,practice,2,[],cemmit
19,k,k,0.42162393406033516,N,practice,2,[],pluen
20,j,j,0.44436585530638695,W,practice,2,[],bold
21,j,j,0.3902792762964964,W,practice,2,[],desk
22,j,j,0.4707491621375084,W,practice,2,[],seventh
23,j,j,0.4278415460139513,W,practice,2,[],handle
