C,R,RT,block,cond,count,day,prestim_R,stim
n,n,0.7681810222566128,1,multi,1,1,[],satire
n,n,0.5556906331330538,1,multi,1,1,[],obtuse
y,y,0.5265270825475454,1,multi,1,1,[],innovate
y,y,0.5160298869013786,1,multi,1,1,[],attrition
y,y,0.471485011279583,1,multi,1,1,[],caricature
n,n,0.5186779238283634,1,multi,1,1,[],specimen
y,y,0.3642132636159657,1,multi,1,1,[],oppressive
n,n,0.386532124131918,1,multi,1,1,['y'],compel
y,y,0.6450643260031939,1,multi,1,1,[],cavalry
n,n,0.4535917658358812,1,multi,1,1,[],gliding
n,n,0.4635258801281452,1,multi,1,1,[],merging
y,y,0.4675590805709362,1,multi,1,1,[],motivate
y,y,0.4806694574654102,1,multi,1,1,[],dread
y,y,0.5588034950196743,1,multi,1,1,[],oblique
n,n,0.6416185423731804,1,multi,1,1,[],feather
n,n,0.4821621887385845,1,multi,1,1,[],souvenir
y,y,0.5213530007749796,1,multi,1,1,[],oblique
n,n,0.5828792005777359,1,multi,1,1,[],specimen
y,y,0.4459099657833576,1,multi,1,1,[],attrition
n,n,0.5358305126428604,1,multi,1,1,[],satire
n,n,0.6325539872050285,1,multi,1,1,[],compel
y,y,0.5189726836979389,1,multi,1,1,[],cavalry
y,y,0.4765007458627224,1,multi,1,1,[],oppressive
y,y,0.4036907237023115,1,multi,1,1,[],innovate
y,y,0.4942503701895475,1,multi,1,1,[],dread
y,y,0.3915508631616831,1,multi,1,1,[],motivate
n,n,0.5141047798097134,1,multi,1,1,[],feather
n,y,0.5494808349758387,1,multi,1,1,[],merging
n,n,0.5703586433082819,1,multi,1,1,['n'],obtuse
y,y,0.4553227685391903,1,multi,1,1,[],caricature
n,n,0.4993772767484188,1,multi,1,1,[],souvenir
n,n,0.3966891895979643,1,multi,1,1,[],gliding
y,y,0.5285982172936201,1,multi,2,1,[],oppressive
n,n,0.4541380181908608,1,multi,2,1,[],generosity
y,y,0.41817544773221016,1,multi,2,1,[],oblique
n,n,0.4558488894253969,1,multi,2,1,[],admissible
n,n,0.4518965166062117,1,multi,2,1,[],organizer
n,n,0.453817717730999,1,multi,2,1,[],diligence
n,n,0.4258942045271397,1,multi,2,1,[],mulch
n,n,0.4155826978385449,1,multi,2,1,[],myopic
y,n,0.3562661521136761,1,multi,2,1,[],attrition
y,y,0.4526260551065207,1,multi,2,1,['space'],innovate
y,y,0.5265379007905722,1,multi,2,1,[],dread
n,n,0.47716177999973297,1,multi,2,1,[],reinstate
y,y,0.3632478564977646,1,multi,2,1,[],motivate
n,n,0.5935969389975071,1,multi,2,1,[],sketch
y,y,0.4747499115765095,1,multi,2,1,[],cavalry
y,y,0.4419651050120592,1,multi,2,1,[],caricature
y,n,0.3638881575316191,1,multi,2,1,[],motivate
n,n,0.5183843635022639,1,multi,2,1,['y'],diligence
y,y,0.5158934742212296,1,multi,2,1,[],innovate
y,y,0.5124053247272968,1,multi,2,1,[],caricature
y,y,0.5419432613998652,1,multi,2,1,[],oblique
y,y,0.4535887595266104,1,multi,2,1,[],attrition
n,n,0.43948953971266747,1,multi,2,1,[],myopic
n,n,0.5593221038579941,1,multi,2,1,[],organizer
n,n,0.5381378177553415,1,multi,2,1,[],sketch
n,n,0.4737857058644295,1,multi,2,1,[],mulch
y,y,0.33698894269764423,1,multi,2,1,[],oppressive
n,n,0.5140353702008724,1,multi,2,1,[],generosity
n,n,0.5254529062658548,1,multi,2,1,[],reinstate
y,y,0.3869795240461826,1,multi,2,1,[],cavalry
n,n,0.5084730833768845,1,multi,2,1,[],admissible
y,y,0.36682524532079697,1,multi,2,1,[],dread
n,n,0.7435127925127745,1,multi,3,1,[],plaguing
y,y,0.3977795913815497,1,multi,3,1,[],oblique
n,n,0.4573830869048834,1,multi,3,1,[],chariot
n,n,0.5814486648887396,1,multi,3,1,[],pavement
n,n,0.43644007481634617,1,multi,3,1,[],pivot
n,n,0.4282573945820332,1,multi,3,1,[],happiness
n,y,0.4840833898633719,1,multi,3,1,[],capsule
y,y,1.0634795483201742,1,multi,3,1,"['n', 'n']",caricature
n,n,0.3683621436357498,1,multi,3,1,[],subsiding
y,y,0.5096172709017992,1,multi,3,1,[],motivate
y,y,0.7061118762940168,1,multi,3,1,[],attrition
y,y,0.5641452390700579,1,multi,3,1,[],dread
y,y,0.3850517123937607,1,multi,3,1,[],oppressive
y,y,0.5455077271908522,1,multi,3,1,[],innovate
n,n,0.4432430006563664,1,multi,3,1,[],confer
y,y,0.477178905159235,1,multi,3,1,[],cavalry
n,n,0.7883557341992855,1,multi,3,1,[],capsule
y,n,0.5150734931230545,1,multi,3,1,[],cavalry
n,n,0.6187110636383295,1,multi,3,1,['n'],chariot
y,y,0.4789805188775063,1,multi,3,1,[],oppressive
y,y,0.5011199992150068,1,multi,3,1,[],oblique
