C,R,RT,block,cond,count,day,prestim_R,stim
n,n,0.7082082498818636,1,multi,1,1,[],tranquil
n,n,0.7432910446077585,1,multi,1,1,[],morphine
n,n,0.5985967479646206,1,multi,1,1,[],irritation
y,y,0.6157343164086342,1,multi,1,1,[],fluke
y,y,0.7400384675711393,1,multi,1,1,[],applaud
n,n,0.6033525764942169,1,multi,1,1,[],allegiance
n,n,0.6684528570622206,1,multi,1,1,[],mantle
y,y,0.9361857287585736,1,multi,1,1,[],equitably
y,y,0.6780970208346844,1,multi,1,1,[],stealth
y,y,0.5948532018810511,1,multi,1,1,[],macabre
y,y,0.5730469431728125,1,multi,1,1,[],adequacy
y,y,0.7379709370434284,1,multi,1,1,[],contradict
n,n,0.649287723004818,1,multi,1,1,[],cushion
n,n,0.6978057026863098,1,multi,1,1,[],automation
n,n,0.7776995897293091,1,multi,1,1,[],metric
y,y,0.6212265938520432,1,multi,1,1,[],bumbling
y,y,0.5535380709916353,1,multi,1,1,[],stealth
n,n,0.7483473438769579,1,multi,1,1,[],tranquil
y,y,0.8618012480437756,1,multi,1,1,[],macabre
n,n,0.6321032829582691,1,multi,1,1,[],morphine
n,n,0.7104587666690351,1,multi,1,1,[],mantle
y,y,0.8005322515964508,1,multi,1,1,[],equitably
y,y,1.0173307675868273,1,multi,1,1,[],contradict
y,y,0.6028850469738245,1,multi,1,1,[],fluke
n,n,0.5970084685832262,1,multi,1,1,[],cushion
n,n,0.9261707849800588,1,multi,1,1,[],allegiance
n,n,0.6099824327975512,1,multi,1,1,[],irritation
y,y,0.6532509122043848,1,multi,1,1,[],applaud
n,n,0.7428343333303928,1,multi,1,1,[],metric
y,y,0.6861405838280916,1,multi,1,1,[],bumbling
n,n,0.686047438532114,1,multi,1,1,[],automation
y,y,0.8539743237197399,1,multi,1,1,[],adequacy
y,y,0.6372301895171404,2,single,2,1,[],dedication
n,n,0.4836401976644993,2,single,2,1,[],kidney
n,n,0.45295777544379234,2,single,2,1,[],gallop
y,y,0.5049786251038313,2,single,2,1,[],dedication
y,y,0.5164111834019423,2,single,2,1,[],dedication
y,y,0.47397199645638466,2,single,2,1,[],dedication
n,n,0.489155612885952,2,single,2,1,[],quadrant
n,n,0.42540504038333893,2,single,2,1,[],telescope
y,y,0.39111367985606194,2,single,2,1,[],dedication
n,n,0.7355572655797005,2,single,2,1,[],barrow
y,y,0.39886518754065037,2,single,2,1,[],dedication
y,y,0.4733971990644932,2,single,2,1,[],dedication
n,n,0.4635445103049278,2,single,2,1,[],odyssey
n,n,0.5246452447026968,2,single,2,1,[],condoning
y,y,0.3941430114209652,2,single,2,1,[],dedication
n,n,0.5167419984936714,2,single,2,1,[],lilac
y,y,0.5152865275740623,2,single,2,1,[],dedication
y,y,0.5688274521380663,2,single,2,1,[],dedication
y,y,0.47776572220027447,2,single,2,1,[],dedication
n,n,0.48392323963344097,2,single,2,1,[],quadrant
y,y,0.3951417710632086,2,single,2,1,[],dedication
n,n,0.5176707487553358,2,single,2,1,[],kidney
n,n,0.45919942297041416,2,single,2,1,[],telescope
y,y,0.3842804078012705,2,single,2,1,[],dedication
n,n,0.4727010130882263,2,single,2,1,[],condoning
y,y,0.3908877279609442,2,single,2,1,[],dedication
n,n,0.559267420321703,2,single,2,1,[],lilac
n,n,0.48209518380463123,2,single,2,1,[],gallop
n,n,0.4594025406986475,2,single,2,1,[],odyssey
y,y,0.35142228566110134,2,single,2,1,[],dedication
y,y,0.4756570290774107,2,single,2,1,[],dedication
n,n,0.36982753314077854,2,single,2,1,[],barrow
