,stim,S,C,R,RT,block,cond,day,prestim_R
0,instalment,W,j,j,1.3898376026190817,1,multi,2,[]
1,ebude,N,k,k,0.7523475629277527,1,multi,2,[]
2,idthibier,N,k,k,0.6256849186029285,1,multi,2,[]
3,receptive,W,j,j,0.6241284899879247,1,multi,2,[]
4,brack,N,k,j,1.0385143978055567,1,multi,2,[]
5,charade,W,j,j,0.7513157532084733,1,multi,2,[]
6,weign,N,k,k,0.7986212687101215,1,multi,2,[]
7,atflirant,N,k,k,0.9433496028650552,1,multi,2,[]
8,ensyranct,N,k,k,0.6132464096881449,1,multi,2,[]
9,grastling,N,k,k,0.5844711088575423,1,multi,2,[]
10,nublation,N,k,k,0.6085116215981543,1,multi,2,[]
11,hiccup,P,d,d,0.8037604878190905,1,multi,2,[]
12,engagingly,W,j,j,0.8045612373389304,1,multi,2,[]
13,microphone,W,j,j,0.6453382859472185,1,multi,2,[]
14,dormant,W,j,j,0.7738716492895037,1,multi,2,[]
15,nuirian,N,k,k,0.8253221327904612,1,multi,2,[]
16,tadle,N,k,k,0.8282616194337606,1,multi,2,[]
17,didactic,W,j,k,0.5431271956767887,1,multi,2,[]
18,ancour,N,k,k,0.721887833904475,1,multi,2,[]
19,confidant,W,j,j,0.7030613569077104,1,multi,2,[]
20,inscusage,N,k,k,0.7530500593129545,1,multi,2,[]
21,explicable,P,d,d,0.8344852307345718,1,multi,2,[]
22,placebo,W,j,j,0.791451781289652,1,multi,2,[]
23,epmactic,N,k,k,1.0141373600345105,1,multi,2,[]
24,wrath,W,j,j,0.6695269297342747,1,multi,2,[]
25,pebble,W,j,j,1.1702982333954424,1,multi,2,[]
26,microscope,W,j,j,0.5699100876227021,1,multi,2,[]
27,comparting,N,k,j,0.7268614948261529,1,multi,2,[]
28,evame,N,k,k,0.9122008981648833,1,multi,2,[]
29,oblique,P,d,d,0.8498316772747785,1,multi,2,[]
30,canoe,W,j,j,0.824944443302229,1,multi,2,[]
31,dislal,N,k,k,0.715827977983281,1,multi,2,[]
32,axpidapat,N,k,k,0.63089564954862,1,multi,2,[]
33,twenties,W,j,j,0.693297621794045,1,multi,2,[]
34,myrille,N,k,k,0.693205377785489,1,multi,2,[]
35,flotation,P,d,d,0.7411487884819508,1,multi,2,[]
36,forging,W,j,j,0.8363688699901104,1,multi,2,[]
37,avenge,W,j,j,0.7272731370758265,1,multi,2,[]
38,commencing,W,j,j,0.5964796468615532,1,multi,2,[]
39,ironies,W,j,j,0.6295573611278087,1,multi,2,[]
40,quantum,W,j,j,0.579902179306373,1,multi,2,[]
41,roulette,W,j,j,0.5400233524851501,1,multi,2,[]
42,retaliate,W,j,j,0.6036614533513784,1,multi,2,[]
43,churple,N,k,k,0.8858386627398431,1,multi,2,[]
44,stove,W,j,j,0.5883435511495918,1,multi,2,[]
45,subscribe,W,j,j,0.8913462567143142,1,multi,2,[]
46,bacteria,P,d,d,0.705859923735261,1,multi,2,[]
47,sampling,W,j,j,0.5089104038197547,1,multi,2,[]
48,fadgist,N,k,k,1.0323100166860968,1,multi,2,[]
49,rendition,W,j,j,0.7719189021736383,1,multi,2,[]
