,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,2.2114273111801594,N,practice,1,[],cemmit
1,d,d,0.5533560568001121,W,practice,1,[],planet
2,d,d,0.5961794783361256,W,practice,1,[],device
3,d,d,0.5812981578055769,W,practice,1,[],bold
4,s,s,1.0602485118433833,N,practice,1,[],menaol
5,s,s,1.1310915553476661,N,practice,1,[],imorgu
6,s,s,0.9334608721546829,N,practice,1,[],fruod
7,d,d,0.5852321963757277,W,practice,1,[],escape
8,d,d,0.584267390659079,W,practice,1,[],silence
9,s,s,0.7752559094224125,N,practice,1,[],mitoun
10,d,d,0.5318226560484618,W,practice,1,[],desk
11,d,d,0.5634950776584446,W,practice,1,[],handle
12,s,s,1.0382118257693946,N,practice,1,[],berst
13,s,s,0.8098326628096402,N,practice,1,[],bottir
14,d,d,0.6985774603672326,W,practice,1,[],album
15,d,d,1.0824925212655216,W,practice,1,[],persuade
16,s,s,1.454509616829455,N,practice,1,[],fruqoant
17,d,d,0.5784602293279022,W,practice,1,[],seventh
18,d,d,0.463413410121575,W,practice,1,[],delay
19,s,s,1.4834018002729863,N,practice,1,[],onstont
20,s,s,0.9065704124514014,N,practice,1,[],docint
21,s,s,0.9791730016004294,N,practice,1,[],pluen
22,s,s,1.766330181621015,N,practice,1,[],daluvory
23,d,d,0.5457875467836857,W,practice,1,[],harm
