,C,R,RT,S,cond,day,prestim_R,stim
0,d,d,0.8797148549929261,W,practice,1,[],bold
1,d,d,0.6841008076444268,W,practice,1,[],delay
2,s,s,0.905925708822906,N,practice,1,['d'],mitoun
3,d,d,0.5226227976381779,W,practice,1,['s'],handle
4,d,s,0.6734512681141496,W,practice,1,['d'],persuade
5,s,s,0.6971910614520311,N,practice,1,[],fruqoant
6,s,s,0.712916131131351,N,practice,1,['s'],imorgu
7,s,d,0.39523725770413876,N,practice,1,['s'],berst
8,s,s,0.6647280380129814,N,practice,1,[],daluvory
9,d,d,0.4363009203225374,W,practice,1,['s'],device
10,s,s,0.6452116435393691,N,practice,1,['d'],cemmit
11,s,s,0.6620021779090166,N,practice,1,['s'],fruod
12,d,d,0.4813875686377287,W,practice,1,[],seventh
13,d,s,0.3927223291248083,W,practice,1,[],silence
14,d,d,0.5413098968565464,W,practice,1,[],desk
15,d,d,0.7019919622689486,W,practice,1,['d'],album
16,s,s,0.6960222348570824,N,practice,1,[],bottir
17,s,s,0.6318545732647181,N,practice,1,[],menaol
18,s,s,0.630281014367938,N,practice,1,[],onstont
19,s,s,0.7486906293779612,N,practice,1,['s'],pluen
20,d,d,0.3961329571902752,W,practice,1,[],planet
21,s,s,0.6145751737058163,N,practice,1,['d'],docint
22,d,d,0.45092386938631535,W,practice,1,['s'],harm
23,d,d,0.5727930888533592,W,practice,1,[],escape
