,stim,S,C,R,RT,block,cond,day,prestim_R
0,fragrant,W,k,j,1.4845082350075245,1,multi,1,[]
1,stallion,W,k,k,1.3347598630934954,1,multi,1,[]
2,reliably,P,d,d,1.0558191500604153,1,multi,1,[]
3,sisation,N,j,j,1.0386136565357447,1,multi,1,[]
4,catod,N,j,j,0.6352788042277098,1,multi,1,[]
5,frustrate,W,k,k,0.9557924997061491,1,multi,1,[]
6,sparse,W,k,k,1.0438295099884272,1,multi,1,[]
7,writight,N,j,j,0.7546196449548006,1,multi,1,[]
8,stusciaphy,N,j,j,0.5800158232450485,1,multi,1,[]
9,telegram,W,k,k,0.6750444620847702,1,multi,1,[]
10,compile,W,k,k,0.5528458543121815,1,multi,1,[]
11,assimilate,W,k,k,0.579688610509038,1,multi,1,[]
12,excerpt,W,k,k,0.9707267433404922,1,multi,1,[]
13,atwansion,N,j,j,0.6917415596544743,1,multi,1,[]
14,hirgup,N,j,j,0.6116859260946512,1,multi,1,[]
15,epraiting,N,j,j,0.5909300837665796,1,multi,1,[]
16,arpide,N,j,j,0.6219869274646044,1,multi,1,[]
17,grumolous,N,j,j,0.5873728226870298,1,multi,1,[]
18,inflating,W,k,k,0.8284522537142038,1,multi,1,[]
19,indignant,W,k,k,0.7994109597057104,1,multi,1,[]
20,libraries,P,d,k,0.48022443801164627,1,multi,1,[]
21,fledgling,W,k,k,1.6463496088981628,1,multi,1,[]
22,plung,N,j,j,1.1428682170808315,1,multi,1,[]
23,rappall,N,j,j,0.6364362128078938,1,multi,1,[]
24,infusion,W,k,k,0.9708544425666332,1,multi,1,[]
25,pummer,N,j,j,1.0289634726941586,1,multi,1,[]
26,blatant,P,d,d,0.9184702597558498,1,multi,1,[]
27,rosit,N,j,j,0.6801716759800911,1,multi,1,[]
28,melancholy,W,k,k,0.9019795842468739,1,multi,1,[]
29,conserving,W,k,k,0.7004948426038027,1,multi,1,[]
30,bercolies,N,j,j,0.6364049650728703,1,multi,1,[]
31,frail,W,k,k,1.0028367340564728,1,multi,1,[]
32,apostrophe,W,k,k,0.8822176940739155,1,multi,1,[]
33,poudly,N,j,j,0.9986352659761906,1,multi,1,[]
34,convict,P,d,d,0.7559450175613165,1,multi,1,[]
35,fusion,W,k,k,0.6213469263166189,1,multi,1,[]
36,deplus,N,j,j,0.7957912012934685,1,multi,1,[]
37,votty,N,j,j,0.7405786979943514,1,multi,1,[]
38,rehearsing,W,k,k,0.6039356105029583,1,multi,1,[]
39,altar,W,k,k,0.6850317735224962,1,multi,1,[]
40,dedearting,N,j,j,0.7628203649073839,1,multi,1,[]
41,convey,W,k,k,0.7722488008439541,1,multi,1,[]
42,coward,W,k,k,0.6557720378041267,1,multi,1,[]
43,parmesan,W,k,k,1.0194503013044596,1,multi,1,[]
44,inusupibly,N,j,j,0.909039119258523,1,multi,1,[]
45,eluseition,N,j,j,1.1986822616308928,1,multi,1,[]
46,crusade,W,k,k,0.7086967639625072,1,multi,1,[]
47,comsticant,N,j,j,0.8226997628808022,1,multi,1,[]
48,cardinal,P,d,d,0.8496269509196281,1,multi,1,[]
49,crucible,W,k,k,0.7847567517310381,1,multi,1,[]
50,unkiche,N,j,j,0.725351195782423,1,multi,1,[]
51,asodind,N,j,j,0.7054694183170795,1,multi,1,[]
52,brusall,N,j,j,0.7875123601406813,1,multi,1,[]
53,emstanase,N,j,j,1.0421967580914497,1,multi,1,[]
54,mound,W,k,j,1.2308436315506697,1,multi,1,[]
55,praising,W,k,k,0.7322199326008558,1,multi,1,[]
56,escaping,W,k,k,0.6744852866977453,1,multi,1,[]
57,memorandum,W,k,k,0.7662240844219923,1,multi,1,[]
58,solemn,W,k,k,0.7195809781551361,1,multi,1,[]
59,enticing,P,d,d,1.0288015194237232,1,multi,1,[]
60,cheetah,W,k,k,0.9444200228899717,1,multi,1,[]
61,demedind,N,j,j,0.6783315986394882,1,multi,1,[]
62,kerosene,W,k,k,0.9001175723969936,1,multi,1,[]
63,appencog,N,j,j,0.6586580481380224,1,multi,1,[]
64,neciert,N,j,j,0.7253043223172426,1,multi,1,[]
65,collage,W,k,k,0.8345019109547138,1,multi,1,[]
