,stim,S,C,R,RT,block,cond,day,prestim_R
0,frivolous,W,s,s,0.8157446011900902,1,multi,2,[]
1,daxny,N,d,d,0.6973043382167816,1,multi,2,[]
2,vebomidacy,N,d,d,0.6023253332823515,1,multi,2,[]
3,coronation,P,j,j,0.6197802061215043,1,multi,2,[]
4,tuning,W,s,s,0.8877743473276496,1,multi,2,[]
5,semblance,W,s,s,0.7311209756880999,1,multi,2,[]
6,blenonic,N,d,d,0.7045468548312783,1,multi,2,[]
7,ultimatum,W,s,s,0.642300995066762,1,multi,2,[]
8,miscack,N,d,d,0.8282243004068732,1,multi,2,[]
9,glasoor,N,d,d,0.5430282820016146,1,multi,2,[]
10,delete,W,s,s,0.5746220471337438,1,multi,2,[]
11,beegret,N,d,d,0.5475121876224875,1,multi,2,[]
12,mirth,W,s,s,0.8764172019436955,1,multi,2,[]
13,sturirt,N,d,d,0.6407250333577394,1,multi,2,[]
14,matrix,W,s,s,0.5751520749181509,1,multi,2,[]
15,sigulir,N,d,d,0.45185292046517134,1,multi,2,[]
16,ewrareen,N,d,d,0.5180256152525544,1,multi,2,[]
17,aminopies,N,d,d,0.6834079250693321,1,multi,2,[]
18,lealt,N,d,d,0.6502781603485346,1,multi,2,[]
19,potication,N,d,d,0.6677363375201821,1,multi,2,[]
20,hamstrung,W,s,d,0.6866052206605673,1,multi,2,[]
21,devise,P,j,j,0.7856603944674134,1,multi,2,[]
22,suffice,W,s,s,0.6792449206113815,1,multi,2,[]
23,shudder,W,s,s,0.6768757179379463,1,multi,2,[]
24,baderaque,N,d,d,0.5386831918731332,1,multi,2,[]
25,parafolt,N,d,d,0.7146083759143949,1,multi,2,[]
26,eloquence,W,s,s,0.661445408128202,1,multi,2,[]
27,escaping,W,s,s,0.6961757745593786,1,multi,2,[]
28,terrain,W,s,s,0.9039648454636335,1,multi,2,[]
29,blurb,P,j,j,0.7346983663737774,1,multi,2,[]
30,saloon,W,s,s,0.6759154172614217,1,multi,2,[]
31,marale,N,d,d,0.6564708352088928,1,multi,2,[]
32,centaur,W,s,s,0.8820897657424212,1,multi,2,[]
33,constitute,W,s,s,0.8947599632665515,1,multi,2,[]
34,finesse,P,j,s,0.5329403188079596,1,multi,2,[]
35,ucatean,N,d,d,0.9660045821219683,1,multi,2,[]
36,berirm,N,d,d,0.6538089765235782,1,multi,2,[]
37,sposter,N,d,d,0.7583299903199077,1,multi,2,[]
38,addinocy,N,d,d,0.751738291233778,1,multi,2,[]
39,mandate,W,s,s,0.7581992857158184,1,multi,2,[]
40,chasirt,N,d,d,0.5512698590755463,1,multi,2,[]
41,javelin,W,s,d,0.47428447008132935,1,multi,2,[]
42,fowbod,N,d,d,0.541673163883388,1,multi,2,[]
43,deficient,W,s,s,1.8053681878373027,1,multi,2,[]
44,conjecture,W,s,s,0.8542019901797175,1,multi,2,[]
45,etdenent,N,d,d,0.6383525263518095,1,multi,2,[]
46,anonymity,W,s,d,0.9589005820453167,1,multi,2,[]
47,ambience,P,j,j,1.0888452203944325,1,multi,2,[]
48,protocol,W,s,s,0.8287519253790379,1,multi,2,[]
49,exploling,N,d,d,0.6820113426074386,1,multi,2,[]
50,depocatism,N,d,s,0.9835387794300914,1,multi,2,[]
51,endemic,W,s,s,0.8149874173104763,1,multi,2,[]
52,lansvastre,N,d,d,0.6979455398395658,1,multi,2,[]
53,intosnant,N,d,d,0.5537192858755589,1,multi,2,[]
54,registry,W,s,s,0.6607507225126028,1,multi,2,[]
55,embassies,W,s,s,0.7272590426728129,1,multi,2,[]
56,mosquito,W,s,s,0.5645046383142471,1,multi,2,[]
57,spipy,N,d,d,0.6735453149303794,1,multi,2,[]
58,grenting,N,d,d,0.6062852209433913,1,multi,2,[]
59,chronicle,P,j,j,1.272458216175437,1,multi,2,[]
60,rosit,N,d,d,1.3919363003224134,1,multi,2,[]
61,seenfer,N,d,d,0.5226276060566306,1,multi,2,[]
62,spester,N,d,d,0.7369176335632801,1,multi,2,[]
63,pigeon,P,j,s,1.0074492394924164,1,multi,2,[]
64,sanitation,W,s,s,0.9915477931499481,1,multi,2,[]
65,pogari,N,d,d,0.548016675747931,1,multi,2,[]
66,maxculent,N,d,d,0.5725740464404225,1,multi,2,[]
67,drawl,W,s,d,0.49766940902918577,1,multi,2,[]
68,dellitunt,N,d,d,0.6702104033902287,1,multi,2,[]
69,tapestry,W,s,s,0.7078565256670117,1,multi,2,[]
70,sensation,W,s,s,0.4696960002183914,1,multi,2,[]
71,saffike,N,d,d,0.6771533526480198,1,multi,2,[]
72,whistling,W,s,s,0.8106738785281777,1,multi,2,[]
73,sanaying,N,d,d,0.6605647318065166,1,multi,2,[]
74,mimpling,N,d,d,0.4803611636161804,1,multi,2,[]
75,frugal,P,j,j,0.8386130323633552,1,multi,2,[]
76,legion,W,s,s,0.7807870795950294,1,multi,2,[]
77,instigate,W,s,s,0.7224443191662431,1,multi,2,[]
78,edirbory,N,d,d,0.567309221252799,1,multi,2,[]
79,chist,N,d,d,0.6765292771160603,1,multi,2,[]
80,writight,N,d,d,0.45816187746822834,1,multi,2,[]
81,eclectic,W,s,d,0.8620980279520154,1,multi,2,[]
82,systinct,N,d,d,0.7704461216926575,1,multi,2,[]
83,didactic,W,s,s,0.821955906227231,1,multi,2,[]
84,bunge,N,d,d,0.9688310986384749,1,multi,2,[]
85,insasition,N,d,d,0.8843637183308601,1,multi,2,[]
86,pentunom,N,d,d,0.5146017652004957,1,multi,2,[]
87,gleam,W,s,s,0.5823158677667379,1,multi,2,[]
88,boppring,N,d,d,0.6050917562097311,1,multi,2,[]
89,berbert,N,d,d,0.5672749672085047,1,multi,2,[]
90,ambience,P,j,j,0.7881092205643654,1,multi,2,[]
91,snide,W,s,s,0.7218836434185505,1,multi,2,[]
92,preclude,W,s,s,0.7430703472346067,1,multi,2,[]
93,nucleus,W,s,s,0.7106085261330009,1,multi,2,[]
94,frugal,P,j,j,1.1046393988654017,1,multi,2,[]
95,interpuse,N,d,d,0.9577101226896048,1,multi,2,[]
96,adjorce,N,d,d,0.734704976901412,1,multi,2,[]
97,lattice,W,s,s,0.6447630422189832,1,multi,2,[]
98,alloc,N,d,d,0.49352292995899916,1,multi,2,[]
99,transcript,W,s,s,0.7346043195575476,1,multi,2,[]
100,azalea,W,s,s,0.7399082062765956,1,multi,2,[]
101,generic,W,s,s,0.6273258961737156,1,multi,2,[]
102,lervack,N,d,d,0.6257033618167043,1,multi,2,[]
103,hedging,W,s,s,0.7119363006204367,1,multi,2,[]
104,wromicable,N,d,d,0.5782787604257464,1,multi,2,[]
105,circeycent,N,d,d,0.5269110985100269,1,multi,2,[]
106,pigeon,P,j,j,0.6124172015115619,1,multi,2,[]
107,inklining,N,d,s,0.8068101406097412,1,multi,2,[]
108,febedo,N,d,d,0.5718784602358937,1,multi,2,[]
109,tragedies,W,s,s,0.7365270229056478,1,multi,2,[]
110,capeclon,N,d,d,1.1017368640750647,1,multi,2,[]
111,tuxedo,W,s,s,0.6271287892013788,1,multi,2,[]
112,appellate,W,s,d,0.7834855960682034,1,multi,2,[]
113,maloste,N,d,d,1.480074817314744,1,multi,2,[]
114,hurricane,W,s,s,0.6540694832801819,1,multi,2,[]
115,coronation,P,j,j,0.7756917178630829,1,multi,2,[]
116,aspespany,N,d,d,0.5953316055238247,1,multi,2,[]
117,catciox,N,d,d,0.7014267789199948,1,multi,2,[]
118,acronym,W,s,s,0.663505126722157,1,multi,2,[]
119,crant,N,d,d,0.7939719809219241,1,multi,2,[]
120,utter,W,s,s,0.6647367514669895,1,multi,2,[]
121,relativity,W,s,s,0.6594307608902454,1,multi,2,[]
122,imnilerate,N,d,d,0.7888955492526293,1,multi,2,[]
123,juttling,N,d,d,0.6678207702934742,1,multi,2,[]
124,amamplophe,N,d,d,0.5902434550225735,1,multi,2,[]
125,ecintic,N,d,d,0.6933375401422381,1,multi,2,[]
126,finesse,P,j,j,0.6771948169916868,1,multi,2,[]
127,attic,W,s,s,0.8029731456190348,1,multi,2,[]
128,laren,N,d,d,0.6198967890813947,1,multi,2,[]
129,oblique,W,s,s,0.6801234930753708,1,multi,2,[]
130,supremacy,W,s,s,0.7261539148166776,1,multi,2,[]
131,vanish,W,s,s,0.5379909109324217,1,multi,2,[]
132,regiment,W,s,s,0.7536883382126689,1,multi,2,[]
133,stare,W,s,s,0.6672186283394694,1,multi,2,[]
134,insult,W,s,s,0.599083567969501,1,multi,2,[]
135,stacaring,N,d,d,0.7209942536428571,1,multi,2,[]
136,firmicane,N,d,d,0.7174090519547462,1,multi,2,[]
137,authimable,N,d,d,0.7662314372137189,1,multi,2,[]
138,ashiotian,N,d,d,0.641794404014945,1,multi,2,[]
139,nimble,W,s,s,0.6024815775454044,1,multi,2,[]
140,terrentous,N,d,d,0.9083381788805127,1,multi,2,[]
141,blurb,P,j,j,0.7171139912679791,1,multi,2,[]
142,plush,W,s,s,0.7680141227319837,1,multi,2,[]
143,skucore,N,d,d,0.5156864607706666,1,multi,2,[]
