,stim,S,C,R,RT,block,cond,day,prestim_R
0,vatidy,N,j,j,2.5065597034990788,1,single,1,[]
1,eczema,W,k,k,1.3098984025418758,1,single,1,[]
2,compulsive,P,d,d,0.5546531789004803,1,single,1,[]
3,patio,W,k,k,1.1324617508798838,1,single,1,[]
4,becision,N,j,j,1.8719079792499542,1,single,1,[]
5,furnace,W,k,k,1.8922581896185875,1,single,1,[]
6,ucatean,N,j,j,1.3227711245417595,1,single,1,[]
7,supremacy,W,k,k,1.6816653106361628,1,single,1,[]
8,domecanial,N,j,k,4.141305174678564,1,single,1,[]
9,veceedable,N,j,j,1.1808169353753328,1,single,1,[]
10,ascerlern,N,j,j,0.8695135377347469,1,single,1,[]
11,greese,N,j,k,1.031881334260106,1,single,1,[]
12,custodial,W,k,k,1.7745963726192713,1,single,1,[]
13,arpide,N,j,j,1.1940907817333937,1,single,1,[]
14,sprang,W,k,k,1.0459715574979782,1,single,1,[]
15,ilmesable,N,j,j,1.0927673038095236,1,single,1,[]
16,compulsive,P,d,d,0.45891212671995163,1,single,1,[]
17,deshies,N,j,j,2.1109700556844473,1,single,1,[]
18,tracing,W,k,k,0.8712460435926914,1,single,1,[]
19,vehemence,W,k,j,2.1476498916745186,1,single,1,[]
20,spaghetti,W,k,k,0.8341677878051996,1,single,1,[]
21,dencident,N,j,j,3.7432354521006346,1,single,1,[]
22,manipulate,W,k,k,0.8463896922767162,1,single,1,[]
23,telegram,W,k,k,0.9025642964988947,1,single,1,[]
24,triangular,W,k,k,1.5010514948517084,1,single,1,[]
25,approving,W,k,k,0.7023541498929262,1,single,1,[]
26,scoud,N,j,j,1.0062500685453415,1,single,1,[]
27,selinant,N,j,k,0.9416827447712421,1,single,1,[]
28,hygeash,N,j,j,1.1016386710107327,1,single,1,[]
29,twoggle,N,j,j,1.107793491333723,1,single,1,[]
30,nullified,W,k,j,0.732125585898757,1,single,1,[]
31,compulsive,P,d,d,0.7574879284948111,1,single,1,[]
32,lyric,W,k,k,2.1418466195464134,1,single,1,[]
33,jenow,N,j,j,1.0113868992775679,1,single,1,[]
34,lycophite,N,j,j,0.8848996870219707,1,single,1,[]
35,ecstatic,W,k,j,0.9692727699875832,1,single,1,[]
36,compulsive,P,d,d,0.6945233102887869,1,single,1,[]
37,brilliance,W,k,k,1.0064973551779985,1,single,1,[]
38,refrain,W,k,k,0.9179098848253489,1,single,1,[]
39,ratchet,W,k,k,0.8945117127150297,1,single,1,[]
40,stringack,N,j,j,2.6061119120568037,1,single,1,[]
41,hitherto,W,k,j,0.6871609017252922,1,single,1,[]
42,hough,N,j,k,1.8091428708285093,1,single,1,[]
43,invart,N,j,j,1.7751744762063026,1,single,1,[]
44,autistic,W,k,k,1.3306383211165667,1,single,1,[]
45,tuition,W,k,k,0.6996288895606995,1,single,1,[]
46,squiggle,W,k,k,0.9395497106015682,1,single,1,[]
47,compulsive,P,d,d,0.7273219767957926,1,single,1,[]
48,casaryll,N,j,j,0.948522936552763,1,single,1,[]
49,constrain,W,k,k,0.8445649389177561,1,single,1,[]
50,tursish,N,j,j,2.6197081673890352,1,single,1,[]
51,penofied,N,j,j,2.1279093343764544,1,single,1,[]
52,brilleight,N,j,j,1.5542463436722755,1,single,1,[]
53,inflating,W,k,k,0.8210453744977713,1,single,1,[]
54,curacatize,N,j,j,3.254905542358756,1,single,1,[]
55,strepe,N,j,j,1.0361693371087313,1,single,1,[]
56,derivative,W,k,k,1.4568767454475164,1,single,1,[]
57,geography,W,k,k,0.7008716315031052,1,single,1,[]
58,compulsive,P,d,d,0.6207916587591171,1,single,1,[]
59,grasy,N,j,k,1.6832692176103592,1,single,1,[]
60,digibul,N,j,j,0.9951113592833281,1,single,1,[]
61,strire,N,j,j,1.0323434565216303,1,single,1,[]
62,scuba,W,k,k,0.6999816410243511,1,single,1,[]
63,wimitation,N,j,j,0.8188119847327471,1,single,1,[]
64,cucopser,N,j,j,0.7417862862348557,1,single,1,[]
65,emulation,W,k,k,0.8120210692286491,1,single,1,[]
66,terrain,W,k,k,0.8287830706685781,1,single,1,[]
67,irratation,N,j,k,0.6978119499981403,1,single,1,[]
68,compulsive,P,d,d,0.5888829827308655,1,single,1,[]
69,excursion,W,k,k,0.8918952215462923,1,single,1,[]
70,colel,N,j,j,1.2103837504982948,1,single,1,[]
71,ceydery,N,j,j,0.8084187395870686,1,single,1,[]
72,compulsive,P,d,d,0.5852385871112347,1,single,1,[]
73,reloning,N,j,k,0.7373113930225372,1,single,1,[]
74,etrop,N,j,j,0.7616314049810171,1,single,1,[]
75,floftling,N,j,j,0.9161148779094219,1,single,1,[]
76,mania,W,k,k,1.2847632132470608,1,single,1,[]
77,revank,N,j,k,1.0154495500028133,1,single,1,[]
78,drooty,N,j,j,1.7310120444744825,1,single,1,[]
79,caerfoon,N,j,j,0.8961721062660217,1,single,1,[]
80,autonomy,W,k,k,0.6867366377264261,1,single,1,[]
81,confidant,W,k,j,1.5745722148567438,1,single,1,[]
82,splendour,W,k,k,0.7916627489030361,1,single,1,[]
83,misalyst,N,j,j,0.7983403857797384,1,single,1,[]
84,incarrity,N,j,k,1.3672316186130047,1,single,1,[]
85,appliance,W,k,k,0.7776139881461859,1,single,1,[]
86,compulsive,P,d,k,0.5021515116095543,1,single,1,[]
87,bensanfy,N,j,j,2.9445471204817295,1,single,1,[]
88,altruism,W,k,k,0.957315580919385,1,single,1,[]
89,stetch,N,j,k,1.4693231005221605,1,single,1,[]
90,snight,N,j,j,2.006569469347596,1,single,1,[]
91,tukid,N,j,j,1.9568501524627209,1,single,1,[]
92,cantet,N,j,k,2.117858625948429,1,single,1,[]
93,regrating,N,j,k,1.1442137211561203,1,single,1,[]
94,evinct,N,j,j,1.4078890718519688,1,single,1,[]
95,demadating,N,j,k,1.5884560160338879,1,single,1,[]
96,deplus,N,j,k,1.9687655791640282,1,single,1,[]
97,subratany,N,j,j,1.0379060506820679,1,single,1,[]
