,stim,S,C,R,RT,block,cond,day,prestim_R
0,spaghetti,W,k,k,2.825113554717973,1,multi,1,[]
1,ecstatic,W,k,k,1.7079039256786928,1,multi,1,[]
2,devise,W,k,k,0.9658231601351872,1,multi,1,[]
3,lovingly,P,d,k,0.7498647138709202,1,multi,1,[]
4,interrore,N,j,k,0.8451313966652378,1,multi,1,[]
5,chloggle,N,j,j,1.303351039881818,1,multi,1,[]
6,spurious,W,k,k,0.9619918806711212,1,multi,1,[]
7,tantert,N,j,j,1.1870524326805025,1,multi,1,[]
8,salient,W,k,k,0.7029164416017011,1,multi,1,[]
9,blatant,W,k,k,0.9428105445113033,1,multi,1,[]
10,stast,N,j,k,0.7087031729752198,1,multi,1,[]
11,daxny,N,j,j,1.20075201371219,1,multi,1,[]
12,sibbletic,N,j,k,1.1646494684973732,1,multi,1,[]
13,caveat,W,k,k,0.9012926473515108,1,multi,1,[]
14,imarsities,N,j,j,1.0837752480292693,1,multi,1,[]
15,coherence,W,k,k,0.8387476335046813,1,multi,1,[]
16,termite,W,k,k,0.7157771133352071,1,multi,1,[]
17,cammeryle,N,j,j,1.078832533909008,1,multi,1,[]
18,enteotirm,N,j,j,1.0098223297391087,1,multi,1,[]
19,espousing,P,d,d,0.8892285189358518,1,multi,1,[]
20,legitimacy,W,k,k,0.9095510363113135,1,multi,1,[]
21,iteprany,N,j,j,0.9912521472433582,1,multi,1,[]
22,forging,W,k,k,0.747478089062497,1,multi,1,[]
23,statistic,P,d,k,0.6987624585162848,1,multi,1,[]
24,futuristic,W,k,k,0.7786763801705092,1,multi,1,[]
25,redoting,N,j,j,1.4312011756701395,1,multi,1,[]
26,sphire,N,j,j,1.6619006282417104,1,multi,1,[]
27,plateau,W,k,k,0.721530192065984,1,multi,1,[]
28,fosty,N,j,j,1.0136301725869998,1,multi,1,[]
29,virtuosity,W,k,k,0.7650233719032258,1,multi,1,[]
30,unare,N,j,j,2.0624034932116047,1,multi,1,[]
31,sizing,W,k,k,1.677125089103356,1,multi,1,[]
32,viotom,N,j,j,0.8967543644830585,1,multi,1,[]
33,pewer,N,j,k,1.790178932249546,1,multi,1,[]
34,gructoli,N,j,j,1.1738131701713428,1,multi,1,[]
35,drucing,N,j,j,1.2065123037900776,1,multi,1,[]
36,obstinate,W,k,k,0.973561737802811,1,multi,1,[]
37,creach,N,j,j,1.22369431972038,1,multi,1,[]
38,prononsion,N,j,j,1.7607894641114399,1,multi,1,[]
39,phasing,P,d,d,0.8880365586373955,1,multi,1,[]
40,mutton,W,k,k,0.9724202562356368,1,multi,1,[]
41,autistic,W,k,k,0.765467465040274,1,multi,1,[]
42,olvedion,N,j,j,1.0388617515563965,1,multi,1,[]
43,palliative,P,d,d,1.0984771933872253,1,multi,1,[]
44,smath,N,j,j,1.118542208801955,1,multi,1,[]
45,colel,N,j,j,0.7747702839551494,1,multi,1,[]
46,attossin,N,j,j,0.9313323303358629,1,multi,1,[]
47,anagram,W,k,k,0.8940489421365783,1,multi,1,[]
48,adthenogy,N,j,j,1.1496103970566764,1,multi,1,[]
49,infarfible,N,j,j,1.8180846847826615,1,multi,1,[]
50,revank,N,j,j,0.9489368057111278,1,multi,1,[]
51,sturdy,W,k,k,0.8748108171857893,1,multi,1,[]
52,casserole,W,k,k,0.8381400852231309,1,multi,1,[]
53,memieher,N,j,j,0.8751404316863045,1,multi,1,[]
54,eluch,N,j,j,0.9435487965820357,1,multi,1,[]
55,edotnably,N,j,j,1.1574111715890467,1,multi,1,[]
56,platypus,P,d,d,0.6760028376011178,1,multi,1,[]
57,ancopance,N,j,j,1.329780288040638,1,multi,1,[]
58,ascerlern,N,j,j,1.0907608504639938,1,multi,1,[]
59,lethal,W,k,k,0.7428196186665446,1,multi,1,[]
60,encaring,N,j,j,1.357030717888847,1,multi,1,[]
61,rhinsting,N,j,j,1.241135640302673,1,multi,1,[]
62,gaddit,N,j,j,0.8524318904383108,1,multi,1,[]
63,inkeqit,N,j,j,0.9075378944398835,1,multi,1,[]
