C,R,RT,block,cond,count,day,prestim_R,stim
y,y,0.4936040601460263,1,single,1,1,[],crucible
y,y,0.5498585241148248,1,single,1,1,[],crucible
n,n,0.4865721771493554,1,single,1,1,[],caramel
n,y,0.4958750071236864,1,single,1,1,[],ancillary
y,y,0.4133898735744879,1,single,1,1,[],crucible
n,n,0.4090384772280231,1,single,1,1,[],sparkle
y,y,0.3266807426698506,1,single,1,1,[],crucible
n,n,0.4616248118691146,1,single,1,1,[],throne
n,n,0.4976549873827025,1,single,1,1,[],labyrinth
n,n,0.6349748672218993,1,single,1,1,[],modify
y,y,0.4494005186716095,1,single,1,1,[],crucible
n,n,0.3633184671634808,1,single,1,1,[],pedantic
y,y,0.4976456727599725,1,single,1,1,[],crucible
y,y,0.3650599871762097,1,single,1,1,[],crucible
n,n,0.4663307620212436,1,single,1,1,[],quake
y,y,0.5434248752426356,1,single,1,1,[],crucible
n,n,0.5990681846160442,1,single,1,1,[],quake
y,y,0.5213031234452501,1,single,1,1,[],crucible
n,n,0.5668079974129796,1,single,1,1,[],caramel
n,n,0.4517291557276622,1,single,1,1,[],labyrinth
y,y,0.4376536712516099,1,single,1,1,[],crucible
n,n,0.4294947278685868,1,single,1,1,[],modify
n,n,0.4613000045064837,1,single,1,1,[],sparkle
y,n,0.36933626630343497,1,single,1,1,[],crucible
y,y,0.3878283491358161,1,single,1,1,[],crucible
y,y,0.5322477177251129,1,single,1,1,[],crucible
n,n,0.4289592915447429,1,single,1,1,[],ancillary
n,n,0.4757291413843632,1,single,1,1,[],pedantic
y,y,0.4029299363028258,1,single,1,1,[],crucible
y,y,0.5494769279612228,1,single,1,1,[],crucible
n,n,0.4642773548839614,1,single,1,1,[],throne
y,y,0.4923691313015297,1,single,1,1,[],crucible
y,y,0.5838752547279,1,single,2,1,[],crucible
n,n,0.4868990876711905,1,single,2,1,[],commend
y,y,0.568181442678906,1,single,2,1,[],crucible
y,y,0.3571315036388114,1,single,2,1,[],crucible
y,y,0.4493554482469335,1,single,2,1,[],crucible
n,n,0.4913069723406807,1,single,2,1,[],sloth
y,y,0.5405962573131546,1,single,2,1,[],crucible
n,n,1.1242659911513329,1,single,2,1,[],blunder
n,n,0.5805229187244549,1,single,2,1,[],barbaric
n,n,0.7635567992692813,1,single,2,1,[],tentative
y,y,0.4529547700658441,1,single,2,1,[],crucible
n,n,0.5508990491507575,1,single,2,1,[],engraving
n,n,0.4636139185167849,1,single,2,1,[],lizard
y,y,0.5796383371343836,1,single,2,1,[],crucible
n,n,1.0357387203257529,1,single,2,1,[],cherries
y,y,0.7354172482155263,1,single,2,1,[],crucible
y,y,0.7405564751243219,1,single,2,1,[],crucible
n,n,0.7228119599167258,1,single,2,1,[],commend
n,n,0.4938898065593094,1,single,2,1,[],blunder
y,y,0.7271952060982585,1,single,2,1,[],crucible
n,n,0.7153320771176368,1,single,2,1,[],tentative
y,y,0.5653344959719107,1,single,2,1,[],crucible
y,y,0.6422741679707542,1,single,2,1,[],crucible
y,y,0.4118824191391468,1,single,2,1,[],crucible
y,y,0.5685224751941861,1,single,2,1,[],crucible
n,n,0.4854063561651856,1,single,2,1,[],barbaric
n,n,0.4867785995593295,1,single,2,1,[],cherries
y,y,0.6000801651971415,1,single,2,1,[],crucible
n,n,0.7532266647322103,1,single,2,1,[],lizard
n,n,0.4986405266681686,1,single,2,1,[],engraving
y,y,0.58795382513199,1,single,2,1,[],crucible
n,n,0.6269817828433588,1,single,2,1,[],sloth
y,y,0.7678324774606153,2,multi,3,1,[],timid
n,n,0.49239737552125007,2,multi,3,1,[],espionage
n,n,0.6617205414222553,2,multi,3,1,[],whilst
y,y,1.0323584405705333,2,multi,3,1,[],absorption
n,n,0.6210391010390595,2,multi,3,1,[],salvage
y,y,0.5474652859847993,2,multi,3,1,[],policing
n,n,1.158292937790975,2,multi,3,1,[],hindrance
n,n,0.6449050772935152,2,multi,3,1,[],cannon
y,y,0.9094205239089206,2,multi,3,1,[],prevalence
y,y,0.9111079594586045,2,multi,3,1,[],intrepid
n,n,0.7677399329841137,2,multi,3,1,[],liqueur
y,y,0.8603619993664324,2,multi,3,1,[],thermal
n,n,0.8786377443466336,2,multi,3,1,[],arithmetic
y,y,0.7939694008091465,2,multi,3,1,[],energies
y,y,0.8806623065611348,2,multi,3,1,[],aggravate
n,n,0.7410747846588492,2,multi,3,1,[],incur
n,n,0.9403841859893873,2,multi,3,1,[],whilst
n,n,1.3542962752981111,2,multi,3,1,[],espionage
y,y,0.8213923326693475,2,multi,3,1,[],absorption
y,y,0.7683303551748395,2,multi,3,1,[],prevalence
n,n,0.8929505995474756,2,multi,3,1,[],cannon
y,y,0.8274218501755968,2,multi,3,1,[],timid
n,n,0.9823236913653091,2,multi,3,1,[],incur
n,n,0.8916240276303142,2,multi,3,1,[],arithmetic
y,y,0.9381426851032302,2,multi,3,1,[],thermal
n,n,0.773905262700282,2,multi,3,1,[],liqueur
n,n,0.9374564131721854,2,multi,3,1,[],hindrance
y,y,0.7892685586120933,2,multi,3,1,[],policing
y,y,0.8429182540858164,2,multi,3,1,[],energies
y,y,0.7550508137792349,2,multi,3,1,[],intrepid
n,n,0.8444966193055734,2,multi,3,1,[],salvage
y,y,0.8676252438453957,2,multi,3,1,[],aggravate
