C,R,RT,block,cond,count,day,prestim_R,stim
n,n,1.389304855838418,1,multi,1,1,[],shaving
n,n,0.6397655513137579,1,multi,1,1,[],organizer
y,y,3.422225773334503,1,multi,1,1,[],clarified
n,n,0.7088061850517988,1,multi,1,1,[],riddle
y,y,0.6559049580246209,1,multi,1,1,[],arteries
y,y,0.6025605387985706,1,multi,1,1,[],shrunk
n,n,0.5327744409441948,1,multi,1,1,[],alphabet
n,n,0.5003844499588013,1,multi,1,1,[],cherries
y,y,0.5417152047157288,1,multi,1,1,[],oyster
y,y,0.6304170489311218,1,multi,1,1,[],syringe
n,n,0.5248501636087894,1,multi,1,1,[],shove
y,y,0.682380810379982,1,multi,1,1,[],weigh
n,n,0.5761748272925615,1,multi,1,1,[],filtration
y,y,0.6771012637764215,1,multi,1,1,[],enviable
n,n,0.5308607518672943,1,multi,1,1,[],nocturnal
y,y,0.7305048760026693,1,multi,1,1,[],lethargic
n,n,0.6477072536945343,1,multi,1,1,[],organizer
n,n,0.6883045621216297,1,multi,1,1,[],filtration
n,n,0.5362340435385704,1,multi,1,1,[],shove
y,y,0.5598455220460892,1,multi,1,1,[],oyster
n,n,0.5386119578033686,1,multi,1,1,[],riddle
y,y,0.7153483033180237,1,multi,1,1,[],lethargic
n,n,0.5973801482468843,1,multi,1,1,[],shaving
y,y,0.7185029294341803,1,multi,1,1,[],shrunk
y,y,0.7796995136886835,1,multi,1,1,[],weigh
y,y,0.559243081137538,1,multi,1,1,[],enviable
y,y,0.52203837223351,1,multi,1,1,[],syringe
n,n,0.5115417782217264,1,multi,1,1,[],cherries
n,n,0.5150398407131433,1,multi,1,1,[],alphabet
y,y,0.5344186089932919,1,multi,1,1,[],clarified
n,n,0.5191764011979103,1,multi,1,1,[],nocturnal
y,y,0.6846511568874121,1,multi,1,1,[],arteries
y,y,1.589344397187233,2,single,2,1,[],replies
y,y,0.5563234221190214,2,single,2,1,[],replies
n,n,0.5031256321817636,2,single,2,1,[],avalanche
n,n,0.4426165223121643,2,single,2,1,[],rabble
y,y,0.49245356395840645,2,single,2,1,[],replies
n,n,1.0687834322452545,2,single,2,1,[],spree
n,n,0.5496623180806637,2,single,2,1,[],zealous
n,n,0.3183826804161072,2,single,2,1,[],mistaking
y,y,0.4533330611884594,2,single,2,1,[],replies
n,n,0.32719935290515423,2,single,2,1,[],delusion
n,n,0.53415990434587,2,single,2,1,[],ordinate
y,y,0.42981743067502975,2,single,2,1,[],replies
n,n,0.46268817223608494,2,single,2,1,[],petulance
y,y,0.4128177799284458,2,single,2,1,[],replies
y,y,0.49748191609978676,2,single,2,1,[],replies
y,y,0.3947893213480711,2,single,2,1,[],replies
n,n,0.358379352837801,2,single,2,1,[],petulance
y,y,0.3316375855356455,2,single,2,1,[],replies
n,n,0.6526607908308506,2,single,2,1,[],spree
y,y,2.2142730746418238,2,single,2,1,[],replies
y,y,0.5722870547324419,2,single,2,1,[],replies
n,n,0.43317006900906563,2,single,2,1,[],zealous
n,n,0.8409877382218838,2,single,2,1,[],ordinate
y,y,1.0140066761523485,2,single,2,1,[],replies
y,y,0.5173919145017862,2,single,2,1,[],replies
n,n,1.1720249857753515,2,single,2,1,[],mistaking
n,n,0.7006962168961763,2,single,2,1,[],rabble
n,n,0.5566169805824757,2,single,2,1,[],delusion
n,n,0.487500024959445,2,single,2,1,[],avalanche
y,y,0.5048022512346506,2,single,2,1,[],replies
y,y,0.5321789104491472,2,single,2,1,[],replies
y,y,0.523826764896512,2,single,2,1,[],replies
