,stim,S,C,R,RT,block,cond,day,prestim_R
0,catodous,N,d,d,1.7380191553384066,1,single,1,[]
1,sagiaromy,N,d,d,1.103332357481122,1,single,1,[]
2,inhaling,P,j,j,0.8693453520536423,1,single,1,[]
3,droene,N,d,d,0.7429038872942328,1,single,1,[]
4,ructer,N,d,d,0.7179435873404145,1,single,1,[]
5,anemfly,N,d,d,0.7392366575077176,1,single,1,[]
6,poterral,N,d,d,0.6816159253939986,1,single,1,[]
7,elegance,W,s,s,0.6711355494335294,1,single,1,[]
8,advisable,W,s,s,0.548918685875833,1,single,1,[]
9,conclude,W,s,s,0.5758230239152908,1,single,1,[]
10,adspedate,N,d,d,0.829879586584866,1,single,1,[]
11,decibel,W,s,s,0.9788992302492261,1,single,1,[]
12,fadgist,N,d,d,0.684159099124372,1,single,1,[]
13,symptom,W,s,s,0.5237363381311297,1,single,1,[]
14,lyric,W,s,s,0.6333073424175382,1,single,1,[]
15,enmudition,N,d,d,0.7836637748405337,1,single,1,[]
16,plestrate,N,d,d,0.7903789673000574,1,single,1,[]
17,sprave,N,d,d,0.7242414280772209,1,single,1,[]
18,inhaling,P,j,j,0.81727609410882,1,single,1,[]
19,weigh,W,s,s,0.7160905916243792,1,single,1,[]
20,shaky,W,s,s,0.774272901006043,1,single,1,[]
21,brusall,N,d,d,0.7868111925199628,1,single,1,[]
22,trite,W,s,s,0.8244543103501201,1,single,1,[]
23,attrition,W,s,s,0.5552775217220187,1,single,1,[]
24,rouduring,N,d,d,0.8701746482402086,1,single,1,[]
25,hiking,W,s,s,0.7284783469513059,1,single,1,[]
26,inhaling,P,j,j,0.7406155113130808,1,single,1,[]
27,numerical,W,s,s,0.6998739531263709,1,single,1,[]
28,juffernarm,N,d,d,0.6117462534457445,1,single,1,[]
29,sibbletic,N,d,d,0.9600519808009267,1,single,1,[]
30,vitamin,W,s,s,0.7123266095295548,1,single,1,[]
31,pristine,W,s,s,0.7460981784388423,1,single,1,[]
32,mischief,W,s,s,0.6976474747061729,1,single,1,[]
33,stosier,N,d,d,0.6093166572973132,1,single,1,[]
34,studdorn,N,d,d,0.5896740658208728,1,single,1,[]
35,owing,W,s,s,0.6607603384181857,1,single,1,[]
36,ecinhat,N,d,d,0.6163563570007682,1,single,1,[]
37,eticrogue,N,d,d,0.7715981220826507,1,single,1,[]
38,choix,N,d,d,0.4721829853951931,1,single,1,[]
39,inhaling,P,j,j,0.6455598874017596,1,single,1,[]
40,pomboes,N,d,d,0.6618110798299313,1,single,1,[]
41,sacation,N,d,d,0.8564410889521241,1,single,1,[]
