C,R,RT,block,cond,count,day,prestim_R,stim
y,y,1.9377725068479776,1,multi,1,2,[],slicing
n,n,0.6535396636463702,1,multi,1,2,[],volcano
y,y,0.9031250909902157,1,multi,1,2,[],grievance
y,y,0.5005833611357957,1,multi,1,2,[],accompany
n,n,0.5920170715544373,1,multi,1,2,[],influx
n,n,0.7510530697181821,1,multi,1,2,[],noxious
n,n,0.7444610735401511,1,multi,1,2,[],repel
y,y,2.4877764580305666,1,multi,1,2,[],cucumber
y,y,0.7439361538272351,1,multi,1,2,[],transmit
y,y,0.6392370241228491,1,multi,1,2,[],compound
n,n,1.021664738189429,1,multi,1,2,[],stammer
n,n,0.6791781082283705,1,multi,1,2,[],carbine
n,n,0.7249924656935036,1,multi,1,2,[],molecule
y,y,0.6901497449725866,1,multi,1,2,[],medication
n,n,0.8420970714651048,1,multi,1,2,[],tease
y,y,0.6631372540723532,1,multi,1,2,[],ordeal
n,n,0.8247110161464661,1,multi,1,2,[],carbine
n,n,1.115612775553018,1,multi,1,2,[],volcano
n,n,0.6278612564783543,1,multi,1,2,[],stammer
n,n,1.1383075225166976,1,multi,1,2,[],noxious
n,n,0.5887052989564836,1,multi,1,2,[],molecule
y,y,0.6837248096708208,1,multi,1,2,[],transmit
y,y,0.7535872280132025,1,multi,1,2,[],medication
n,n,0.6669898715335876,1,multi,1,2,[],repel
y,y,0.6786859396379441,1,multi,1,2,[],ordeal
y,y,0.6674438805785029,1,multi,1,2,[],accompany
n,n,1.159133951412514,1,multi,1,2,[],tease
y,y,1.5017593980301172,1,multi,1,2,[],compound
n,n,0.6229978604242206,1,multi,1,2,[],influx
y,y,0.7393254523631185,1,multi,1,2,[],cucumber
y,y,1.394646899076179,1,multi,1,2,[],grievance
y,y,1.7811447700951248,1,multi,1,2,[],slicing
y,y,0.665121553465724,2,single,2,2,[],impetus
y,y,0.4288303900975734,2,single,2,2,[],impetus
n,n,0.4926161172334105,2,single,2,2,[],nicotine
y,y,0.4859318770468235,2,single,2,2,[],impetus
n,n,0.558214875869453,2,single,2,2,[],immaculate
n,n,0.5850296579301357,2,single,2,2,[],sociable
y,y,0.4240700548980385,2,single,2,2,[],impetus
n,n,0.5097840316593647,2,single,2,2,[],glaring
n,n,0.4732027954887599,2,single,2,2,[],scrape
n,n,0.503344674129039,2,single,2,2,[],flamboyant
y,y,0.6027327082119882,2,single,2,2,[],impetus
n,n,0.45192446070723236,2,single,2,2,[],cancel
y,y,0.5599627057090402,2,single,2,2,[],impetus
y,y,0.5968837728723884,2,single,2,2,[],impetus
n,n,0.4379667602479458,2,single,2,2,[],obituaries
y,y,0.44584987312555313,2,single,2,2,[],impetus
n,n,0.6077736816368997,2,single,2,2,[],immaculate
y,y,0.5880899378098547,2,single,2,2,[],impetus
n,n,0.6511124724056572,2,single,2,2,[],scrape
y,y,0.579619407420978,2,single,2,2,[],impetus
n,n,0.6837374295573682,2,single,2,2,[],flamboyant
y,y,0.6554239066317677,2,single,2,2,[],impetus
y,y,0.4159955435898155,2,single,2,2,[],impetus
n,n,0.4536434456240386,2,single,2,2,[],obituaries
y,y,0.5974883171729743,2,single,2,2,[],impetus
y,y,0.8066320784855634,2,single,2,2,[],impetus
n,n,0.7023545075207949,2,single,2,2,[],cancel
n,n,0.7662913706153631,2,single,2,2,[],sociable
n,n,0.8007558006793261,2,single,2,2,[],nicotine
y,y,0.6794527373276651,2,single,2,2,[],impetus
n,n,1.7012436725199223,2,single,2,2,[],glaring
y,y,0.5981742884032428,2,single,2,2,[],impetus
