,stim,S,C,R,RT,block,cond,day,prestim_R
0,cowona,N,k,k,1.8592410797718912,1,single,1,[]
1,shrundour,N,k,k,0.6854812758974731,1,single,1,[]
2,relinquish,W,j,j,0.7973791833501309,1,single,1,[]
3,haphazard,W,j,j,0.5741575655993074,1,single,1,[]
4,figurative,W,j,j,0.7491694267373532,1,single,1,[]
5,fizzle,W,j,j,0.8305690623819828,1,single,1,[]
6,slelf,N,k,k,0.7875508205033839,1,single,1,[]
7,grating,W,j,j,0.47319435025565326,1,single,1,[]
8,safari,W,j,j,0.49425186519511044,1,single,1,[]
9,concottion,N,k,k,1.5755694727413356,1,single,1,[]
10,suffice,P,d,d,0.5585175186861306,1,single,1,[]
11,driest,W,j,k,0.9074192871339619,1,single,1,[]
12,addinocy,N,k,k,1.1090395397040993,1,single,1,[]
13,poving,N,k,k,0.8911852117162198,1,single,1,[]
14,obnoxious,W,j,j,0.6555659151636064,1,single,1,[]
15,eerily,W,j,k,0.6422259632963687,1,single,1,[]
16,beware,W,j,j,0.5338366399519145,1,single,1,[]
17,steanse,N,k,k,0.8534985035657883,1,single,1,[]
18,thyme,W,j,j,0.5885584757197648,1,single,1,[]
19,suffice,P,d,d,0.5235786056146026,1,single,1,[]
20,lovingly,W,j,j,0.6261526390444487,1,single,1,[]
21,scrab,N,k,j,0.5834691205527633,1,single,1,[]
22,conumpham,N,k,k,0.7296037436462939,1,single,1,[]
23,potchet,N,k,k,0.7107793192844838,1,single,1,[]
24,flint,W,j,j,0.5527608203701675,1,single,1,[]
25,canopies,W,j,j,0.8676001457497478,1,single,1,[]
26,druthing,N,k,k,0.9728195143397897,1,single,1,[]
27,miscack,N,k,k,1.7098523702006787,1,single,1,[]
28,scenic,W,j,j,0.5038101056125015,1,single,1,[]
29,mischief,W,j,j,0.5952192870900035,1,single,1,[]
30,spoxtre,N,k,k,0.669393228366971,1,single,1,[]
31,suffice,P,d,d,0.7701641435269266,1,single,1,[]
32,floftling,N,k,k,0.7666850052773952,1,single,1,[]
33,conserving,W,j,j,0.5941454088315368,1,single,1,[]
34,ayhect,N,k,k,0.5473100002855062,1,single,1,[]
35,momamanrer,N,k,k,0.7319948812946677,1,single,1,[]
36,pastiym,N,k,k,0.6033193483017385,1,single,1,[]
37,entagic,N,k,k,3.4523991451133043,1,single,1,[]
38,suffice,P,d,d,0.4461532821878791,1,single,1,[]
39,hocticrous,N,k,k,0.696035272674635,1,single,1,[]
40,cheripe,N,k,k,0.6319541074335575,1,single,1,[]
41,revive,W,j,j,0.6303742378950119,1,single,1,[]
42,analogies,W,j,j,0.6927622565999627,1,single,1,[]
43,adspedate,N,k,k,0.7246459943708032,1,single,1,[]
44,infarfible,N,k,k,0.8978288962971419,1,single,1,[]
45,suffice,P,d,d,0.6803567656315863,1,single,1,[]
46,arpling,N,k,k,0.582118809921667,1,single,1,[]
47,dralk,N,k,k,0.6611594583373517,1,single,1,[]
48,resumption,W,j,j,0.5768068067263812,1,single,1,[]
49,ceydery,N,k,k,0.5118167207110673,1,single,1,[]
50,mosquito,W,j,j,0.6192193017341197,1,single,1,[]
51,battalion,W,j,j,0.5515024533960968,1,single,1,[]
52,papgical,N,k,k,0.6263049773406237,1,single,1,[]
53,conjack,N,k,k,0.864724951563403,1,single,1,[]
54,intrusion,W,j,j,0.585929366061464,1,single,1,[]
55,suffice,P,d,j,0.44999478687532246,1,single,1,[]
56,consminite,N,k,k,1.694015515735373,1,single,1,[]
57,motive,W,j,j,0.5178504521027207,1,single,1,[]
58,cadelty,N,k,k,1.363362472038716,1,single,1,[]
59,placebo,W,j,j,0.6715211549308151,1,single,1,[]
60,rewralsive,N,k,k,0.8772978042252362,1,single,1,[]
61,plestrate,N,k,k,0.8475795516278595,1,single,1,[]
62,panfour,N,k,k,1.1656627473421395,1,single,1,[]
63,deponsing,N,k,k,0.8282281034626067,1,single,1,[]
64,epidemic,W,j,j,0.8631141337100416,1,single,1,[]
65,dividing,W,j,j,0.6552828727290034,1,single,1,[]
66,confidant,W,j,j,0.7538874014280736,1,single,1,[]
67,adquocing,N,k,k,0.6592923398129642,1,single,1,[]
68,cronesque,N,k,k,0.67097910749726,1,single,1,[]
69,sturirt,N,k,k,0.8127563192974776,1,single,1,[]
70,irrigation,W,j,j,0.7356458881404251,1,single,1,[]
71,suffice,P,d,d,0.48588739056140184,1,single,1,[]
72,coananct,N,k,k,0.6690320640336722,1,single,1,[]
73,innovate,W,j,j,0.5548812348861247,1,single,1,[]
74,smove,N,k,k,0.6845843738410622,1,single,1,[]
75,attach,W,j,j,0.5223923514131457,1,single,1,[]
76,altruism,W,j,j,0.6158970086835325,1,single,1,[]
77,jubilation,W,j,j,1.9721864245366305,1,single,1,[]
78,suffice,P,d,d,0.7192967326845974,1,single,1,[]
79,descack,N,k,k,0.70742127019912,1,single,1,[]
80,sterile,W,j,j,0.6134265470318496,1,single,1,[]
81,manifest,W,j,j,0.5595745709724724,1,single,1,[]
82,gouging,W,j,k,1.2904126439243555,1,single,1,[]
