,C,R,RT,S,cond,day,prestim_R,stim
0,d,s,0.4510413226671517,W,practice,2,[],handle
1,s,s,0.7089356372598559,N,practice,2,[],mitoun
2,d,d,0.582922265632078,W,practice,2,[],escape
3,s,s,0.6139454583171755,N,practice,2,[],bottir
4,s,s,0.9852033713832498,N,practice,2,[],berst
5,d,d,0.6203737061005086,W,practice,2,[],harm
6,s,s,0.5366511393804103,N,practice,2,[],imorgu
7,s,s,0.6962768502999097,N,practice,2,[],onstont
8,s,s,0.7121759022120386,N,practice,2,[],docint
9,d,d,0.6182166344951838,W,practice,2,[],bold
10,s,s,0.6624698066152632,N,practice,2,[],cemmit
11,d,d,0.585089853964746,W,practice,2,[],silence
12,d,d,0.8331095334142447,W,practice,2,[],album
13,s,s,0.7512156253214926,N,practice,2,[],daluvory
14,s,s,0.6314826705493033,N,practice,2,[],fruod
15,d,d,0.6139487633481622,W,practice,2,[],persuade
16,d,d,0.6742644428741187,W,practice,2,[],seventh
17,s,s,0.6560508732218295,N,practice,2,[],menaol
18,s,s,1.4586251771543175,N,practice,2,[],pluen
19,d,d,0.6305902756284922,W,practice,2,[],planet
20,d,d,0.6450188287999481,W,practice,2,[],desk
21,s,s,0.5906100827269256,N,practice,2,[],fruqoant
22,d,d,0.5736092086881399,W,practice,2,[],device
23,d,d,1.30647394945845,W,practice,2,[],delay
