,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.8372003231197596,N,practice,1,[],bottir
1,k,k,0.4603315908461809,W,practice,1,[],desk
2,k,j,0.34437568113207817,W,practice,1,[],escape
3,j,j,0.7335864882916212,N,practice,1,[],daluvory
4,k,k,0.45879619382321835,W,practice,1,[],harm
5,k,k,0.4708206746727228,W,practice,1,[],planet
6,j,j,0.668924892321229,N,practice,1,[],pluen
7,j,j,0.6486768685281277,N,practice,1,[],menaol
8,j,k,0.4582475367933512,N,practice,1,[],fruqoant
9,k,k,0.545415485277772,W,practice,1,[],handle
10,j,j,0.5541113670915365,N,practice,1,[],docint
11,j,j,0.6439006086438894,N,practice,1,[],fruod
12,j,j,0.5004343278706074,N,practice,1,[],cemmit
13,k,k,0.4936638530343771,W,practice,1,[],bold
14,j,j,0.5179796312004328,N,practice,1,[],onstont
15,k,k,0.49150077626109123,W,practice,1,[],silence
16,j,j,0.35683433897793293,N,practice,1,[],imorgu
17,k,k,0.4431528616696596,W,practice,1,[],seventh
18,k,j,0.3490801267325878,W,practice,1,[],device
19,j,j,0.48229469545185566,N,practice,1,[],mitoun
20,k,k,0.4495062828063965,W,practice,1,[],album
21,k,j,0.5074647087603807,W,practice,1,[],delay
22,j,j,0.5129152238368988,N,practice,1,['k'],berst
23,k,k,0.41234844736754894,W,practice,1,[],persuade
