,stim,S,C,R,RT,block,cond,day,prestim_R
0,selinant,N,k,k,1.699453327106312,1,single,1,[]
1,adthenogy,N,k,k,1.1542144361883402,1,single,1,[]
2,miniature,W,j,j,1.1347299325279891,1,single,1,[]
3,casket,W,j,j,1.1930824858136475,1,single,1,[]
4,compient,N,k,k,0.9649773507844657,1,single,1,[]
5,chambseur,N,k,k,0.7170040130149573,1,single,1,[]
6,geology,W,j,j,0.72591832280159,1,single,1,[]
7,chist,N,k,k,0.6979993581771851,1,single,1,[]
8,sludge,W,j,j,0.8098873482085764,1,single,1,[]
9,plufal,N,k,k,0.7627095319330692,1,single,1,[]
10,consieding,N,k,k,0.7801027724053711,1,single,1,[]
11,excluding,P,d,d,0.8427598422858864,1,single,1,[]
12,aggregate,W,j,j,0.7699207845143974,1,single,1,[]
13,benvacutta,N,k,k,0.8144460616167635,1,single,1,[]
14,compove,N,k,k,0.8173954638186842,1,single,1,[]
15,motar,N,k,k,0.7632311459165066,1,single,1,[]
16,ilmesable,N,k,k,0.7255995254963636,1,single,1,[]
17,excluding,P,d,d,0.6497491686604917,1,single,1,[]
18,ariectic,N,k,k,0.6662908801808953,1,single,1,[]
19,aminofy,N,k,k,0.6779271375853568,1,single,1,[]
20,deplus,N,k,k,0.7717094756662846,1,single,1,[]
21,utrolete,N,k,k,0.567222694400698,1,single,1,[]
22,inspake,N,k,k,0.5641212549526244,1,single,1,[]
23,liberties,W,j,j,0.8128015955444425,1,single,1,[]
24,wheaker,N,k,k,0.8455788411665708,1,single,1,[]
25,complicate,W,j,j,1.0217479355633259,1,single,1,[]
26,balconies,W,j,d,0.6792365808505565,1,single,1,[]
27,polyester,W,j,j,0.6091858737636358,1,single,1,['j']
28,cullancies,N,k,k,1.0375000149942935,1,single,1,[]
29,brusall,N,k,k,0.6811051964759827,1,single,1,[]
30,excluding,P,d,d,0.6788790228310972,1,single,1,[]
31,igrorite,N,k,k,0.9006487722508609,1,single,1,[]
32,adaving,N,k,k,0.6671994980424643,1,single,1,[]
33,fasituge,N,k,k,0.7108314814977348,1,single,1,[]
34,stapegies,N,k,k,0.7607958458829671,1,single,1,[]
35,syringe,W,j,j,0.858253218466416,1,single,1,[]
36,staught,N,k,k,0.7805156165268272,1,single,1,[]
37,pathetic,W,j,j,0.6581634983886033,1,single,1,[]
38,anagram,W,j,k,0.6378007242456079,1,single,1,[]
39,excluding,P,d,d,0.6643988280557096,1,single,1,[]
40,knaggle,N,k,k,0.660011682426557,1,single,1,[]
41,edirbory,N,k,k,0.6626663245260715,1,single,1,[]
42,exclucist,N,k,k,0.8183488515205681,1,single,1,[]
43,desolation,W,j,j,0.7412410324905068,1,single,1,[]
44,resard,N,k,k,0.6354492548853159,1,single,1,[]
45,adequacy,W,j,j,0.6498729616869241,1,single,1,[]
46,oppressive,W,j,j,0.7143794174771756,1,single,1,[]
47,excluding,P,d,d,0.828363478416577,1,single,1,[]
48,advancing,W,j,j,0.7582442644052207,1,single,1,[]
49,sognathous,N,k,k,0.7436051212716848,1,single,1,[]
50,pogari,N,k,k,1.0628851258661598,1,single,1,[]
51,grappling,W,j,j,0.6557726676110178,1,single,1,[]
52,ocarsion,N,k,k,0.706398363923654,1,single,1,[]
53,corchadity,N,k,k,0.7814855300821364,1,single,1,[]
54,juror,W,j,j,0.6590471772942692,1,single,1,[]
55,constrain,W,j,j,0.7187091738451272,1,single,1,[]
56,actuary,W,j,j,0.8418437128420919,1,single,1,[]
57,altar,W,j,j,0.590810400666669,1,single,1,[]
58,dissivent,N,k,k,0.8937836601398885,1,single,1,[]
59,grumolous,N,k,k,0.7403026681859046,1,single,1,[]
60,excluding,P,d,d,0.6436060827691108,1,single,1,[]
61,comprekack,N,k,k,0.813202120596543,1,single,1,[]
62,grang,N,k,k,0.6798510395456105,1,single,1,[]
63,fantamiate,N,k,k,0.724783451994881,1,single,1,[]
64,affidavit,W,j,j,0.8819364735390991,1,single,1,[]
65,sublime,W,j,j,0.8063493275549263,1,single,1,[]
66,whipaderos,N,k,k,0.7591267414391041,1,single,1,[]
67,emapsacy,N,k,k,0.7284927400760353,1,single,1,[]
68,smurmal,N,k,k,0.652639077976346,1,single,1,[]
69,excluding,P,d,d,0.9981959848664701,1,single,1,[]
70,cacoag,N,k,k,0.9325291183777153,1,single,1,[]
71,geometry,W,j,j,0.8723268788307905,1,single,1,[]
72,biscuit,W,j,j,0.666577226947993,1,single,1,[]
73,mandish,N,k,k,0.7492292975075543,1,single,1,[]
74,adspedate,N,k,k,0.7325085063930601,1,single,1,[]
75,excluding,P,d,d,0.7157558654434979,1,single,1,[]
76,cookies,W,j,j,0.9257634612731636,1,single,1,[]
77,blimry,N,k,k,0.6895357517059892,1,single,1,[]
78,fanatic,W,j,j,0.8174173980951309,1,single,1,[]
79,premise,W,j,j,1.3003207203000784,1,single,1,[]
80,insert,W,j,j,0.6410737314727157,1,single,1,[]
81,cashmere,W,j,j,0.5616126402746886,1,single,1,[]
82,swilk,N,k,k,0.6524245431646705,1,single,1,[]
83,rustling,W,j,j,0.6848983152303845,1,single,1,[]
84,alterdent,N,k,k,0.9706748409662396,1,single,1,[]
85,synthetic,W,j,j,0.48479627608321607,1,single,1,[]
86,redoting,N,k,k,1.0039685925003141,1,single,1,[]
87,excluding,P,d,d,0.7553414348512888,1,single,1,[]
88,grading,W,j,j,0.8687434871681035,1,single,1,[]
89,neamofes,N,k,k,0.7750203418545425,1,single,1,[]
90,dedication,W,j,j,1.0985216333065182,1,single,1,[]
91,fligulate,N,k,k,0.6065183111932129,1,single,1,[]
92,fluke,W,j,j,0.7858038684353232,1,single,1,[]
93,walder,N,k,k,0.6884796037338674,1,single,1,[]
94,dedating,N,k,k,0.9603708626236767,1,single,1,[]
95,panlidan,N,k,k,0.7283797636628151,1,single,1,[]
96,peddle,W,j,j,0.7004866392817348,1,single,1,[]
97,approving,W,j,j,0.597427625907585,1,single,1,[]
98,excluding,P,d,d,0.45455468725413084,1,single,1,[]
99,browsing,W,j,j,0.7796082007698715,1,single,1,[]
100,ralcury,N,k,k,0.7372069377452135,1,single,1,[]
101,exuberance,W,j,j,0.8165229023434222,1,single,1,[]
102,cartilage,W,j,j,0.5954231983050704,1,single,1,[]
103,lithium,W,j,j,0.58054608409293,1,single,1,[]
104,inflating,W,j,j,0.5406092666089535,1,single,1,[]
105,spear,W,j,j,0.6682343129068613,1,single,1,[]
106,chasirt,N,k,k,0.6159172772895545,1,single,1,[]
107,excluding,P,d,d,0.8682017419487238,1,single,1,[]
108,cumulative,W,j,j,0.6534251046832651,1,single,1,[]
109,obscenity,W,j,j,0.6630097604356706,1,single,1,[]
110,inferior,W,j,j,0.5856005712412298,1,single,1,[]
111,dedearting,N,k,k,0.8245586412958801,1,single,1,[]
112,lattall,N,k,k,0.9874881764408201,1,single,1,[]
113,cowona,N,k,k,0.7346520510036498,1,single,1,[]
114,cosmic,W,j,j,0.7179480863269418,1,single,1,[]
115,excluding,P,d,d,0.5300718240905553,1,single,1,[]
116,refute,W,j,k,0.6667448887601495,1,single,1,[]
117,stigma,W,j,j,1.378610283602029,1,single,1,[]
118,fulebram,N,k,k,0.7869753963313997,1,single,1,[]
119,plolding,N,k,k,1.0165873828809708,1,single,1,[]
120,rastring,N,k,k,0.6831303564831614,1,single,1,[]
121,sposter,N,k,k,0.6739750707056373,1,single,1,[]
122,traction,W,j,j,0.7016548623796552,1,single,1,[]
123,prominence,W,j,j,0.7335505322553217,1,single,1,[]
124,sunfreas,N,k,k,0.8927903100848198,1,single,1,[]
125,agile,W,j,j,0.7073183997999877,1,single,1,[]
126,pugnacious,W,j,j,0.8533249283209443,1,single,1,[]
