,stim,S,C,R,RT,block,cond,day,prestim_R
0,replies,W,d,d,1.0781900193542242,1,multi,1,[]
1,coronation,W,d,d,0.5430950112640858,1,multi,1,[]
2,intrusion,W,d,d,0.7266951967030764,1,multi,1,[]
3,lemothous,N,s,s,0.5799250807613134,1,multi,1,[]
4,exciees,N,s,s,0.6109515782445669,1,multi,1,[]
5,lerraid,N,s,s,0.47716866061091423,1,multi,1,[]
6,bucirious,N,s,s,0.4283829052001238,1,multi,1,[]
7,vatidy,N,s,s,0.6990904491394758,1,multi,1,[]
8,squaruous,N,s,d,0.5629915129393339,1,multi,1,[]
9,primate,W,d,d,0.667140606790781,1,multi,1,[]
10,inferior,P,j,j,0.6057231072336435,1,multi,1,[]
11,accusation,W,d,d,0.6879535391926765,1,multi,1,[]
12,vuwreos,N,s,s,0.43985724076628685,1,multi,1,[]
13,strire,N,s,s,0.7697783410549164,1,multi,1,[]
14,squaving,N,s,s,0.9412915334105492,1,multi,1,[]
15,pragmatist,W,d,d,0.6432066969573498,1,multi,1,[]
16,cuppation,N,s,s,0.5157360471785069,1,multi,1,[]
17,atwansion,N,s,s,0.5122509002685547,1,multi,1,[]
18,babble,P,j,d,0.48575788736343384,1,multi,1,[]
19,devegent,N,s,s,1.0460166279226542,1,multi,1,[]
20,fowbod,N,s,s,0.5786898490041494,1,multi,1,[]
21,coward,W,d,d,0.6166511867195368,1,multi,1,[]
22,atrocities,W,d,s,0.5889424774795771,1,multi,1,[]
23,ignorant,W,d,d,0.8961991500109434,1,multi,1,[]
24,glancing,W,d,d,0.8056523147970438,1,multi,1,[]
25,frenzied,W,d,d,0.6144496463239193,1,multi,1,[]
26,pluciios,N,s,s,0.6508202962577343,1,multi,1,[]
27,swade,N,s,s,0.6113253626972437,1,multi,1,[]
28,garnish,P,j,j,0.7415498159825802,1,multi,1,[]
29,clentigy,N,s,s,0.8687770869582891,1,multi,1,[]
30,ingual,N,s,s,0.5510598607361317,1,multi,1,[]
31,tantamount,W,d,d,0.7779544200748205,1,multi,1,[]
32,proton,P,j,j,0.6534548159688711,1,multi,1,[]
33,rewranime,N,s,s,0.6459695138037205,1,multi,1,[]
34,scoud,N,s,s,0.5825064163655043,1,multi,1,[]
35,mimpling,N,s,s,0.6866008248180151,1,multi,1,[]
36,excrersing,N,s,s,0.8865264300256968,1,multi,1,[]
37,varalla,N,s,s,0.509019648656249,1,multi,1,[]
38,gauging,W,d,d,1.00843839161098,1,multi,1,[]
39,halstrang,N,s,s,0.4878888186067343,1,multi,1,[]
40,motar,N,s,s,0.64115328527987,1,multi,1,[]
41,propulsion,W,d,d,0.6737389210611582,1,multi,1,[]
42,procuring,W,d,d,0.9194693230092525,1,multi,1,[]
43,etletonal,N,s,s,0.5312862526625395,1,multi,1,[]
44,aminofy,N,s,s,0.49891635589301586,1,multi,1,[]
45,refining,P,j,j,0.6842727866023779,1,multi,1,[]
46,microscope,W,d,s,0.732195895165205,1,multi,1,[]
47,hocticrous,N,s,s,0.6536014452576637,1,multi,1,[]
48,exclucist,N,s,s,0.8140726760029793,1,multi,1,[]
49,shurish,N,s,s,0.5668861996382475,1,multi,1,[]
50,uscuhant,N,s,s,0.49771688133478165,1,multi,1,[]
51,soppre,N,s,s,0.49101790972054005,1,multi,1,[]
52,pseudonym,W,d,d,0.6523469835519791,1,multi,1,[]
53,ignite,W,d,s,0.7227818816900253,1,multi,1,[]
54,reserhawk,N,s,s,0.5550975725054741,1,multi,1,[]
55,whachiyty,N,s,s,0.5248354710638523,1,multi,1,[]
56,crusade,W,d,d,0.6743482742458582,1,multi,1,[]
57,caricature,W,d,d,0.646045234054327,1,multi,1,[]
58,desolation,W,d,d,0.6625680606812239,1,multi,1,[]
59,stature,P,j,j,0.6103323120623827,1,multi,1,[]
60,ingiliogy,N,s,s,0.67058308981359,1,multi,1,[]
61,fuming,W,d,d,0.6433473154902458,1,multi,1,[]
62,cimnus,N,s,s,0.5318571459501982,1,multi,1,[]
63,reclining,W,d,d,0.5224560517817736,1,multi,1,[]
64,chewise,N,s,s,0.6320349331945181,1,multi,1,[]
65,axpidapat,N,s,s,0.6303745396435261,1,multi,1,[]
66,reaut,N,s,s,0.5728388037532568,1,multi,1,[]
67,rulding,N,s,s,0.6177421920001507,1,multi,1,[]
68,rustling,W,d,d,0.5740953683853149,1,multi,1,[]
69,mimphlet,N,s,s,0.6109539829194546,1,multi,1,[]
70,flotation,P,j,j,0.6632843799889088,1,multi,1,[]
71,colgurudia,N,s,s,0.6819684859365225,1,multi,1,[]
72,dilute,W,d,d,0.5997560787945986,1,multi,1,[]
73,dynasty,W,d,d,0.6009161919355392,1,multi,1,[]
74,elusive,W,d,d,0.9950431510806084,1,multi,1,[]
75,misand,N,s,s,0.7604045886546373,1,multi,1,[]
76,eltique,N,s,s,0.801810210570693,1,multi,1,[]
77,exponent,W,d,d,0.6586388181895018,1,multi,1,[]
78,magnet,P,j,j,0.7652106005698442,1,multi,1,[]
79,attribute,W,d,d,0.7826567701995373,1,multi,1,[]
80,destruct,W,d,d,0.7013638019561768,1,multi,1,[]
81,cynsedial,N,s,s,0.7113430015742779,1,multi,1,[]
82,smitter,N,s,s,1.0093950852751732,1,multi,1,[]
83,promenade,W,d,d,0.711731506511569,1,multi,1,[]
84,sidquito,N,s,s,0.6097421888262033,1,multi,1,[]
85,pynasod,N,s,s,0.6279764901846647,1,multi,1,[]
86,berbert,N,s,s,0.5623992849141359,1,multi,1,[]
87,proton,P,j,j,0.6393396519124508,1,multi,1,[]
88,stillor,N,s,s,0.6137645747512579,1,multi,1,[]
89,daxny,N,s,s,0.5460209846496582,1,multi,1,[]
90,vimpite,N,s,s,0.5877859685570002,1,multi,1,[]
91,reprisird,N,s,s,0.6358974706381559,1,multi,1,[]
92,berapsing,N,s,s,0.6263200007379055,1,multi,1,[]
93,polar,W,d,s,0.7607284933328629,1,multi,1,[]
94,enact,W,d,d,0.7343601770699024,1,multi,1,[]
95,vocation,W,d,d,0.7155733127146959,1,multi,1,[]
96,flurry,W,d,d,0.5495989788323641,1,multi,1,[]
97,marale,N,s,s,0.656346233561635,1,multi,1,[]
98,canlilare,N,s,s,0.7950039710849524,1,multi,1,[]
99,ecurism,N,s,s,0.5137313138693571,1,multi,1,[]
100,babble,P,j,j,0.5651606023311615,1,multi,1,[]
101,immunology,W,d,d,0.626070611178875,1,multi,1,[]
102,caliratend,N,s,s,0.5125029925256968,1,multi,1,[]
103,buddhing,N,s,s,0.5959575418382883,1,multi,1,[]
104,tenth,W,d,d,0.9090222921222448,1,multi,1,[]
105,exploding,W,d,d,0.6125987526029348,1,multi,1,[]
106,copied,W,d,d,0.5678918715566397,1,multi,1,[]
107,numerical,W,d,d,0.5898766368627548,1,multi,1,[]
108,taning,N,s,d,0.5489100012928247,1,multi,1,[]
109,stature,P,j,j,0.6737605538219213,1,multi,1,[]
110,stute,N,s,s,0.6785263046622276,1,multi,1,[]
111,endorsing,W,d,d,0.572291349992156,1,multi,1,[]
112,emerkabing,N,s,s,0.7693017963320017,1,multi,1,[]
113,stathe,N,s,s,0.6298445109277964,1,multi,1,[]
114,refining,P,j,j,0.6842796988785267,1,multi,1,[]
115,nepotism,W,d,d,0.9561593718826771,1,multi,1,[]
116,collusion,W,d,d,0.596158554777503,1,multi,1,[]
117,requiem,W,d,s,0.701311219483614,1,multi,1,[]
118,ennamable,N,s,s,0.858497416600585,1,multi,1,[]
