,C,R,RT,S,cond,day,prestim_R,stim
0,s,d,1.7340434833895415,W,practice,1,[],harm
1,s,s,0.5033846406731755,W,practice,1,[],desk
2,d,d,1.8427900651004165,N,practice,1,[],docint
3,s,s,0.6348978087771684,W,practice,1,[],escape
4,d,s,1.899412672035396,N,practice,1,[],fruod
5,d,d,0.7990798417013139,N,practice,1,[],bottir
6,s,s,0.7038607045542449,W,practice,1,[],bold
7,d,d,1.2658916153013706,N,practice,1,[],fruqoant
8,d,d,1.7272135072853416,N,practice,1,[],cemmit
9,s,s,0.6672914430964738,W,practice,1,[],album
10,s,s,0.7269758358597755,W,practice,1,[],device
11,d,d,0.9710897102486342,N,practice,1,[],onstont
12,d,s,2.63830212992616,N,practice,1,[],berst
13,s,s,0.6647239301819354,W,practice,1,[],handle
14,d,d,0.7244290551170707,N,practice,1,[],pluen
15,d,d,0.8175635335501283,N,practice,1,[],daluvory
16,d,d,0.7793702334165573,N,practice,1,[],menaol
17,d,d,0.6159345672931522,N,practice,1,[],imorgu
18,s,s,0.7951848534867167,W,practice,1,[],persuade
19,s,s,0.6178530659526587,W,practice,1,[],seventh
20,s,s,0.5661335233598948,W,practice,1,[],silence
21,d,d,0.6910405654925853,N,practice,1,[],mitoun
22,s,s,0.562947342870757,W,practice,1,[],planet
23,s,s,0.5598804492037743,W,practice,1,[],delay
