,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,1.351681113243103,N,practice,2,[],daluvory
1,j,j,1.4027925040572882,N,practice,2,[],cemmit
2,j,j,1.358340721577406,N,practice,2,[],onstont
3,k,k,0.5865191873162985,W,practice,2,[],desk
4,j,j,0.9135437589138746,N,practice,2,[],fruqoant
5,k,k,0.6272400375455618,W,practice,2,[],album
6,j,j,0.6736490800976753,N,practice,2,[],menaol
7,j,j,0.7663758229464293,N,practice,2,[],pluen
8,k,j,0.49098275415599346,W,practice,2,[],persuade
9,k,k,0.5204786602407694,W,practice,2,['k'],bold
10,j,j,0.5958866309374571,N,practice,2,[],fruod
11,j,j,0.5079905409365892,N,practice,2,[],imorgu
12,j,j,0.5914189461618662,N,practice,2,[],docint
13,k,k,0.4453997053205967,W,practice,2,[],handle
14,j,j,0.583312276750803,N,practice,2,[],berst
15,j,k,0.4863311853259802,N,practice,2,[],mitoun
16,k,k,0.5457460563629866,W,practice,2,[],device
17,k,k,0.5005581211298704,W,practice,2,[],planet
18,k,k,0.5178591664880514,W,practice,2,[],escape
19,k,k,0.6044593304395676,W,practice,2,[],harm
20,j,j,0.5256064739078283,N,practice,2,[],bottir
21,k,k,0.5321951732039452,W,practice,2,[],seventh
22,k,k,0.6358421836048365,W,practice,2,[],silence
23,k,k,0.6022671032696962,W,practice,2,[],delay
