,stim,S,C,R,RT,block,cond,day,prestim_R
0,conjecture,W,s,s,0.45827993750572205,1,single,2,[]
1,notify,W,s,s,0.4612684082239866,1,single,2,[]
2,steanse,N,d,d,0.4903706982731819,1,single,2,[]
3,interblym,N,d,d,0.4836897552013397,1,single,2,[]
4,insult,W,s,s,0.3959402944892645,1,single,2,[]
5,applicant,W,s,s,0.5515421144664288,1,single,2,[]
6,unimid,N,d,d,0.5532944556325674,1,single,2,[]
7,sloping,W,s,s,0.5081068221479654,1,single,2,[]
8,pliotip,N,d,d,0.44753153808414936,1,single,2,[]
9,emulation,W,s,s,0.4334533307701349,1,single,2,[]
10,stare,P,j,j,0.6892723012715578,1,single,2,[]
11,caffeant,N,d,d,0.548960480839014,1,single,2,[]
12,frenzied,W,s,d,0.43181427009403706,1,single,2,[]
13,didirany,N,d,d,0.6117466222494841,1,single,2,[]
14,illucilory,N,d,d,0.4800913315266371,1,single,2,[]
15,inscusage,N,d,d,0.5032815802842379,1,single,2,[]
16,stare,P,j,s,0.47365587018430233,1,single,2,[]
17,denouncing,W,s,d,0.4808587320148945,1,single,2,[]
18,mystique,W,s,s,0.5162501502782106,1,single,2,[]
19,prompt,W,s,s,0.44178234972059727,1,single,2,[]
20,emokeraine,N,d,d,0.5397177319973707,1,single,2,[]
21,ministries,W,s,s,0.7553548961877823,1,single,2,['j']
22,bucirittic,N,d,d,0.5327786859124899,1,single,2,[]
23,circling,W,s,s,0.5174715593457222,1,single,2,[]
24,purch,N,d,s,0.7469916231930256,1,single,2,[]
25,endurance,W,s,s,0.5824910923838615,1,single,2,[]
26,sursiss,N,d,d,0.4785526264458895,1,single,2,[]
27,atrienes,N,d,d,0.44472845643758774,1,single,2,[]
28,stare,P,j,j,0.6306485664099455,1,single,2,[]
29,equivocal,W,s,s,0.6290695983916521,1,single,2,[]
30,turtle,W,s,s,0.4824142623692751,1,single,2,[]
31,bouncing,W,s,s,0.4987144414335489,1,single,2,[]
32,wrounce,N,d,d,0.66212366707623,1,single,2,[]
33,musel,N,d,d,0.5287415757775307,1,single,2,[]
34,saviour,W,s,s,0.4143134132027626,1,single,2,[]
35,velocity,W,s,s,0.4920166712254286,1,single,2,[]
36,raople,N,d,d,0.48426605574786663,1,single,2,[]
37,stare,P,j,j,0.5714725684374571,1,single,2,[]
38,tyranny,W,s,s,0.6462543606758118,1,single,2,[]
39,adurize,N,d,d,0.3838761355727911,1,single,2,[]
40,castartus,N,d,d,0.41630943305790424,1,single,2,[]
41,relet,N,d,d,0.48495443165302277,1,single,2,[]
42,ebude,N,d,d,0.4622800890356302,1,single,2,[]
43,educating,W,s,s,0.45030637457966805,1,single,2,[]
44,incessant,W,s,s,0.540233638137579,1,single,2,[]
45,hough,N,d,d,0.4289072249084711,1,single,2,[]
46,snight,N,d,s,0.37275425158441067,1,single,2,[]
47,abdomen,W,s,s,0.4312731232494116,1,single,2,[]
48,obsolete,W,s,s,0.726018538698554,1,single,2,[]
49,pessimism,W,s,s,0.659224733710289,1,single,2,[]
50,blemish,W,s,s,0.5728054530918598,1,single,2,[]
51,stare,P,j,j,0.5377247184514999,1,single,2,[]
