,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,0.6647071037441492,W,practice,2,[],silence
1,s,s,0.4855151083320379,W,practice,2,[],album
2,d,d,0.46283445693552494,N,practice,2,[],bottir
3,s,s,0.41090097837150097,W,practice,2,[],handle
4,d,d,0.5115090403705835,N,practice,2,[],menaol
5,s,s,0.49091094359755516,W,practice,2,[],desk
6,d,d,0.6671967953443527,N,practice,2,[],onstont
7,d,d,0.493813781067729,N,practice,2,[],docint
8,s,s,0.38316252268850803,W,practice,2,[],planet
9,s,s,0.5014865733683109,W,practice,2,[],seventh
10,d,d,0.42279176600277424,N,practice,2,[],cemmit
11,d,d,0.46155205368995667,N,practice,2,[],daluvory
12,s,s,0.40960985980927944,W,practice,2,[],harm
13,d,d,0.3812554404139519,N,practice,2,[],fruod
14,s,s,0.4776253756135702,W,practice,2,[],persuade
15,s,d,0.45976606011390686,W,practice,2,[],delay
16,d,d,0.42098474130034447,N,practice,2,[],imorgu
17,s,s,0.3808549139648676,W,practice,2,[],escape
18,d,d,0.565286198630929,N,practice,2,[],berst
19,d,d,0.45020932145416737,N,practice,2,[],mitoun
20,s,s,0.4201079700142145,W,practice,2,[],bold
21,d,d,0.39595651999115944,N,practice,2,[],fruqoant
22,s,s,0.3265062626451254,W,practice,2,[],device
23,d,d,0.4934237711131573,N,practice,2,[],pluen
