,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,1.401050802320242,N,practice,2,[],menaol
1,s,s,0.6675442364066839,N,practice,2,[],pluen
2,d,d,0.5182194076478481,W,practice,2,[],desk
3,s,s,1.2048031836748123,N,practice,2,[],daluvory
4,d,d,0.6588225141167641,W,practice,2,[],seventh
5,s,s,0.6614603344351053,N,practice,2,[],docint
6,d,d,0.6651242561638355,W,practice,2,[],silence
7,s,s,0.6207981240004301,N,practice,2,[],fruqoant
8,d,d,0.5621765647083521,W,practice,2,[],persuade
9,d,d,0.5569952707737684,W,practice,2,[],planet
10,d,d,0.543780330568552,W,practice,2,[],delay
11,d,d,0.49547177739441395,W,practice,2,[],handle
12,d,d,0.4567364752292633,W,practice,2,[],harm
13,s,s,0.6447908990085125,N,practice,2,[],cemmit
14,d,d,0.7184154931455851,W,practice,2,[],device
15,s,s,0.53848996758461,N,practice,2,[],onstont
16,s,s,0.739291500300169,N,practice,2,[],imorgu
17,d,d,0.521494822576642,W,practice,2,[],escape
18,d,d,0.5440339259803295,W,practice,2,[],bold
19,s,s,2.1698243487626314,N,practice,2,[],bottir
20,s,s,0.6014560125768185,N,practice,2,[],mitoun
21,s,d,2.9465723503381014,N,practice,2,[],berst
22,d,d,0.5896484721451998,W,practice,2,[],album
23,s,s,0.6847220677882433,N,practice,2,[],fruod
