,stim,S,C,R,RT,block,cond,day,prestim_R
0,sparse,W,s,s,0.5771928187459707,1,single,2,[]
1,deshies,N,d,d,0.7901236936450005,1,single,2,[]
2,sunfreas,N,d,d,1.468814441934228,1,single,2,[]
3,cough,W,s,s,0.6108991634100676,1,single,2,[]
4,otspitate,N,d,d,0.5971082225441933,1,single,2,[]
5,circling,W,s,s,0.5273113083094358,1,single,2,[]
6,negotiable,P,j,j,0.7088584657758474,1,single,2,[]
7,cabsicep,N,d,d,0.6148942019790411,1,single,2,[]
8,clatilup,N,d,d,0.523179555311799,1,single,2,[]
9,geography,W,s,d,2.760723674669862,1,single,2,[]
10,plaster,W,s,s,0.7113136015832424,1,single,2,[]
11,onmifaty,N,d,d,0.593319907784462,1,single,2,[]
12,rerivetion,N,d,d,0.6675265096127987,1,single,2,[]
13,bueranthy,N,d,d,0.694160109385848,1,single,2,[]
14,stitch,W,s,s,0.6460769083350897,1,single,2,[]
15,spleed,N,d,d,0.7185795493423939,1,single,2,[]
16,azalea,W,s,d,0.5798017922788858,1,single,2,[]
17,murky,W,s,d,0.7408990114927292,1,single,2,[]
18,negotiable,P,j,j,3.0553425401449203,1,single,2,[]
19,construct,W,s,s,0.8529776651412249,1,single,2,[]
20,ruttle,N,d,s,0.5171452295035124,1,single,2,[]
21,corchadity,N,d,d,0.5647581964731216,1,single,2,[]
22,negotiable,P,j,j,0.6155714597553015,1,single,2,[]
23,sposter,N,d,d,0.771910147741437,1,single,2,[]
24,shack,W,s,s,0.9673942737281322,1,single,2,[]
25,arranging,W,s,s,0.7514370679855347,1,single,2,[]
26,melancholy,W,s,s,0.7107430081814528,1,single,2,[]
27,fulfilment,W,s,s,0.6258324887603521,1,single,2,[]
28,sarian,N,d,d,0.7911909613758326,1,single,2,[]
29,capturing,W,s,s,0.6538897100836039,1,single,2,[]
30,salecic,N,d,d,0.510424030944705,1,single,2,[]
31,compulsive,W,s,s,0.801839292049408,1,single,2,[]
32,starch,W,s,s,0.6027306038886309,1,single,2,[]
33,alterdent,N,d,d,0.788844296708703,1,single,2,[]
34,circumvent,W,s,s,1.1464649643748999,1,single,2,[]
35,rooling,N,d,d,0.5669804662466049,1,single,2,[]
36,spied,W,s,d,0.7318849321454763,1,single,2,[]
37,spizing,N,d,d,0.7311743199825287,1,single,2,[]
38,negotiable,P,j,j,0.6403658874332905,1,single,2,[]
39,fanciful,W,s,s,0.8648864664137363,1,single,2,[]
40,beetiche,N,d,d,0.5631933528929949,1,single,2,[]
41,ewern,N,d,d,0.5201009456068277,1,single,2,[]
42,capsicum,W,s,s,0.653659250587225,1,single,2,[]
43,juror,W,s,d,0.6781772449612617,1,single,2,[]
44,plush,W,s,s,0.7180507238954306,1,single,2,[]
45,snight,N,d,d,0.6832347437739372,1,single,2,[]
46,garment,W,s,s,0.5952023472636938,1,single,2,[]
47,tangible,W,s,s,0.540302399545908,1,single,2,[]
48,murlal,N,d,d,0.6530093345791101,1,single,2,[]
49,starl,N,d,d,0.7495720572769642,1,single,2,[]
50,negotiable,P,j,j,0.7408091705292463,1,single,2,[]
