C,R,RT,block,cond,count,day,prestim_R,stim
n,n,0.6538443397730589,1,multi,1,1,[],feint
y,y,0.5994320530444384,1,multi,1,1,[],fortified
y,y,0.5445849858224392,1,multi,1,1,[],cloak
y,y,0.5553874596953392,1,multi,1,1,[],stimulant
y,y,0.4461987186223269,1,multi,1,1,[],legislate
n,n,0.4081340655684471,1,multi,1,1,[],bitumen
y,y,0.4767759777605534,1,multi,1,1,[],eerily
n,n,0.4919863324612379,1,multi,1,1,[],plutonium
n,n,0.5493035577237606,1,multi,1,1,[],sacrilege
y,y,0.5350547023117542,1,multi,1,1,[],trilogy
n,n,0.4717626459896565,1,multi,1,1,[],gratuitous
n,n,0.5099240504205227,1,multi,1,1,[],lilac
y,y,0.5293298605829477,1,multi,1,1,[],reliably
n,n,0.421812329441309,1,multi,1,1,[],petrified
y,n,0.492575254291296,1,multi,1,1,[],mural
n,n,0.5530149545520544,1,multi,1,1,[],concise
n,n,0.5708054415881634,1,multi,1,1,[],concise
y,y,0.4386380091309547,1,multi,1,1,[],legislate
y,y,0.5685900822281837,1,multi,1,1,[],reliably
y,y,0.5244289059191942,1,multi,1,1,[],cloak
n,n,0.6670223213732243,1,multi,1,1,[],plutonium
n,n,0.5907151382416487,1,multi,1,1,[],bitumen
y,y,0.4617507085204125,1,multi,1,1,[],mural
y,y,0.5948486924171448,1,multi,1,1,[],trilogy
n,y,0.6999889127910137,1,multi,1,1,[],petrified
n,n,0.5531450565904379,1,multi,1,1,[],lilac
n,y,2.291932670399546,1,multi,1,1,[],gratuitous
n,n,1.4646204896271229,1,multi,1,1,[],feint
n,n,0.7977270688861609,1,multi,1,1,[],sacrilege
y,y,0.6843996644020081,1,multi,1,1,[],fortified
y,n,0.6923455744981766,1,multi,1,1,[],stimulant
y,y,0.5284257493913174,1,multi,1,1,[],eerily
n,n,0.7623903769999743,1,multi,2,1,[],aspiration
n,n,0.6358071677386761,1,multi,2,1,[],granite
n,n,0.5142081417143345,1,multi,2,1,[],cannon
y,y,0.6616565398871899,1,multi,2,1,[],stimulant
n,n,0.5693601835519075,1,multi,2,1,[],judicious
y,y,0.6292106639593841,1,multi,2,1,[],cloak
y,y,0.5246695820242167,1,multi,2,1,[],fortified
y,y,0.6102543566375971,1,multi,2,1,[],eerily
n,n,0.6145585794001818,1,multi,2,1,[],hinge
n,n,0.6748516503721476,1,multi,2,1,[],pedigree
y,y,0.5115955621004105,1,multi,2,1,[],legislate
y,y,0.7230640538036823,1,multi,2,1,[],trilogy
y,y,0.5842003617435694,1,multi,2,1,[],mural
n,n,0.5272578243166208,1,multi,2,1,[],escalating
n,n,0.5717411022633314,1,multi,2,1,[],obstacle
y,y,0.6006672829389572,1,multi,2,1,[],reliably
n,n,0.5388361066579819,1,multi,2,1,[],cannon
y,n,1.3844291400164366,1,multi,2,1,[],cloak
n,n,0.6599168255925179,1,multi,2,1,[],judicious
y,y,0.550541190430522,1,multi,2,1,[],trilogy
n,n,0.5331037547439337,1,multi,2,1,[],granite
y,y,0.7978745996952057,1,multi,2,1,[],legislate
n,n,0.6455402709543705,1,multi,2,1,[],hinge
n,n,0.6711489669978619,1,multi,2,1,[],pedigree
n,n,0.5638706088066101,1,multi,2,1,[],obstacle
n,n,0.6787364184856415,1,multi,2,1,[],aspiration
n,n,0.5485316514968872,1,multi,2,1,[],escalating
y,y,0.8313522897660732,1,multi,2,1,[],eerily
y,y,0.7323885187506676,1,multi,2,1,[],fortified
y,y,1.0916815977543592,1,multi,2,1,[],stimulant
y,y,0.9266996122896672,1,multi,2,1,[],reliably
y,y,0.5374659672379494,1,multi,2,1,[],mural
y,y,1.2212421577423809,1,multi,3,1,[],stimulant
y,y,0.5733561255037785,1,multi,3,1,[],reliably
y,y,0.570281121879816,1,multi,3,1,[],fortified
n,n,0.7192138396203518,1,multi,3,1,[],croft
n,n,0.5723690818995237,1,multi,3,1,[],cushion
n,n,0.5154367610812187,1,multi,3,1,[],chuck
y,y,0.6388635411858559,1,multi,3,1,[],trilogy
y,y,1.277282988652587,1,multi,3,1,[],legislate
n,n,0.6228905916213989,1,multi,3,1,[],mundane
n,n,0.8693174868822098,1,multi,3,1,[],commend
n,n,0.5516183730214834,1,multi,3,1,[],efficacy
y,y,0.5613704044371843,1,multi,3,1,[],cloak
n,n,0.7401793859899044,1,multi,3,1,[],trinity
y,y,0.8194888588041067,1,multi,3,1,[],eerily
n,n,0.7104383334517479,1,multi,3,1,[],pardon
y,y,0.5604308377951384,1,multi,3,1,[],mural
n,n,0.8032184466719627,1,multi,3,1,[],mundane
y,y,0.676011161878705,1,multi,3,1,[],reliably
n,n,0.5778499450534582,1,multi,3,1,[],commend
y,y,0.4728806931525469,1,multi,3,1,[],eerily
n,n,0.5509855840355158,1,multi,3,1,[],chuck
y,y,0.817878944799304,1,multi,3,1,[],legislate
n,n,0.6527611482888461,1,multi,3,1,[],efficacy
y,y,0.5172879528254269,1,multi,3,1,[],cloak
y,y,0.6358798816800117,1,multi,3,1,[],fortified
n,n,0.6044114287942648,1,multi,3,1,[],pardon
y,y,1.02050612680614,1,multi,3,1,[],stimulant
y,y,0.6300171241164207,1,multi,3,1,[],mural
y,y,0.5644321870058775,1,multi,3,1,[],trilogy
n,n,0.6232514549046755,1,multi,3,1,[],cushion
n,n,0.8456681501120329,1,multi,3,1,[],croft
n,n,0.7328103762120008,1,multi,3,1,[],trinity
n,n,0.4799882937222719,2,single,4,1,[],pastry
y,y,0.5741388481110334,2,single,4,1,[],defunct
n,n,0.49313472770154476,2,single,4,1,[],deceptive
n,n,0.46036764793097973,2,single,4,1,[],singular
n,n,0.5844136942178011,2,single,4,1,[],acacia
n,n,0.4634495619684458,2,single,4,1,[],boulevard
n,n,0.41147408075630665,2,single,4,1,[],myopic
y,y,0.48120759800076485,2,single,4,1,[],defunct
y,y,0.5204062219709158,2,single,4,1,[],defunct
y,y,0.4379156809300184,2,single,4,1,[],defunct
n,n,0.37268619798123837,2,single,4,1,[],cancel
y,y,0.5971142314374447,2,single,4,1,[],defunct
y,y,0.4062579348683357,2,single,4,1,[],defunct
y,y,0.3639671802520752,2,single,4,1,[],defunct
y,y,0.3622962702065706,2,single,4,1,[],defunct
n,n,0.5275378618389368,2,single,4,1,[],harmonic
y,y,0.3821491803973913,2,single,4,1,[],defunct
y,y,0.4305791202932596,2,single,4,1,[],defunct
y,y,0.3333313297480345,2,single,4,1,[],defunct
y,y,0.3674388024955988,2,single,4,1,[],defunct
n,n,0.46069485880434513,2,single,4,1,[],singular
y,y,0.40176171250641346,2,single,4,1,[],defunct
y,y,0.5184351447969675,2,single,4,1,[],defunct
n,n,0.5079725030809641,2,single,4,1,[],myopic
n,n,0.6793559864163399,2,single,4,1,[],pastry
n,n,0.7492027804255486,2,single,4,1,[],deceptive
n,n,0.4284842498600483,2,single,4,1,[],harmonic
n,n,0.4432757534086704,2,single,4,1,[],acacia
y,y,0.48410442285239697,2,single,4,1,[],defunct
y,y,0.5014799609780312,2,single,4,1,[],defunct
n,n,0.3848864547908306,2,single,4,1,[],cancel
n,n,0.5154283475130796,2,single,4,1,[],boulevard
