,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,1.0899409789126366,N,practice,2,[],menaol
1,s,s,0.5889712141361088,N,practice,2,[],berst
2,d,d,0.7959621131885797,W,practice,2,[],persuade
3,d,d,0.5866569995414466,W,practice,2,[],harm
4,s,s,0.5537141461391002,N,practice,2,[],imorgu
5,d,d,0.6525210726540536,W,practice,2,[],album
6,d,d,1.5090490838047117,W,practice,2,[],delay
7,d,d,4.008402924519032,W,practice,2,[],seventh
8,s,s,0.719688881887123,N,practice,2,[],fruqoant
9,s,s,0.6696697571314871,N,practice,2,[],mitoun
10,d,d,0.7043910885695368,W,practice,2,[],bold
11,d,d,0.5682721843477339,W,practice,2,[],device
12,s,s,0.5652206179220229,N,practice,2,[],fruod
13,d,d,0.6231507991906255,W,practice,2,[],silence
14,d,d,0.4755082963965833,W,practice,2,[],desk
15,d,d,0.801654203562066,W,practice,2,[],handle
16,s,s,0.6264256141148508,N,practice,2,[],docint
17,s,s,0.7826945905108005,N,practice,2,[],daluvory
18,s,s,0.5723228110000491,N,practice,2,[],onstont
19,s,s,0.7852846360765398,N,practice,2,[],cemmit
20,s,s,0.6698785831686109,N,practice,2,[],pluen
21,d,d,0.8506144748535007,W,practice,2,[],planet
22,s,s,0.7228032464627177,N,practice,2,[],bottir
23,d,d,0.608006545342505,W,practice,2,[],escape
