C,R,RT,block,cond,count,day,prestim_R,stim
y,n,0.7244741562753916,1,multi,1,2,[],solemn
y,y,1.9818895132048056,1,multi,1,2,[],spacious
n,n,0.6740656231995672,1,multi,1,2,[],sinister
y,y,0.5097645011264831,1,multi,1,2,[],ambience
n,n,0.7211795102339238,1,multi,1,2,[],curiosity
n,n,0.8063859943067655,1,multi,1,2,[],ingenious
n,n,0.5901833073003218,1,multi,1,2,[],diminutive
n,n,0.6942220053169876,1,multi,1,2,[],plumbing
y,y,0.469075849512592,1,multi,1,2,[],envoy
n,n,0.6080876721534878,1,multi,1,2,[],pedigree
y,y,0.8684166800230742,1,multi,1,2,[],tabloid
n,n,0.76666845951695,1,multi,1,2,[],derelict
y,y,0.6421987501671538,1,multi,1,2,[],circulate
y,n,1.5227688126033172,1,multi,1,2,[],fuming
n,n,0.6833597394870594,1,multi,1,2,[],volcano
y,y,0.6752479698043317,1,multi,1,2,[],believable
n,n,0.8570643488783389,1,multi,1,2,[],ingenious
n,n,1.1223321706056597,1,multi,1,2,[],curiosity
y,y,0.7706202317494899,1,multi,1,2,[],ambience
n,y,0.7821423280984163,1,multi,1,2,[],diminutive
y,y,0.6389209305634722,1,multi,1,2,[],believable
y,y,0.8054341074312106,1,multi,1,2,[],fuming
y,y,0.5100995245156811,1,multi,1,2,[],envoy
n,n,1.289541534963064,1,multi,1,2,[],volcano
y,y,5.043193063233048,1,multi,1,2,[],spacious
n,n,2.7676990691106766,1,multi,1,2,[],sinister
y,y,1.7391154244542122,1,multi,1,2,[],circulate
n,n,0.6344409333541989,1,multi,1,2,[],derelict
n,n,0.8568200672743842,1,multi,1,2,[],plumbing
y,y,2.5311242629541084,1,multi,1,2,[],solemn
n,n,1.2827073606895285,1,multi,1,2,[],pedigree
y,y,3.4613616006681696,1,multi,1,2,[],tabloid
n,n,0.7342451174044982,1,multi,2,2,[],nocturnal
n,n,0.5815327961463481,1,multi,2,2,[],poison
n,n,0.5405400695744902,1,multi,2,2,[],greet
y,y,0.5972695753443986,1,multi,2,2,[],circulate
y,y,0.5984116592444481,1,multi,2,2,[],tabloid
y,y,0.6885728819761425,1,multi,2,2,[],ambience
y,y,0.6474662775872275,1,multi,2,2,[],envoy
y,y,1.5210594427771866,1,multi,2,2,[],solemn
y,y,1.3185677709989252,1,multi,2,2,[],spacious
n,n,0.6214585561538115,1,multi,2,2,[],placate
y,y,1.3297677643131465,1,multi,2,2,[],fuming
n,n,0.6907359604956582,1,multi,2,2,[],obstacle
n,n,0.8507010098546743,1,multi,2,2,[],entities
n,n,0.6028357691830024,1,multi,2,2,[],simulation
y,y,3.379991508787498,1,multi,2,2,[],believable
n,n,0.7723220898769796,1,multi,2,2,[],odyssey
y,y,0.624899530550465,1,multi,2,2,[],circulate
n,n,0.8633663919754326,1,multi,2,2,[],obstacle
y,y,1.6005458926083518,1,multi,2,2,[],spacious
n,n,0.6667275617364794,1,multi,2,2,[],odyssey
n,n,1.3093616920523343,1,multi,2,2,[],poison
y,y,1.5381405217340216,1,multi,2,2,[],fuming
y,y,0.6657678628107533,1,multi,2,2,[],envoy
y,y,0.5654330499237403,1,multi,2,2,[],tabloid
n,n,1.0183742988156157,1,multi,2,2,[],placate
y,y,0.8769566185073927,1,multi,2,2,[],believable
n,n,0.6162718550767751,1,multi,2,2,[],greet
n,n,0.8845744167920202,1,multi,2,2,[],simulation
n,n,1.7049938299460337,1,multi,2,2,[],nocturnal
y,y,0.8499907004879788,1,multi,2,2,[],ambience
y,y,1.330103688989766,1,multi,2,2,[],solemn
n,n,0.6991500024450943,1,multi,2,2,[],entities
n,j,3.54430825507734,2,single,3,2,[],menial
n,j,0.6864665921311826,2,single,3,2,[],serenity
n,j,0.5273954389849678,2,single,3,2,[],evaporate
y,d,0.5382144370814785,2,single,3,2,[],affable
y,d,3.2310855324612926,2,single,3,2,[],affable
n,k,1.3723370532970876,2,single,3,2,[],ordinate
y,y,3.685737052699551,2,single,3,2,[],affable
n,y,1.1095051360316577,2,single,3,2,[],grail
n,n,0.8078829323640093,2,single,3,2,[],confer
y,y,0.7127234027720988,2,single,3,2,[],affable
y,y,0.6187266892520711,2,single,3,2,[],affable
y,y,0.455052045872435,2,single,3,2,[],affable
y,y,0.3470654815901071,2,single,3,2,[],affable
n,n,0.4542023186804727,2,single,3,2,[],vigour
y,y,0.5270718334941193,2,single,3,2,[],affable
n,n,0.9096723172115162,2,single,3,2,[],doctrine
n,n,0.3412826493149623,2,single,3,2,[],evaporate
n,n,0.3423360948218033,2,single,3,2,[],ordinate
y,y,0.3363831968745217,2,single,3,2,[],affable
y,y,0.40945943468250334,2,single,3,2,[],affable
y,y,0.3901290425565094,2,single,3,2,[],affable
n,n,0.3915475581306964,2,single,3,2,[],serenity
n,n,0.4581601002719253,2,single,3,2,[],doctrine
y,n,0.3181648417375982,2,single,3,2,[],affable
y,y,0.4540989572415128,2,single,3,2,[],affable
n,n,0.4341589128598571,2,single,3,2,[],confer
n,n,0.5518686636351049,2,single,3,2,[],grail
n,n,0.37866613862570375,2,single,3,2,[],vigour
y,y,0.4911011508665979,2,single,3,2,[],affable
n,n,0.4284025218803436,2,single,3,2,[],menial
y,y,0.5141195033211261,2,single,3,2,[],affable
y,y,0.4775547927711159,2,single,3,2,[],affable
y,y,0.46342912991531193,2,single,4,2,[],affable
n,n,0.4674806580878794,2,single,4,2,[],mundane
y,y,0.41550728073343635,2,single,4,2,[],affable
n,n,0.693213630351238,2,single,4,2,[],arbitrary
y,y,0.5651448998833075,2,single,4,2,[],affable
n,n,0.570074399234727,2,single,4,2,[],satire
n,n,0.6390200854511932,2,single,4,2,[],semester
y,y,0.6374122742563486,2,single,4,2,[],affable
n,n,0.7398741092765704,2,single,4,2,[],tread
y,y,0.6980595992645249,2,single,4,2,[],affable
n,n,0.8510645778151229,2,single,4,2,[],wreath
n,n,0.7461485093226656,2,single,4,2,[],flamboyant
y,y,0.5534338082652539,2,single,4,2,[],affable
y,y,0.4923511032247916,2,single,4,2,[],affable
y,y,0.6205484345555305,2,single,4,2,[],affable
n,n,0.47286476753652096,2,single,4,2,[],breadth
y,y,0.5680867948103696,2,single,4,2,[],affable
y,y,0.5730132893659174,2,single,4,2,[],affable
y,y,0.40993327472824603,2,single,4,2,[],affable
n,n,0.4945995149901137,2,single,4,2,[],semester
n,n,0.5279194574104622,2,single,4,2,[],satire
y,y,0.5483627878129482,2,single,4,2,[],affable
n,n,0.63124664418865,2,single,4,2,[],breadth
n,n,0.4935677034081891,2,single,4,2,[],flamboyant
n,n,0.534917387412861,2,single,4,2,[],arbitrary
n,n,0.6545795878628269,2,single,4,2,[],wreath
y,y,0.47107847745064646,2,single,4,2,[],affable
y,y,0.5903010913170874,2,single,4,2,[],affable
n,n,0.5413372146431357,2,single,4,2,[],tread
y,y,0.5180433318018913,2,single,4,2,[],affable
y,y,0.5875839474610984,2,single,4,2,[],affable
n,n,0.6026768209412694,2,single,4,2,[],mundane
