,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,1.5017780271009542,N,practice,2,[],mitoun
1,k,k,0.5911090532317758,N,practice,2,[],pluen
2,k,k,0.4551451912848279,N,practice,2,[],bottir
3,k,k,0.5631957554433029,N,practice,2,[],fruqoant
4,k,k,0.48811959399608895,N,practice,2,[],onstont
5,j,j,0.6414505816646852,W,practice,2,[],seventh
6,j,j,0.553943404200254,W,practice,2,[],delay
7,k,k,0.5328216140915174,N,practice,2,[],docint
8,j,j,0.4684061034931801,W,practice,2,[],handle
9,k,k,0.49751166347414255,N,practice,2,[],daluvory
10,j,j,0.49294723427738063,W,practice,2,[],harm
11,k,k,0.5502707679115701,N,practice,2,[],imorgu
12,j,j,0.7280091775464825,W,practice,2,[],device
13,k,k,0.5251914966211189,N,practice,2,[],fruod
14,j,j,0.40274094106280245,W,practice,2,[],planet
15,j,j,0.48528586799511686,W,practice,2,[],silence
16,k,k,0.4284683246805798,N,practice,2,[],cemmit
17,k,k,0.40432441429584287,N,practice,2,[],berst
18,j,j,0.5588314388296567,W,practice,2,[],escape
19,j,j,0.5617321694735438,W,practice,2,[],persuade
20,j,j,0.4844827135675587,W,practice,2,[],album
21,k,k,0.4356651654234156,N,practice,2,[],menaol
22,j,j,0.4434761654410977,W,practice,2,[],bold
23,j,j,0.4294181081641,W,practice,2,[],desk
