,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,1.0121116171358153,N,practice,1,[],cemmit
1,k,k,0.5976277347654104,W,practice,1,[],harm
2,k,k,0.5518296025693417,W,practice,1,[],persuade
3,j,j,0.5455690242815763,N,practice,1,[],fruod
4,k,k,0.5003928636433557,W,practice,1,[],seventh
5,k,k,0.40572099562268704,W,practice,1,[],album
6,j,j,0.6263526001712307,N,practice,1,[],onstont
7,j,j,0.46265452017541975,N,practice,1,[],imorgu
8,k,k,0.43470095947850496,W,practice,1,[],planet
9,j,j,0.5545127935474738,N,practice,1,[],pluen
10,k,k,0.4453294600825757,W,practice,1,[],desk
11,j,j,0.4232410602271557,N,practice,1,[],docint
12,j,j,0.5910889218794182,N,practice,1,[],fruqoant
13,j,j,0.6141222976148129,N,practice,1,[],daluvory
14,j,j,0.5544307654490694,N,practice,1,[],bottir
15,k,k,0.3881777949864045,W,practice,1,[],delay
16,k,k,0.4686125259613618,W,practice,1,[],silence
17,j,j,0.4918370001250878,N,practice,1,[],berst
18,k,j,0.34917928313370794,W,practice,1,[],device
19,j,j,0.6215336734894663,N,practice,1,[],mitoun
20,j,j,0.475943976896815,N,practice,1,[],menaol
21,k,k,0.5060888602165505,W,practice,1,[],handle
22,k,k,0.5335247121984139,W,practice,1,[],bold
23,k,k,0.4622134311357513,W,practice,1,[],escape
