,C,R,RT,S,cond,day,prestim_R,stim
0,k,j,1.2776090297847986,W,practice,1,[],device
1,k,k,0.8012690637260675,W,practice,1,[],harm
2,k,k,0.8100929576903582,W,practice,1,[],persuade
3,j,j,0.8929805178195238,N,practice,1,[],berst
4,k,k,0.5155170038342476,W,practice,1,[],silence
5,k,k,0.6549574639648199,W,practice,1,[],handle
6,j,j,0.808535922318697,N,practice,1,[],pluen
7,j,j,0.7314549367874861,N,practice,1,[],cemmit
8,k,k,0.7595840059220791,W,practice,1,[],escape
9,k,k,0.6569636985659599,W,practice,1,[],seventh
10,k,k,0.5007140655070543,W,practice,1,[],bold
11,j,j,0.6080466359853745,N,practice,1,[],bottir
12,j,j,0.6204413119703531,N,practice,1,[],menaol
13,j,j,0.6428488362580538,N,practice,1,[],fruqoant
14,k,k,0.6113475970923901,W,practice,1,[],desk
15,j,j,0.6236797738820314,N,practice,1,[],imorgu
16,k,k,0.6141107175499201,W,practice,1,[],planet
17,j,j,0.6733519174158573,N,practice,1,[],fruod
18,j,j,0.6370629947632551,N,practice,1,[],daluvory
19,j,j,0.5234731417149305,N,practice,1,[],onstont
20,k,k,0.8410392291843891,W,practice,1,[],album
21,k,k,0.478035818785429,W,practice,1,[],delay
22,j,j,0.6761916559189558,N,practice,1,[],mitoun
23,j,j,0.6809309646487236,N,practice,1,[],docint
