,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.676056144759059,W,practice,2,[],desk
1,k,k,0.4896045010536909,N,practice,2,[],berst
2,k,k,0.5309410132467747,N,practice,2,[],daluvory
3,k,k,0.426587900146842,N,practice,2,[],bottir
4,k,k,0.466397425159812,N,practice,2,[],menaol
5,k,k,0.3984771594405174,N,practice,2,[],onstont
6,k,k,0.41695844754576683,N,practice,2,[],mitoun
7,j,j,0.526650907471776,W,practice,2,[],persuade
8,k,k,0.42822966538369656,N,practice,2,[],cemmit
9,j,j,0.44296409748494625,W,practice,2,[],device
10,k,k,0.4128972999751568,N,practice,2,[],imorgu
11,j,j,0.43462726660072803,W,practice,2,[],bold
12,j,j,0.4323304761201143,W,practice,2,[],harm
13,j,j,0.40602195262908936,W,practice,2,[],silence
14,j,j,0.3797497879713774,W,practice,2,[],planet
15,j,j,0.3961458168923855,W,practice,2,[],escape
16,j,j,0.3667181171476841,W,practice,2,[],delay
17,j,j,0.4210328161716461,W,practice,2,[],album
18,j,j,0.4597684647887945,W,practice,2,[],seventh
19,k,k,0.4249055702239275,N,practice,2,[],docint
20,k,k,0.4166844207793474,N,practice,2,[],fruqoant
21,k,k,0.45335974730551243,N,practice,2,[],fruod
22,k,k,0.36733408086001873,N,practice,2,[],pluen
23,j,j,0.41363645531237125,W,practice,2,[],handle
