,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,0.7152063101530075,N,practice,2,[],fruqoant
1,d,f,0.4930361695587635,W,practice,2,[],desk
2,d,d,0.6165014840662479,W,practice,2,[],planet
3,s,s,0.6607179716229439,N,practice,2,[],pluen
4,d,d,0.44040413200855255,W,practice,2,[],device
5,s,s,0.5304794739931822,N,practice,2,[],imorgu
6,s,d,0.4100507041439414,N,practice,2,[],berst
7,s,s,0.5447911359369755,N,practice,2,[],mitoun
8,d,d,0.5933818584308028,W,practice,2,[],harm
9,s,s,0.4844457460567355,N,practice,2,[],daluvory
10,s,s,0.5326735023409128,N,practice,2,[],onstont
11,d,d,0.4853877183049917,W,practice,2,[],escape
12,s,s,0.4528015023097396,N,practice,2,[],docint
13,s,s,0.5038314368575811,N,practice,2,[],cemmit
14,s,s,0.5631756614893675,N,practice,2,[],menaol
15,d,d,0.4951018961146474,W,practice,2,[],bold
16,s,s,0.4564068354666233,N,practice,2,[],fruod
17,d,d,0.6294637378305197,W,practice,2,[],persuade
18,s,s,0.45186764374375343,N,practice,2,[],bottir
19,d,d,0.5199233805760741,W,practice,2,[],delay
20,d,d,0.62140784971416,W,practice,2,[],handle
21,d,d,0.4977814834564924,W,practice,2,[],seventh
22,d,d,0.5571644697338343,W,practice,2,[],album
23,d,d,0.6800210336223245,W,practice,2,[],silence
