,C,R,RT,S,cond,day,prestim_R,stim
0,d,d,2.6193253675010055,N,practice,2,[],mitoun
1,s,s,0.7008878579363227,W,practice,2,[],bold
2,s,s,0.5087867847178131,W,practice,2,[],device
3,d,d,0.5681923413649201,N,practice,2,[],imorgu
4,s,s,0.4690968452487141,W,practice,2,[],escape
5,d,d,0.6912166408728808,N,practice,2,[],menaol
6,d,s,0.8510836288332939,N,practice,2,[],berst
7,s,s,0.5392285680864006,W,practice,2,[],silence
8,d,d,0.6279151942580938,N,practice,2,[],daluvory
9,s,s,0.5463151452131569,W,practice,2,[],desk
10,d,d,0.669097265927121,N,practice,2,[],fruqoant
11,s,s,0.7538324154447764,W,practice,2,[],persuade
12,d,d,0.7392232797574252,N,practice,2,[],docint
13,s,s,0.5465152580291033,W,practice,2,[],delay
14,d,d,0.6533156977966428,N,practice,2,[],fruod
15,s,s,0.5737888894509524,W,practice,2,[],planet
16,d,d,0.7307109741959721,N,practice,2,[],onstont
17,s,s,1.2238252612296492,W,practice,2,[],album
18,s,s,0.615952595602721,W,practice,2,[],seventh
19,s,s,0.5162648735567927,W,practice,2,[],handle
20,s,s,2.2737645213492215,W,practice,2,[],harm
21,d,d,0.8892147315200418,N,practice,2,[],bottir
22,d,d,1.3415940457489341,N,practice,2,[],cemmit
23,d,d,1.2396230548620224,N,practice,2,[],pluen
