,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,3.0832132706418633,N,practice,1,[],fruqoant
1,d,d,1.2220792318694293,W,practice,1,[],planet
2,s,s,1.0781776995863765,N,practice,1,[],berst
3,d,d,0.764942581532523,W,practice,1,[],album
4,s,s,0.6703321961686015,N,practice,1,[],imorgu
5,d,d,0.39404372964054346,W,practice,1,[],device
6,s,s,0.37042981875129044,N,practice,1,[],fruod
7,s,d,0.36072554998099804,N,practice,1,[],cemmit
8,d,d,0.937079549068585,W,practice,1,[],seventh
9,s,s,0.6827638281974941,N,practice,1,[],menaol
10,d,d,0.625612695235759,W,practice,1,[],harm
11,s,s,0.5439645708538592,N,practice,1,[],onstont
12,d,d,0.5916283742990345,W,practice,1,[],escape
13,s,s,0.6546464778948575,N,practice,1,[],bottir
14,d,d,0.5682019563391805,W,practice,1,[],desk
15,s,s,0.7411018160637468,N,practice,1,[],daluvory
16,d,d,0.5073343142867088,W,practice,1,[],silence
17,d,d,0.5827392798382789,W,practice,1,[],bold
18,s,s,0.6708129479084164,N,practice,1,[],docint
19,s,s,0.7075393546838313,N,practice,1,[],mitoun
20,d,d,0.4924836012069136,W,practice,1,[],handle
21,d,d,0.517778339330107,W,practice,1,[],persuade
22,s,s,0.5792977004311979,N,practice,1,[],pluen
23,d,d,0.562308844877407,W,practice,1,[],delay
