,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,0.8771429515763884,W,practice,1,[],bold
1,k,k,0.9274314027134096,W,practice,1,[],album
2,j,j,3.4000643005656457,N,practice,1,[],menaol
3,j,k,1.7634532408683299,N,practice,1,[],onstont
4,j,k,1.3849626816345335,N,practice,1,[],bottir
5,j,j,2.3623390983493664,N,practice,1,[],berst
6,j,k,2.519495991730764,N,practice,1,[],docint
7,k,k,0.606954376644353,W,practice,1,[],persuade
8,j,j,1.2661791041182369,N,practice,1,[],fruqoant
9,k,k,0.4816524043599202,W,practice,1,[],silence
10,j,j,1.0419035371323844,N,practice,1,[],cemmit
11,j,j,0.5825330817406211,N,practice,1,[],daluvory
12,k,k,0.48552786558138905,W,practice,1,[],delay
13,k,k,0.3807482903257551,W,practice,1,[],device
14,j,j,0.517160438926112,N,practice,1,[],imorgu
15,k,k,0.38668167013202037,W,practice,1,[],seventh
16,j,j,0.47509554943917465,N,practice,1,[],fruod
17,j,j,0.4732197156354232,N,practice,1,[],pluen
18,k,k,0.3662875737654758,W,practice,1,[],harm
19,k,k,0.40456263596297504,W,practice,1,[],handle
20,k,k,0.35112105332791543,W,practice,1,[],escape
21,k,k,0.39425080826458725,W,practice,1,[],planet
22,k,k,0.3658122303286291,W,practice,1,[],desk
23,j,k,0.37909059769481246,N,practice,1,[],mitoun
