C,R,RT,block,cond,count,day,prestim_R,stim
y,y,0.40409245155751705,1,single,1,1,[],hydrogen
y,y,0.3506185319274664,1,single,1,1,[],hydrogen
n,n,0.5308355130255222,1,single,1,1,[],hating
n,n,0.4824467338621616,1,single,1,1,[],cassette
y,y,0.4656997751444578,1,single,1,1,[],hydrogen
n,y,0.6377013251185417,1,single,1,1,[],transform
n,n,0.7373787108808756,1,single,1,1,[],prototype
y,y,0.5206405874341726,1,single,1,1,[],hydrogen
n,n,0.4542107302695513,1,single,1,1,[],doctrine
y,y,0.5142670329660177,1,single,1,1,[],hydrogen
y,y,0.5656728241592646,1,single,1,1,[],hydrogen
y,y,0.4106027204543352,1,single,1,1,[],hydrogen
y,y,0.35228673554956913,1,single,1,1,[],hydrogen
n,n,0.595462853088975,1,single,1,1,[],redundant
n,n,0.637661362066865,1,single,1,1,[],apron
n,n,0.5181581117212772,1,single,1,1,[],patent
y,y,0.3637033700942993,1,single,1,1,[],hydrogen
y,y,0.5300404708832502,1,single,1,1,[],hydrogen
n,n,0.5195582974702121,1,single,1,1,[],doctrine
n,n,0.8541449885815382,1,single,1,1,[],prototype
n,n,0.4212354272603989,1,single,1,1,[],patent
y,y,0.7971219252794981,1,single,1,1,[],hydrogen
y,y,0.4779273737221956,1,single,1,1,[],hydrogen
n,n,0.6200331300497055,1,single,1,1,[],transform
y,y,0.4243594072759152,1,single,1,1,[],hydrogen
y,y,0.44019654393196106,1,single,1,1,[],hydrogen
n,n,0.6101050227880478,1,single,1,1,[],hating
y,y,0.5493480265140533,1,single,1,1,[],hydrogen
y,y,0.4540794268250466,1,single,1,1,[],hydrogen
n,n,0.5780786015093327,1,single,1,1,[],cassette
n,n,0.5750588849186897,1,single,1,1,[],redundant
n,n,0.3959587477147579,1,single,1,1,[],apron
n,n,0.5763887614011765,1,single,2,1,[],succinct
y,y,1.629309218376875,1,single,2,1,[],hydrogen
y,y,0.3877069596201181,1,single,2,1,[],hydrogen
y,y,0.42814111337065697,1,single,2,1,[],hydrogen
y,y,0.37194704450666893,1,single,2,1,[],hydrogen
n,n,0.5643678847700357,1,single,2,1,[],rotary
n,n,0.6253072675317526,1,single,2,1,[],prescribe
n,n,0.5736283492296934,1,single,2,1,[],heron
y,y,0.4025243036448956,1,single,2,1,[],hydrogen
y,y,0.38108100928366173,1,single,2,1,[],hydrogen
y,y,0.5815018471330404,1,single,2,1,[],hydrogen
n,n,0.5085451975464821,1,single,2,1,[],depict
n,n,0.5279642287641764,1,single,2,1,[],facet
n,n,0.5665790401399136,1,single,2,1,[],sedentary
n,n,0.4514611382037401,1,single,2,1,[],chariot
y,y,0.4715147595852613,1,single,2,1,[],hydrogen
n,n,0.6056568752974272,1,single,2,1,[],prescribe
n,n,0.5678476206958294,1,single,2,1,[],chariot
y,y,0.6767662409693003,1,single,2,1,[],hydrogen
n,n,0.4585975836962462,1,single,2,1,[],succinct
y,y,0.4226416237652302,1,single,2,1,[],hydrogen
n,n,0.5184516683220863,1,single,2,1,[],rotary
n,n,0.8599792011082172,1,single,2,1,[],sedentary
y,y,0.4862915370613337,1,single,2,1,[],hydrogen
y,y,0.5745408758521079,1,single,2,1,[],hydrogen
y,y,0.4525163862854242,1,single,2,1,[],hydrogen
n,n,0.6405197288841009,1,single,2,1,[],depict
n,n,0.6869858037680387,1,single,2,1,[],heron
y,y,0.5589426122605801,1,single,2,1,[],hydrogen
y,y,0.3557998239994049,1,single,2,1,[],hydrogen
y,y,0.3829658553004265,1,single,2,1,[],hydrogen
n,n,0.4314036089926958,1,single,2,1,[],facet
n,n,0.9560927208513021,2,multi,3,1,[],flank
n,n,0.5641464404761791,2,multi,3,1,[],plumbing
n,n,0.5909648276865482,2,multi,3,1,[],pastry
y,y,0.6779729258269072,2,multi,3,1,[],fulcrum
n,n,0.5477831829339266,2,multi,3,1,[],influx
y,y,0.5185925904661417,2,multi,3,1,[],syringe
y,y,0.6601433791220188,2,multi,3,1,[],tenacity
y,y,0.7838402800261974,2,multi,3,1,[],denouncing
y,y,0.5894546695053577,2,multi,3,1,[],loneliness
y,y,0.6204973552376032,2,multi,3,1,[],surrogate
y,y,0.5447844993323088,2,multi,3,1,[],explicit
n,n,0.5555962864309549,2,multi,3,1,[],python
n,n,0.6864125076681376,2,multi,3,1,[],duress
y,y,0.5423464924097061,2,multi,3,1,[],eerily
n,n,0.6379828657954931,2,multi,3,1,[],secede
n,n,0.6604092922061682,2,multi,3,1,[],illustrate
n,n,0.5920693539083004,2,multi,3,1,[],pastry
y,y,0.6711585819721222,2,multi,3,1,[],loneliness
y,y,0.6289501562714577,2,multi,3,1,[],fulcrum
y,y,0.9233845341950655,2,multi,3,1,[],denouncing
n,n,0.7511504217982292,2,multi,3,1,[],illustrate
n,n,0.5275156274437904,2,multi,3,1,[],flank
y,y,0.5980886556208134,2,multi,3,1,[],syringe
n,n,0.5832493770867586,2,multi,3,1,[],influx
n,n,0.6393632218241692,2,multi,3,1,[],duress
y,y,0.7358739618211985,2,multi,3,1,[],eerily
y,y,0.6151514053344727,2,multi,3,1,[],surrogate
y,y,0.5864169243723154,2,multi,3,1,[],tenacity
n,n,0.6424862984567881,2,multi,3,1,[],plumbing
n,n,0.5390359200537205,2,multi,3,1,[],python
n,n,0.6267053503543139,2,multi,3,1,[],secede
y,y,0.9189958795905113,2,multi,3,1,[],explicit
