,C,R,RT,S,cond,day,prestim_R,stim
0,d,d,0.6320030671777204,N,practice,2,[],onstont
1,s,s,0.4909169741149526,W,practice,2,[],handle
2,s,s,0.5642004476394504,W,practice,2,[],planet
3,s,s,0.5771118985430803,W,practice,2,[],persuade
4,d,d,0.5580170972971246,N,practice,2,[],fruqoant
5,d,d,0.5548666804097593,N,practice,2,[],mitoun
6,d,d,0.5656820599979255,N,practice,2,[],cemmit
7,s,s,0.7455583929840941,W,practice,2,[],bold
8,s,s,0.4728407625807449,W,practice,2,[],device
9,s,s,0.5120264196302742,W,practice,2,[],album
10,s,s,0.44340442126849666,W,practice,2,[],escape
11,d,d,0.4533331170096062,N,practice,2,[],daluvory
12,s,s,0.41525288519915193,W,practice,2,[],desk
13,s,s,0.42787949152989313,W,practice,2,[],silence
14,s,s,0.5636860447993968,W,practice,2,[],seventh
15,d,d,0.574423602927709,N,practice,2,[],berst
16,d,d,0.5553462288517039,N,practice,2,[],docint
17,d,d,0.4861368137062527,N,practice,2,[],fruod
18,d,d,0.45441390376072377,N,practice,2,[],imorgu
19,d,d,0.5714868194772862,N,practice,2,[],pluen
20,d,d,0.5203830618702341,N,practice,2,[],menaol
21,s,s,0.613896508293692,W,practice,2,[],delay
22,d,d,0.5141946035146248,N,practice,2,[],bottir
23,s,s,0.557594337471528,W,practice,2,[],harm
