C,R,RT,block,cond,count,day,prestim_R,stim
n,n,0.6454836062621325,1,single,1,2,[],duplicity
y,y,0.4059227235848084,1,single,1,2,[],lavish
y,y,0.3796935877762735,1,single,1,2,[],lavish
n,n,0.5960904184030369,1,single,1,2,[],critique
y,y,0.4761645500548184,1,single,1,2,[],lavish
n,n,0.43534584424924105,1,single,1,2,[],emblem
n,n,0.5092560959747061,1,single,1,2,[],terrified
y,y,0.4726069977041334,1,single,1,2,[],lavish
n,n,0.5438466815976426,1,single,1,2,[],influx
n,n,0.4954459423897788,1,single,1,2,[],static
y,y,0.618868968798779,1,single,1,2,[],lavish
y,y,0.4711623431649059,1,single,1,2,[],lavish
y,y,0.4372742539271712,1,single,1,2,[],lavish
y,y,0.4611017414135858,1,single,1,2,[],lavish
n,n,0.37715432478580624,1,single,1,2,[],tarpaulin
n,n,0.5615758515195921,1,single,1,2,[],sparkle
n,n,0.4763457328081131,1,single,1,2,[],emblem
y,y,0.49950467690359796,1,single,1,2,[],lavish
y,y,0.44692411448340863,1,single,1,2,[],lavish
n,n,0.4749380357097834,1,single,1,2,[],tarpaulin
y,y,0.3610699218697846,1,single,1,2,[],lavish
n,n,0.52523323148489,1,single,1,2,[],influx
y,y,0.44275570882018656,1,single,1,2,[],lavish
n,n,0.46864501433447,1,single,1,2,[],sparkle
n,n,0.4118122153449804,1,single,1,2,[],terrified
n,n,0.5274576031370088,1,single,1,2,[],duplicity
y,y,0.4929673741571605,1,single,1,2,[],lavish
y,y,0.4382558859651908,1,single,1,2,[],lavish
n,n,0.6241716446820647,1,single,1,2,[],static
n,n,0.49460312700830394,1,single,1,2,[],critique
y,y,0.4878696181112901,1,single,1,2,[],lavish
y,y,0.4241170195164159,1,single,1,2,[],lavish
y,y,0.6159805607749149,2,multi,2,2,[],shudder
y,y,0.8842674762709066,2,multi,2,2,[],thwart
y,y,0.6235980495112017,2,multi,2,2,[],replies
n,n,0.5398810924962163,2,multi,2,2,[],aspiration
y,y,0.5805669908877462,2,multi,2,2,[],redemption
n,n,0.6755812796764076,2,multi,2,2,[],pavement
n,n,0.6893640905618668,2,multi,2,2,[],barbaric
y,y,0.5431534996023402,2,multi,2,2,[],lettuce
n,n,0.6958328863838688,2,multi,2,2,[],shove
n,n,0.5837444498902187,2,multi,2,2,[],confer
n,n,0.598745962837711,2,multi,2,2,[],noisier
y,y,0.5310304792365059,2,multi,2,2,[],gimmick
n,n,0.5786599145503715,2,multi,2,2,[],throne
n,n,0.7126209875568748,2,multi,2,2,[],magnitude
y,y,0.652738128323108,2,multi,2,2,[],replenish
y,y,0.5412671556696296,2,multi,2,2,[],intrepid
n,n,0.5499353841878474,2,multi,2,2,[],confer
n,n,0.5767143781995401,2,multi,2,2,[],aspiration
n,n,0.7677330008009449,2,multi,2,2,[],shove
y,y,0.49931267730426043,2,multi,2,2,[],thwart
n,n,0.780523062334396,2,multi,2,2,[],magnitude
n,n,0.6741588597651571,2,multi,2,2,[],pavement
y,y,0.5738298762589693,2,multi,2,2,[],intrepid
y,y,0.4907321857754141,2,multi,2,2,[],replies
y,y,0.5000274928752333,2,multi,2,2,[],shudder
y,y,0.9274226283887401,2,multi,2,2,[],redemption
n,n,0.6501066213240847,2,multi,2,2,[],throne
y,y,0.547731444472447,2,multi,2,2,[],lettuce
y,y,0.5904755552764982,2,multi,2,2,[],replenish
n,n,0.6396355793112889,2,multi,2,2,[],noisier
n,n,0.3980288035236299,2,multi,2,2,[],barbaric
y,y,0.6165514518506825,2,multi,2,2,[],gimmick
