,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.6347017399966717,N,practice,2,[],bottir
1,k,k,0.46722525730729103,W,practice,2,[],persuade
2,j,j,0.5192665420472622,N,practice,2,[],berst
3,k,k,0.4767882972955704,W,practice,2,[],planet
4,k,k,0.5960361491888762,W,practice,2,[],device
5,j,j,0.48514555022120476,N,practice,2,[],daluvory
6,j,j,0.47046552039682865,N,practice,2,[],imorgu
7,k,k,0.42860263399779797,W,practice,2,[],silence
8,k,k,0.5084238070994616,W,practice,2,[],escape
9,j,j,0.5198476500809193,N,practice,2,[],fruod
10,k,k,0.5653756596148014,W,practice,2,[],album
11,j,j,0.4503058325499296,N,practice,2,[],mitoun
12,k,k,0.42817867174744606,W,practice,2,[],harm
13,j,j,0.39603747241199017,N,practice,2,[],onstont
14,k,k,0.510588688775897,W,practice,2,[],delay
15,k,k,0.5540362503379583,W,practice,2,[],handle
16,j,j,0.5648194905370474,N,practice,2,[],docint
17,k,k,0.47963824681937695,W,practice,2,[],desk
18,j,j,0.4388390239328146,N,practice,2,[],fruqoant
19,j,j,0.6167613193392754,N,practice,2,[],cemmit
20,j,j,0.492048529908061,N,practice,2,[],pluen
21,k,k,0.47733815386891365,W,practice,2,[],bold
22,k,k,0.46053951792418957,W,practice,2,[],seventh
23,j,j,0.4805715028196573,N,practice,2,[],menaol
