,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,0.5630217827856541,W,practice,2,[],escape
1,s,s,0.40689102187752724,W,practice,2,[],delay
2,d,d,0.522450614720583,N,practice,2,[],berst
3,d,d,0.7519583832472563,N,practice,2,[],menaol
4,d,d,0.5032578371465206,N,practice,2,[],imorgu
5,d,d,0.5226988047361374,N,practice,2,[],daluvory
6,s,s,0.4562875758856535,W,practice,2,[],bold
7,s,s,0.5322849750518799,W,practice,2,[],seventh
8,d,d,0.5330133140087128,N,practice,2,[],cemmit
9,s,s,0.5646163746714592,W,practice,2,[],silence
10,s,s,0.5514609254896641,W,practice,2,[],album
11,s,s,0.49823218770325184,W,practice,2,[],persuade
12,s,s,0.5417176093906164,W,practice,2,[],handle
13,d,d,0.49333904683589935,N,practice,2,[],pluen
14,s,s,0.6626547016203403,W,practice,2,[],desk
15,d,d,0.5303259156644344,N,practice,2,[],fruod
16,d,d,0.4579993486404419,N,practice,2,[],mitoun
17,d,d,0.5511210970580578,N,practice,2,[],fruqoant
18,s,s,0.4568572659045458,W,practice,2,[],planet
19,d,d,0.6368756350129843,N,practice,2,[],docint
20,d,d,0.483321700245142,N,practice,2,[],bottir
21,s,s,0.48251524195075035,W,practice,2,[],harm
22,s,s,0.4998219721019268,W,practice,2,[],device
23,d,d,0.5112548284232616,N,practice,2,[],onstont
