,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.6744654569774866,W,practice,2,[],persuade
1,j,j,0.5030619360040873,W,practice,2,[],bold
2,k,k,0.6245328071527183,N,practice,2,[],docint
3,k,k,0.5720221276860684,N,practice,2,[],fruqoant
4,j,j,0.5369056372437626,W,practice,2,[],silence
5,k,k,0.5686340318061411,N,practice,2,[],pluen
6,j,j,0.4673427033703774,W,practice,2,[],seventh
7,k,k,0.5364278904162347,N,practice,2,[],mitoun
8,j,j,0.42402669601142406,W,practice,2,[],device
9,k,k,0.49584976281039417,N,practice,2,[],fruod
10,j,j,0.36323988041840494,W,practice,2,[],album
11,j,j,0.4175419597886503,W,practice,2,[],handle
12,k,k,0.510154222138226,N,practice,2,[],imorgu
13,k,k,0.48744712863117456,N,practice,2,[],bottir
14,j,j,0.49468994978815317,W,practice,2,[],escape
15,j,j,0.43088461575098336,W,practice,2,[],desk
16,k,k,0.6147008389234543,N,practice,2,[],cemmit
17,j,j,0.514984572539106,W,practice,2,[],harm
18,k,k,0.718390816822648,N,practice,2,[],daluvory
19,j,j,0.4276046887971461,W,practice,2,[],delay
20,k,k,0.5863073570653796,N,practice,2,[],berst
21,j,j,0.38638145267032087,W,practice,2,[],planet
22,k,k,0.4907691210974008,N,practice,2,[],menaol
23,k,k,0.43606321047991514,N,practice,2,[],onstont
