,C,R,RT,S,cond,day,prestim_R,stim
0,k,j,2.4140821336768568,N,practice,1,[],docint
1,j,j,0.8387993625365198,W,practice,1,[],bold
2,k,k,0.8437817369122058,N,practice,1,[],menaol
3,k,k,0.9148930991068482,N,practice,1,[],cemmit
4,k,k,0.8525133617222309,N,practice,1,[],mitoun
5,j,j,0.5647227934096009,W,practice,1,[],handle
6,k,k,0.8016259570140392,N,practice,1,[],imorgu
7,k,k,0.6813446702435613,N,practice,1,[],onstont
8,j,j,0.5831346232444048,W,practice,1,[],escape
9,k,k,0.8221317543648183,N,practice,1,[],bottir
10,k,k,0.6740955589339137,N,practice,1,[],fruqoant
11,k,k,0.6628207655157894,N,practice,1,[],pluen
12,j,j,0.6104920115321875,W,practice,1,[],delay
13,k,k,0.7417437171097845,N,practice,1,[],fruod
14,j,j,0.7090127435512841,W,practice,1,[],album
15,j,j,0.8000632186885923,W,practice,1,[],desk
16,j,j,0.4648532571736723,W,practice,1,[],device
17,j,j,0.5269821030087769,W,practice,1,[],planet
18,k,k,0.7005124797578901,N,practice,1,[],daluvory
19,j,j,0.7964023062959313,W,practice,1,[],persuade
20,j,j,1.037173705874011,W,practice,1,[],seventh
21,j,j,0.8407569171395153,W,practice,1,[],harm
22,j,j,0.9508396903984249,W,practice,1,[],silence
23,k,k,0.5908305321354419,N,practice,1,[],berst
