,stim,S,C,R,RT,block,cond,day,prestim_R
106,spange,N,k,k,1.3038553562946618,1,single,1,[]
107,relocating,W,j,j,0.6446128943935037,1,single,1,[]
108,turbulence,P,d,d,0.645159448729828,1,single,1,[]
109,puzzle,W,j,j,0.5336509498301893,1,single,1,[]
110,sefiening,N,k,k,0.6063261486124247,1,single,1,[]
111,shucker,N,k,d,0.6874478496611118,1,single,1,[]
112,orthodoxy,W,j,j,0.6584759638644755,1,single,1,['k']
113,furdall,N,k,k,0.6770642190240324,1,single,1,[]
114,scramble,W,j,j,0.4668763745576143,1,single,1,[]
115,skucore,N,k,k,0.6869055018760264,1,single,1,[]
116,turbulence,P,d,d,0.9886398429516703,1,single,1,[]
117,educating,W,j,j,0.481904364656657,1,single,1,[]
118,morilation,N,k,k,0.48913005902431905,1,single,1,[]
119,cletch,N,k,k,0.6424296819604933,1,single,1,[]
120,berbert,N,k,k,0.45098062767647207,1,single,1,[]
121,ceramic,W,j,j,0.5888502318412066,1,single,1,[]
122,deponsing,N,k,k,0.5808874852955341,1,single,1,[]
123,ecurism,N,k,k,0.5159247417468578,1,single,1,[]
124,fasituge,N,k,k,0.4953320533968508,1,single,1,[]
125,turbulence,P,d,d,0.5526265103835613,1,single,1,[]
126,nitch,N,k,j,0.5703971879556775,1,single,1,[]
127,sarcastic,W,j,j,0.7463798662647605,1,single,1,[]
128,camhet,N,k,k,0.6266940855421126,1,single,1,[]
129,combush,N,k,k,0.49502617539837956,1,single,1,[]
130,neciert,N,k,k,0.5042971668299288,1,single,1,[]
131,arfdent,N,k,k,0.531678066123277,1,single,1,[]
132,ingerpi,N,k,k,0.4923625118099153,1,single,1,[]
133,pungine,N,k,k,0.4126061445567757,1,single,1,[]
134,contrafold,N,k,j,0.9462805311195552,1,single,1,[]
135,huxuratism,N,k,k,0.5622604694217443,1,single,1,[]
136,turbulence,P,d,d,0.6530605989973992,1,single,1,[]
137,blazer,W,j,d,0.49356258753687143,1,single,1,[]
138,imarsities,N,k,k,0.5289056322071701,1,single,1,[]
139,instruct,W,j,j,0.551500951172784,1,single,1,[]
140,comparting,N,k,k,0.6721635588910431,1,single,1,[]
141,blaming,W,j,j,0.7179443186614662,1,single,1,[]
142,dissipate,W,j,j,0.8500752525869757,1,single,1,[]
143,enhancing,W,j,j,0.7222016733139753,1,single,1,[]
144,flaxing,N,k,k,0.9023488615639508,1,single,1,[]
145,emognance,N,k,k,0.757898070383817,1,single,1,[]
146,momamanrer,N,k,k,0.5672635897062719,1,single,1,[]
147,turbulence,P,d,d,0.548221625154838,1,single,1,[]
148,cashmere,W,j,j,0.6459325572941452,1,single,1,[]
149,nublation,N,k,k,0.7034926293417811,1,single,1,[]
150,promenade,W,j,j,0.6094744694419205,1,single,1,[]
151,emebence,N,k,k,1.1178174603264779,1,single,1,[]
152,garment,W,j,j,0.6689951061271131,1,single,1,[]
153,oblique,W,j,j,0.6006469712592661,1,single,1,[]
154,turbulence,P,d,d,0.7137990393675864,1,single,1,[]
155,circeycent,N,k,k,0.5968487341888249,1,single,1,[]
156,shaky,W,j,j,0.5820079364348203,1,single,1,[]
157,troising,N,k,k,0.6130266217514873,1,single,1,[]
158,justifies,W,j,j,0.6551587786525488,1,single,1,[]
159,frenetic,W,j,k,1.3617937199305743,1,single,1,[]
160,luxurious,W,j,j,0.659161034738645,1,single,1,[]
161,atstahute,N,k,k,0.6297820121981204,1,single,1,[]
162,turbulence,P,d,j,0.4841783191077411,1,single,1,[]
163,denmisable,N,k,k,0.8454378040041775,1,single,1,[]
164,erratic,W,j,j,0.708562453975901,1,single,1,[]
165,opulence,W,j,k,0.6396464311983436,1,single,1,[]
166,sibbletic,N,k,k,0.6022079112008214,1,single,1,[]
167,vibilite,N,k,k,0.6283785183914006,1,single,1,[]
168,procorel,N,k,k,0.5147757460363209,1,single,1,[]
169,crucible,W,j,j,0.7202705547679216,1,single,1,[]
170,betray,W,j,j,0.5804133440833539,1,single,1,[]
171,unite,W,j,j,0.5244604842737317,1,single,1,[]
172,turbulence,P,d,d,0.4739596464205533,1,single,1,[]
173,destruct,W,j,j,0.5681295432150364,1,single,1,[]
174,mysilary,N,k,k,0.5810263021849096,1,single,1,[]
175,auxiliary,W,j,j,0.5251055925618857,1,single,1,[]
176,spiral,W,j,j,0.634615968214348,1,single,1,[]
177,bountiful,W,j,j,0.7769872087519616,1,single,1,[]
178,doubly,W,j,j,0.5725281187333167,1,single,1,[]
179,infinity,W,j,j,0.5054239281453192,1,single,1,[]
180,stadasty,N,k,k,0.5328162452206016,1,single,1,[]
181,retulent,N,k,k,0.9094931285362691,1,single,1,[]
182,hesitation,W,j,j,0.7170233791694045,1,single,1,[]
183,turbulence,P,d,d,1.023057140642777,1,single,1,[]
184,wiping,W,j,j,1.8005347158759832,1,single,1,[]
185,glasoor,N,k,k,0.6892849213909358,1,single,1,[]
186,pollutant,W,j,j,0.6251773147378117,1,single,1,[]
187,shining,W,j,j,0.5595295005477965,1,single,1,[]
188,cammeryle,N,k,k,0.5564812356606126,1,single,1,[]
189,revensict,N,k,j,0.7112522583920509,1,single,1,[]
190,wither,W,j,j,0.6454560123383999,1,single,1,[]
191,atwansion,N,k,k,0.6070217355154455,1,single,1,[]
192,erode,W,j,j,0.6262436816468835,1,single,1,[]
193,oblivious,W,j,j,0.49456225032918155,1,single,1,[]
194,rasation,N,k,k,0.5998495249077678,1,single,1,[]
195,squaving,N,k,k,0.978019141824916,1,single,1,[]
196,smaping,N,k,k,0.6361150112934411,1,single,1,[]
197,fanatic,W,j,j,0.6185225124936551,1,single,1,[]
198,legion,W,j,j,0.5507687064819038,1,single,1,[]
199,turbulence,P,d,d,0.6096033710055053,1,single,1,[]
200,hastily,W,j,j,0.6768698152154684,1,single,1,[]
201,ruggling,N,k,j,0.6266234752256423,1,single,1,[]
202,sizing,W,j,j,0.7630652473308146,1,single,1,[]
203,illucilory,N,k,k,0.924464029725641,1,single,1,[]
204,fligulate,N,k,k,0.8461276821326464,1,single,1,[]
205,cough,W,j,j,0.5172543202061206,1,single,1,[]
206,fowshess,N,k,k,0.619775170693174,1,single,1,[]
207,neamofes,N,k,k,0.8790417299605906,1,single,1,[]
208,turbulence,P,d,d,0.668474692851305,1,single,1,[]
209,antisunt,N,k,k,0.5591160543262959,1,single,1,[]
210,austerity,W,j,k,0.5698896946851164,1,single,1,[]
211,plentiful,W,j,j,0.6888910054694861,1,single,1,[]
212,latitude,W,j,j,0.5586169741582125,1,single,1,[]
213,horrified,W,j,j,0.491583394119516,1,single,1,[]
214,nadation,N,k,k,0.5648339921608567,1,single,1,[]
215,puzing,N,k,k,0.609756310004741,1,single,1,[]
216,redibanny,N,k,k,0.4849748641718179,1,single,1,[]
217,behest,W,j,k,0.5401636296883225,1,single,1,[]
218,plagiarism,W,j,j,0.7530028186738491,1,single,1,[]
219,pahistic,N,k,k,0.6263834000565112,1,single,1,[]
220,turbulence,P,d,d,0.6728023572359234,1,single,1,[]
221,ecoseen,N,k,k,0.6204410113859922,1,single,1,[]
222,shetish,N,k,k,0.5548827371094376,1,single,1,[]
223,amenable,W,j,k,0.4856518222950399,1,single,1,[]
