,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,1.117510681040585,N,practice,2,[],docint
1,j,k,0.540717996424064,W,practice,2,[],album
2,k,k,0.5615654832217842,N,practice,2,[],bottir
3,j,j,0.49027454829774797,W,practice,2,[],seventh
4,j,j,0.5725770951248705,W,practice,2,[],persuade
5,k,k,0.6676162509247661,N,practice,2,[],fruod
6,j,j,0.4531608356628567,W,practice,2,[],device
7,j,j,0.3991312822327018,W,practice,2,[],harm
8,k,k,0.5696186709683388,N,practice,2,[],berst
9,k,k,0.7835819169413298,N,practice,2,[],fruqoant
10,k,k,0.5331945363432169,N,practice,2,[],pluen
11,k,k,0.532837578561157,N,practice,2,[],onstont
12,j,j,0.477502784691751,W,practice,2,[],silence
13,k,k,0.4596389615908265,N,practice,2,[],mitoun
14,j,j,0.5196508662775159,W,practice,2,[],bold
15,j,j,0.46224523545242846,W,practice,2,[],delay
16,j,j,0.3782420300412923,W,practice,2,[],desk
17,j,j,0.43464529421180487,W,practice,2,[],escape
18,j,j,0.3944508661516011,W,practice,2,[],handle
19,k,k,0.45296643185429275,N,practice,2,[],cemmit
20,k,k,0.49488555546849966,N,practice,2,[],menaol
21,k,k,0.4081751185003668,N,practice,2,[],imorgu
22,k,k,0.4368026661686599,N,practice,2,[],daluvory
23,j,j,0.41266563767567277,W,practice,2,[],planet
