C,R,RT,block,cond,count,day,prestim_R,stim
y,y,0.6394757644739002,1,multi,1,2,[],geography
n,n,0.6948958917055279,1,multi,1,2,[],salute
y,y,0.6308420691639185,1,multi,1,2,[],medieval
y,y,0.5332405082881451,1,multi,1,2,[],instigate
n,n,0.507794032804668,1,multi,1,2,[],squeezing
y,y,0.5992401724215597,1,multi,1,2,[],capsicum
n,n,0.5683539942838252,1,multi,1,2,[],corrosive
n,n,0.5812122928909957,1,multi,1,2,[],prodigy
y,y,0.628250818932429,1,multi,1,2,[],mandate
y,y,0.6266409023664892,1,multi,1,2,[],oblivion
n,n,0.8469215231016278,1,multi,1,2,[],chandelier
n,n,0.4790889641735703,1,multi,1,2,[],empirical
y,y,0.701221679802984,1,multi,1,2,[],descent
n,n,0.5411479682661593,1,multi,1,2,[],sleek
y,y,0.7577998167835176,1,multi,1,2,[],libel
n,n,0.759187385905534,1,multi,1,2,[],denigrate
y,y,0.6965758176520467,1,multi,1,2,[],instigate
y,y,0.5684741819277406,1,multi,1,2,[],geography
n,n,0.5653931659180671,1,multi,1,2,[],squeezing
n,n,1.0262664570473137,1,multi,1,2,[],salute
y,y,0.6357856965623796,1,multi,1,2,[],capsicum
n,n,0.5541871499735862,1,multi,1,2,[],prodigy
y,y,0.4849748641718179,1,multi,1,2,[],descent
y,y,0.5742588241118938,1,multi,1,2,[],oblivion
n,n,0.5551429439801723,1,multi,1,2,[],empirical
n,n,0.5819733825046569,1,multi,1,2,[],corrosive
n,n,0.5650106682442129,1,multi,1,2,[],chandelier
y,y,0.6008176379837096,1,multi,1,2,[],mandate
n,n,0.6590636824257672,1,multi,1,2,[],denigrate
y,y,0.6776155810803175,1,multi,1,2,[],medieval
y,y,0.5794124796520919,1,multi,1,2,[],libel
n,n,0.5234409905970097,1,multi,1,2,[],sleek
y,y,0.8461571282241493,2,single,2,2,[],attach
y,y,0.4692837374750525,2,single,2,2,[],attach
n,n,0.38741206377744675,2,single,2,2,[],prudence
y,y,0.41397808911278844,2,single,2,2,[],attach
n,n,0.3945926877204329,2,single,2,2,[],dismal
y,y,0.31813728041015565,2,single,2,2,[],attach
n,n,0.38907035579904914,2,single,2,2,[],concoction
n,n,0.3835792727768421,2,single,2,2,[],hating
n,n,0.3279902816284448,2,single,2,2,[],hostility
n,n,0.3509215253870934,2,single,2,2,[],crane
y,y,0.6820051423273981,2,single,2,2,[],attach
n,n,0.3918325735721737,2,single,2,2,[],activating
y,y,0.49836379243060946,2,single,2,2,[],attach
n,n,0.3796845849137753,2,single,2,2,[],membrane
y,y,0.5960756258573383,2,single,2,2,[],attach
y,y,0.4622040712274611,2,single,2,2,[],attach
n,n,0.45826761797070503,2,single,2,2,[],concoction
n,n,0.5822873734869063,2,single,2,2,[],dismal
y,y,0.5812994292937219,2,single,2,2,[],attach
n,n,0.3973350743763149,2,single,2,2,[],crane
n,n,0.599904210306704,2,single,2,2,[],activating
n,n,0.9300855167675763,2,single,2,2,[],membrane
y,y,0.7007938108872622,2,single,2,2,[],attach
y,y,0.4926885215099901,2,single,2,2,[],attach
y,y,0.42197779356501997,2,single,2,2,[],attach
y,y,0.39777916856110096,2,single,2,2,[],attach
n,n,1.0642984048463404,2,single,2,2,[],hating
y,y,0.7190668734256178,2,single,2,2,[],attach
y,y,0.41915998910553753,2,single,2,2,[],attach
n,n,0.5048692612908781,2,single,2,2,[],hostility
y,y,0.42027232772670686,2,single,2,2,[],attach
n,n,0.5240815919823945,2,single,2,2,[],prudence
