,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.8456853907555342,W,practice,1,[],desk
1,j,j,0.5807949404697865,W,practice,1,[],handle
2,j,j,0.4358099144883454,W,practice,1,[],silence
3,k,k,0.939613109221682,N,practice,1,[],cemmit
4,j,j,0.529463003622368,W,practice,1,[],seventh
5,j,j,0.5750012844800949,W,practice,1,[],device
6,k,k,0.587911564623937,N,practice,1,[],imorgu
7,k,k,0.634964813478291,N,practice,1,[],onstont
8,k,k,0.697319480124861,N,practice,1,[],bottir
9,j,j,0.44121806789189577,W,practice,1,[],album
10,k,k,0.5700795913580805,N,practice,1,[],docint
11,k,k,0.6789601827040315,N,practice,1,[],menaol
12,k,k,0.5647240201942623,N,practice,1,[],daluvory
13,k,k,0.847517354413867,N,practice,1,[],fruqoant
14,j,j,0.4546589774545282,W,practice,1,[],escape
15,j,j,0.39573567430488765,W,practice,1,[],harm
16,j,j,0.31021269340999424,W,practice,1,[],bold
17,k,j,0.34705628361552954,N,practice,1,[],fruod
18,k,k,0.4114409233443439,N,practice,1,[],mitoun
19,j,j,0.4720760020427406,W,practice,1,[],planet
20,j,j,0.5912257449235767,W,practice,1,[],delay
21,k,k,0.5742711434140801,N,practice,1,[],pluen
22,j,j,0.6991352182812989,W,practice,1,[],persuade
23,k,k,0.6190657617989928,N,practice,1,[],berst
