,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.9083255035802722,W,practice,1,[],album
1,k,k,0.861969644902274,N,practice,1,[],daluvory
2,k,k,0.5192398237995803,N,practice,1,[],imorgu
3,j,j,0.5257828512694687,W,practice,1,[],desk
4,k,k,0.5713067096658051,N,practice,1,[],fruod
5,j,j,0.582096274709329,W,practice,1,[],device
6,j,j,0.5581317155156285,W,practice,1,[],bold
7,k,k,0.4910966332536191,N,practice,1,[],onstont
8,j,j,0.5873406720347703,W,practice,1,[],planet
9,k,k,0.6114121985156089,N,practice,1,[],bottir
10,j,j,0.3746153612155467,W,practice,1,[],handle
11,j,j,0.460892521077767,W,practice,1,[],silence
12,k,k,0.4729362465441227,N,practice,1,[],mitoun
13,j,j,0.5740217533893883,W,practice,1,[],persuade
14,j,j,0.5869070945773274,W,practice,1,[],seventh
15,k,k,0.6979207198601216,N,practice,1,[],docint
16,j,j,0.4258084811735898,W,practice,1,[],harm
17,k,k,0.3855770956724882,N,practice,1,[],pluen
18,k,k,0.5700576570816338,N,practice,1,[],berst
19,k,k,0.4549396161455661,N,practice,1,[],menaol
20,k,k,0.38693491788581014,N,practice,1,[],fruqoant
21,j,k,0.3793549695983529,W,practice,1,[],escape
22,k,k,0.9418074390850961,N,practice,1,[],cemmit
23,j,j,0.5477949583437294,W,practice,1,[],delay
